gene,n_mutant,n_wt,median_mutant,median_wt,cohens_d,ci_lower,ci_upper,mannwhitney_U,mannwhitney_p,fdr,significant
ECE2,6,33,-0.1648400926010235,-0.019439786231825,-1.6564927834442793,-2.6008391033965985,-0.7121464634919599,40.0,0.01985212511528301,0.9321755452799031,False
DGKE,9,89,-0.2060016779940768,-0.042279325159916,-1.483308298190447,-2.1996277942595843,-0.7669888021213098,137.0,0.0012152145559031012,0.9321755452799031,False
SEMA5A,9,89,0.0711557469913086,0.1570824543535555,-1.3947224838150594,-2.1075455552427815,-0.681899412387337,127.0,0.0007842361338450686,0.9321755452799031,False
TLR8,9,89,0.0721708261462389,0.1961288022352094,-1.3683117596470082,-2.080130906981154,-0.6564926123128622,144.0,0.0016373236707598248,0.9321755452799031,False
WDFY4,9,89,-0.0717452627844484,0.0601435043086734,-1.3657365353306496,-2.0774587452869233,-0.6540143253743759,134.0,0.001067181416995452,0.9321755452799031,False
RSL1D1,9,89,-1.8009419227790793,-1.3485222499635394,-1.3541438137404167,-2.0654317462052645,-0.6428558812755688,121.0,0.0005989085607488818,0.9321755452799031,False
LGR6,9,89,-0.0286108735847048,0.0229259723142051,-1.3396604922870632,-2.0504106962212143,-0.6289102883529119,154.0,0.002476812677295263,0.9321755452799031,False
PIK3CA,9,89,-0.61986563836576,-0.4052117196116906,-1.3293787457616333,-2.0397504804294635,-0.619007011093803,215.0,0.0228597390315877,0.9321755452799031,False
OR10G8,7,82,-0.1352478891440479,-0.02634658378363145,-1.3094877340058437,-2.104870332928144,-0.5141051350835432,94.0,0.0019804145306398665,0.9321755452799031,False
HEATR3,9,89,-0.4917309561207312,-0.1362508713081343,-1.293752308194214,-2.002833681211922,-0.5846709351765061,199.0,0.01341364026279311,0.9321755452799031,False
SNU13,9,89,-2.474771980760222,-2.040087295915091,-1.2400004797914919,-1.947197123093757,-0.5328038364892268,181.0,0.007059584043759654,0.9321755452799031,False
RNF126,9,89,-0.2130398592691012,-0.0062337685274017,-1.2391705160025401,-1.9463386462133836,-0.5320023857916968,209.0,0.018794632640781406,0.9321755452799031,False
NEIL3,9,89,0.0684526105296446,0.1684112550726592,-1.1869903028866404,-1.892401915236651,-0.4815786905366298,168.0,0.004318076249866283,0.9321755452799031,False
WDR43,9,89,-2.8270155626833295,-2.327301207918807,-1.180654047089337,-1.8858572195435928,-0.4754508746350813,153.0,0.002377895801258195,0.9321755452799031,False
HES5,9,89,-0.2109079083892764,-0.0355759408990833,-1.1717288797329761,-1.8766402355082652,-0.46681752395768705,193.0,0.010883949963368722,0.9321755452799031,False
KRTAP22-2,7,82,-0.0038988477006524,0.07355521466383466,-1.1664829456056924,-1.957047358277082,-0.375918532934303,78.0,0.0006431519981685848,0.9321755452799031,False
SLAIN2,9,89,-0.2288638889861886,-0.0783199209140878,-1.1659186363767842,-1.8706411464370991,-0.4611961263164692,113.0,0.00041474380673466624,0.9321755452799031,False
PDCD11,9,89,-1.8646368700134832,-1.5132431813842813,-1.162220270616555,-1.866823038370878,-0.457617502862232,199.0,0.01341364026279311,0.9321755452799031,False
C14orf180,9,89,-0.0582190411157747,0.0710773003334759,-1.1553101738480938,-1.8596901781166624,-0.45093016957952503,184.0,0.007881231325288084,0.9321755452799031,False
ZNF705G,7,82,-0.0092428370885552,0.15358701843891925,-1.1497715763540013,-1.9398074799724487,-0.35973567273555385,131.0,0.015390258723865605,0.9321755452799031,False
EXOSC8,9,89,-1.652488025958023,-1.2717495036943944,-1.1495042771168011,-1.8536980873453928,-0.44531046688820963,210.0,0.019424734429009154,0.9321755452799031,False
RPL3,9,89,-3.0151082803514178,-2.579720972503542,-1.1492565222079354,-1.8534424067588522,-0.4450706376570186,145.0,0.001707600261444019,0.9321755452799031,False
ADAMTS17,9,89,-0.0471423230997743,0.0325746684108288,-1.1376657857213877,-1.841482693491232,-0.43384887795154314,137.0,0.0012152145559031012,0.9321755452799031,False
MAP3K2,9,89,-0.1677992852097223,-0.0183260975190162,-1.1344543654680364,-1.8381696693787855,-0.43073906155728714,150.0,0.0021024454018305533,0.9321755452799031,False
RPS12,9,89,-2.3643716299702824,-2.0222278102128173,-1.131803691285694,-1.8354353377424133,-0.42817204482897453,151.0,0.0021908297362626273,0.9321755452799031,False
LRRC41,9,89,-0.1478578517338799,-0.0519337430721277,-1.1261669614434227,-1.8296213257628828,-0.4227125971239625,115.0,0.0004550371285774337,0.9321755452799031,False
LCA5,9,89,0.0268268535238243,0.1053196122331079,-1.1234596487055815,-1.8268291635330494,-0.42009013387811356,187.0,0.008787521306414263,0.9321755452799031,False
RTBDN,9,89,-0.1480773139899707,-0.0408675608838002,-1.099856039526781,-1.8024940245567507,-0.39721805449681125,135.0,0.0011145632795148063,0.9321755452799031,False
