gene,n_mutant,n_wt,median_mutant,median_wt,cohens_d,ci_lower,ci_upper,mannwhitney_U,mannwhitney_p,fdr,significant
PIK3CA,15,43,-0.7463293860326539,-0.291662887402264,-1.7473540106958776,-2.415594144493712,-1.079113876898043,104.0,0.00010831813983211598,0.595899418800685,False
RPL7L1,8,20,-1.7958453026997998,-1.3092236626502822,-1.5461778029989524,-2.4606442815469904,-0.631711324450914,11.0,0.00012097403401751227,0.595899418800685,False
PRXL2B,8,20,-0.1444690635170619,0.03513713032653495,-1.4799422606522676,-2.386859835645902,-0.5730246856586331,26.0,0.004689030775987297,0.595899418800685,False
ABHD11,15,43,-0.6310627989635871,-0.3361863858812861,-1.4426998564110178,-2.086408355873218,-0.7989913569488177,100.0,8.074041602119829e-05,0.595899418800685,False
ARID1B,15,43,-0.3962396846561029,-0.0531158787418911,-1.2432373925411548,-1.8730142833200434,-0.6134605017622662,176.0,0.009525001488839696,0.6137061822353334,False
DLK2,15,43,-0.2222758284887747,-0.1110918158601554,-1.1979978238046458,-1.824864304203507,-0.5711313434057845,127.0,0.0005347129306781708,0.595899418800685,False
NELL1,15,43,0.0581269957406474,0.1976602528548736,-1.1953426987494447,-1.8220413061761958,-0.5686440913226936,161.0,0.004250098246291264,0.595899418800685,False
PCDHB2,15,43,-0.2049164774589122,-0.1243156704121469,-1.1925524365310853,-1.8190749798841115,-0.5660298931780592,137.0,0.0010192457780773393,0.595899418800685,False
STARD13,15,43,-0.0945094304837836,0.0304368132905084,-1.1747761098115657,-1.8001854920240097,-0.5493667275991216,124.0,0.00043808650663798056,0.595899418800685,False
BNIP3L,15,43,0.0997687645621182,0.148913571619311,-1.16459129906082,-1.7893695577168367,-0.5398130404048034,150.0,0.002255783617312292,0.595899418800685,False
RPL23A,8,20,-2.5963382980435776,-2.0680394272294347,-1.1597819385287693,-2.0341533475435214,-0.28541052951401724,32.0,0.013390152520587301,0.628411186664961,False
PUSL1,15,43,-0.0595346272337711,0.0478289326453544,-1.1550427203935767,-1.7792336998072318,-0.5308517409799217,164.0,0.0050206793953572575,0.595899418800685,False
TJAP1,15,43,-0.2197999202771376,-0.1381713414625905,-1.1410948213140166,-1.764435655230086,-0.5177539873979472,132.0,0.0007409841397981778,0.595899418800685,False
OBP2A,8,20,-0.07369986141892065,0.0427554234797418,-1.1321081757749571,-2.003988070304069,-0.2602282812458454,30.0,0.009617435704392226,0.6137061822353334,False
CPM,15,43,-0.2195693356859491,-0.0906441504010836,-1.1281771441909885,-1.7507388208771273,-0.5056154675048498,153.0,0.0026906116971480718,0.595899418800685,False
NAGLU,15,43,-0.4696016614922741,-0.338343427603232,-1.1281167081928887,-1.7506747581221938,-0.5055586582635836,152.0,0.0025378184678684613,0.595899418800685,False
SYNGR3,15,43,-0.0920844628850298,-0.0182773779525765,-1.1271166676183806,-1.749614730376961,-0.5046186048598001,155.0,0.0030216919040365556,0.595899418800685,False
UNC13B,15,43,-0.2239351207525845,-0.1350762586340083,-1.1257801324751657,-1.7481980975762044,-0.5033621673741272,154.0,0.0028517681183172928,0.595899418800685,False
EIF4EBP3,15,43,-0.1356751691912167,-0.0170786026499561,-1.1237323072129757,-1.746027711924174,-0.5014369025017772,144.0,0.001573060442638508,0.595899418800685,False
CNOT8,15,43,-0.0349680949982116,0.0712432641119766,-1.117762138560186,-1.7397013709453055,-0.4958229061750663,163.0,0.0047508117931669746,0.595899418800685,False
SDR16C5,15,43,-0.0301672292884349,0.0617855853204762,-1.1106522962852272,-1.732169576212422,-0.48913501635803236,164.0,0.0050206793953572575,0.595899418800685,False
CCL15,8,20,0.00388328356020275,0.2018582078568345,-1.1092371769927545,-1.9790981542582875,-0.23937619972722157,33.0,0.01569509395596352,0.6455833050501549,False
RASSF7,15,43,-0.0478803747853677,0.0282458895254404,-1.0935325225213586,-1.714043675728456,-0.4730213693142612,157.0,0.0033895402833597978,0.595899418800685,False
VDAC1,15,43,-0.8470988910063197,-0.6702971880538564,-1.0840317965399597,-1.7039906438107275,-0.46407294926919185,145.0,0.0016716943177364069,0.595899418800685,False
ALS2,15,43,-0.0134681294237912,0.069308257202992,-1.0837846059993825,-1.703729141126277,-0.46384007087248813,138.0,0.001085394016557586,0.595899418800685,False
SLC2A5,15,43,-0.1246305408871075,-0.0071636848000199,-1.0829066228373319,-1.7028003471246247,-0.463012898550039,144.0,0.001573060442638508,0.595899418800685,False
ZNF784,15,43,-0.1116677185002393,0.0018902688608431,-1.080668376898704,-1.7004327364115452,-0.46090401738586273,166.0,0.005602381979171673,0.595899418800685,False
BTBD2,15,43,-0.0782228506326447,0.0082306382313152,-1.0772399215063082,-1.6968065920860502,-0.4576732509265662,160.0,0.004018135778969368,0.595899418800685,False
DPYSL5,15,43,-0.0830868612951587,-0.0222029066951455,-1.0669677775070956,-1.68594553045844,-0.4479900245557511,141.0,0.0013084077054680875,0.595899418800685,False
LCE2C,8,20,-1.749780653680832,-1.4687484319108024,-1.0599319958550357,-1.92556559713298,-0.19429839457709153,30.0,0.009617435704392226,0.6137061822353334,False
PROSER1,15,43,-0.1116979195933421,0.0213470234861708,-1.0547599573505944,-1.673044437420247,-0.4364754772809416,146.0,0.0017759897169921039,0.595899418800685,False
RBM33,15,43,-0.5387863957298477,-0.3401777961559852,-1.0536614677372103,-1.6718839187735042,-0.4354390167009162,154.0,0.0028517681183172928,0.595899418800685,False
SIDT1,15,43,0.015584236036766,0.1053811559421787,-1.0535248352048228,-1.6717395750194868,-0.43531009539015864,176.0,0.009525001488839696,0.6137061822353334,False
TCHP,15,43,-0.1645171570403172,-0.0881111150794464,-1.0474761640299317,-1.6653504371134025,-0.42960189094646095,161.0,0.004250098246291264,0.595899418800685,False
NFATC2,15,43,-0.0756246434187215,0.0392267845338302,-1.046602830674869,-1.664428092210572,-0.42877756913916587,154.0,0.0028517681183172928,0.595899418800685,False
ANTXRL,15,43,-0.3586710790038647,-0.2093860198577169,-1.0401659120233266,-1.6576310749354022,-0.4227007491112511,175.0,0.009044430079266065,0.6137061822353334,False
NOTO,15,43,-0.2599500519402388,-0.1899164164028949,-1.0371404584072608,-1.6544370645997684,-0.4198438522147533,166.0,0.005602381979171673,0.595899418800685,False
GARIN5A,15,43,-0.0034655440710518,0.0924604162950073,-1.034522328920401,-1.6516734308617746,-0.4173712269790275,172.0,0.0077299546981273596,0.6037072545505788,False
TSPAN9,15,43,-0.1372796069463981,-0.0230877188434683,-1.030429284579625,-1.6473535814151838,-0.4135049877440663,140.0,0.0012297573957110327,0.595899418800685,False
KCNC3,15,43,-0.1036611659136763,-0.0195446418364742,-1.0195386485215319,-1.6358634474106046,-0.4032138496324591,170.0,0.006951511184972905,0.5992670531622556,False
HSBP1,15,43,-0.3429341617289977,-0.2128927726628027,-1.0166318288351384,-1.6327975948827702,-0.4004660627875065,165.0,0.005304332716546516,0.595899418800685,False
TPGS1,15,43,-0.2701483688394718,-0.1601629014939517,-1.011640540909244,-1.6275341963716445,-0.3957468854468432,163.0,0.0047508117931669746,0.595899418800685,False
PRAP1,15,43,0.0089208653960222,0.1076851245169973,-1.0094452092445985,-1.6252195677375254,-0.39367085075167163,172.0,0.0077299546981273596,0.6037072545505788,False
SIGLEC1,15,43,-0.1379214906387523,-0.0744742555375556,-1.0082511204400226,-1.6239606898436891,-0.392541551036356,145.0,0.0016716943177364069,0.595899418800685,False
RPS3,15,43,-2.6083543965677585,-2.350854806451033,-1.0076089082412834,-1.623283661274307,-0.3919341552082598,154.0,0.0028517681183172928,0.595899418800685,False
IGSF11,15,43,0.0081898029709094,0.0832823893717671,-1.0051546236047753,-1.6206965083308642,-0.3896127388786862,175.0,0.009044430079266065,0.6137061822353334,False
