gene,n_mutant,n_wt,median_mutant,median_wt,cohens_d,ci_lower,ci_upper,mannwhitney_U,mannwhitney_p,fdr,significant
PIK3CA,144,1042,-0.8237817059775723,-0.3685111414585093,-1.4826312883445463,-1.6668143501474268,-1.2984482265416657,30255.0,3.2444782515243466e-31,5.817673952808306e-27,True
WRN,144,1042,-0.14168291613449407,-0.13343141479939574,-0.550911244246285,-0.7265669932635547,-0.37525549522901536,65213.0,0.010881356291259837,0.2405839699859188,False
FOXA1,144,1042,-0.1450629749007431,-0.1080540286779805,-0.5474599456202204,-0.7230982186224684,-0.37182167261797244,60461.0,0.0001568596293838152,0.0428385893237996,True
AKT1,144,1042,-0.1263790470403314,-0.048501935483821895,-0.5002507761235319,-0.6756608666472281,-0.32484068559983553,57811.0,7.902666635334706e-06,0.008335453849305095,True
RPL22L1,144,1042,-0.26697388786595766,-0.21723682394159927,-0.4852254333709419,-0.6605671560159683,-0.3098837107259156,62030.0,0.0007443795265417304,0.0907991108191821,False
GSDMB,144,1042,-0.1768101591132033,-0.13063025904837067,-0.4728965738901261,-0.6481837361377175,-0.29760941164253474,58856.0,2.710044208258641e-05,0.019437521079314277,True
GSPT1,144,1042,-1.924845393416017,-1.704104630386968,-0.4686817520996082,-0.6439505802396688,-0.29341292395954766,56963.0,2.7599970815425675e-06,0.0038068852053184444,True
ZAR1,144,1042,-0.1062490964773961,-0.0669750148014399,-0.46853567821281894,-0.643803873852858,-0.2932674825727799,58706.0,2.280526783374044e-05,0.017038385730283327,True
TUT7,144,1042,-0.06792779046198241,-0.00780866228201615,-0.44639279010915117,-0.6215673620487794,-0.27121821816952296,53968.0,4.620684803172091e-08,0.00016570699841135755,True
IGBP1,144,1042,-1.286662276316786,-1.1968162643254465,-0.44486283302895985,-0.6200311016424097,-0.26969456441551,59916.0,8.803064951009337e-05,0.03255862016029976,True
TRAF4,144,1042,-0.21057195115087096,-0.16553542856148726,-0.42476590271013676,-0.5998533622999607,-0.24967844312031284,59036.0,3.327166018849556e-05,0.02038904848998516,True
