drug_name,chembl_id,targets,n_targets,n_pathways_covered,R-HSA-112316,GO:0007399,GO:0007268,hsa04728,GO:0007409,GO:0021987,GO:0030182,GO:0001764,GO:0050804,GO:0048699,hsa04330,repurposing_rank,repurposing_score,safety_tier,bbb_penetrant,in_ts_trials
(R)-SKF-38393,CHEMBL24077,DRD1,1,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
5-OH-DPAT,CHEMBL273273,DRD3,1,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
8-OH-DPAT,CHEMBL56,DRD2;DRD3,2,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
A-86929,CHEMBL28338,DRD1,1,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
ABAPERIDONE,CHEMBL151475,DRD3,1,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
ABT-724,CHEMBL440687,DRD4,1,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
ALPHA-PHENYL-GAMMA-BUTYROLACTONE,CHEMBL1398,DRD1,1,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
APOMORPHINE,CHEMBL53,DRD1;DRD2,2,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
ARIPIPRAZOLE,CHEMBL1112,DRD2;DRD3;HTR2A;HTR2C,4,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
BP-897,CHEMBL25236,DRD1;DRD3,2,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
BROMOCRIPTINE,CHEMBL493,DRD2;DRD3,2,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
BUSPIRONE,CHEMBL49,DRD2,1,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
CI-1007,CHEMBL335545,DRD2;DRD3;DRD4,3,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
CLEBOPRIDE,CHEMBL325109,DRD3,1,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
CLOZAPINE,CHEMBL42,ADRA2A;CHRM1;DRD1;DRD2;DRD3;DRD4;HRH3;HTR2A;HTR2C,9,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
DESMETHYLOLANZAPINE,CHEMBL1125,DRD1;DRD2,2,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
DIFLUOROBENZTROPINE,CHEMBL317757,DRD3,1,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
DIHYDREXIDINE,CHEMBL25856,DRD1,1,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
DOPAMINE,CHEMBL59,DRD1;DRD3;SLC6A4,3,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
ECOPIPAM,CHEMBL298406,DRD1,1,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
FAUC 113,CHEMBL7927,DRD4,1,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
FENOLDOPAM,CHEMBL588,DRD1,1,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
GR-127935,CHEMBL15928,CHRM4;DRD1;SLC6A4,3,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
HALOPERIDOL,CHEMBL54,DRD1;DRD2;DRD3;DRD4;HTR2A;HTR2C,6,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
IOXIPRIDE,CHEMBL308524,DRD3,1,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
ISOCLOZAPINE,CHEMBL415300,CHRM1;DRD3;DRD4,3,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
KETANSERIN,CHEMBL51,DRD2;HTR2C;SLC18A2,3,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
L-745870,CHEMBL267014,CHRM4;DRD3;DRD4;HTR2A;HTR2C,5,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
LEVOSULPIRIDE,CHEMBL267044,DRD3,1,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
LISURIDE,CHEMBL157138,DRD1;DRD2;DRD3,3,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
LOXAPINE,CHEMBL831,DRD3;DRD4,2,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
MAZAPERTINE,CHEMBL10085,DRD1,1,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
MEZILAMINE,CHEMBL407641,DRD4,1,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
NAFADOTRIDE,CHEMBL286252,DRD3,1,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
NAPHTHYRIDINONE,CHEMBL204232,GABRA1;SLC18A2,2,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
OLANZAPINE,CHEMBL715,ADRA2A;CHRM1;DRD1;DRD2;DRD3;DRD4;HTR2A;HTR2C,8,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
"PD-168,077",CHEMBL45244,DRD4,1,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
PERGOLIDE,CHEMBL531,DRD2;DRD3,2,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
PHENYLTOLOXAMINE,CHEMBL186720,DRD1,1,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
PRECLAMOL,CHEMBL7549,DRD2;DRD3,2,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
QUETIAPINE,CHEMBL716,CHRM1;DRD1;DRD3;HTR2A,4,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
QUINPIROLE,CHEMBL240773,DRD1;DRD2,2,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
REMOXIPRIDE,CHEMBL22242,DRD2,1,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
RIMCAZOLE,CHEMBL275707,DRD3,1,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
RISPERIDONE,CHEMBL85,ADRA2A;CHRM1;DRD1;DRD3;HTR2A;HTR2C,6,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
ROPINIROLE,CHEMBL589,DRD2;DRD3,2,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
ROXINDOLE,CHEMBL431367,DRD2;DRD3;DRD4,3,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
SCH-23390,CHEMBL62,DRD1,1,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
SEROTONIN,CHEMBL39,HTR2A;HTR2C;SLC18A2,3,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
SERTINDOLE,CHEMBL12713,DRD1;DRD3;HTR2A;HTR2C,4,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
SKF-38393,CHEMBL286080,DRD1,1,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
SPIPERONE,CHEMBL267930,DRD1;DRD2;DRD3,3,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
SPIRAMIDE,CHEMBL79834,DRD2,1,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
SUMANIROLE,CHEMBL419792,DRD2,1,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
TANDOSPIRONE,CHEMBL274047,DRD4,1,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
TYRAMINE,CHEMBL11608,DRD1;DRD4,2,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
"U-92,016-A",CHEMBL71920,DRD2,1,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
ZIPRASIDONE,CHEMBL708,CHRM1;DRD1;DRD3;DRD4;HTR2A;HTR2C,6,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
ZOTEPINE,CHEMBL285802,CHRM4;DRD1;DRD3;HTR2A;HTR2C,5,4,1,0,1,1,0,0,0,0,1,0,0,,,,,
4-DAMP,CHEMBL76897,CHRM4,1,3,1,0,1,0,0,0,0,0,1,0,0,,,,,
5-METHOXYTRYPTAMINE,CHEMBL8165,HTR2A;HTR2C,2,3,1,0,1,0,0,0,0,0,1,0,0,,,,,
A-1155463,CHEMBL3342332,GABRA1,1,3,1,0,1,0,0,0,0,0,1,0,0,,,,,
A-119637,CHEMBL268758,ADRA2A,1,3,1,0,1,0,0,0,0,0,1,0,0,,,,,
A-123189,CHEMBL13856,ADRA2A,1,3,1,0,1,0,0,0,0,0,1,0,0,,,,,
A-1596584,CHEMBL4066040,GABRA1,1,3,1,0,1,0,0,0,0,0,1,0,0,,,,,
A-1596586,CHEMBL4093612,GABRA1,1,3,1,0,1,0,0,0,0,0,1,0,0,,,,,
ABECARNIL,CHEMBL454095,GABRA1,1,3,1,0,1,0,0,0,0,0,1,0,0,,,,,
ACETYLCHOLINE,CHEMBL667,CHRM4,1,3,1,0,1,0,0,0,0,0,1,0,0,,,,,
AKUAMMIGINE,CHEMBL122404,ADRA2A,1,3,1,0,1,0,0,0,0,0,1,0,0,,,,,
ALISERTIB,CHEMBL483158,GABRA1,1,3,1,0,1,0,0,0,0,0,1,0,0,,,,,
ALOGABAT,CHEMBL5095259,GABRA1,1,3,1,0,1,0,0,0,0,0,1,0,0,,,,,
ALPRAZOLAM,CHEMBL661,GABRA1,1,3,1,0,1,0,0,0,0,0,1,0,0,,,,,
ALTANSERIN,CHEMBL62919,HTR2A,1,3,1,0,1,0,0,0,0,0,1,0,0,,,,,
AMOXAPINE,CHEMBL1113,CHRM4,1,3,1,0,1,0,0,0,0,0,1,0,0,,,,,
APRACLONIDINE,CHEMBL647,ADRA2A,1,3,1,0,1,0,0,0,0,0,1,0,0,,,,,
APROFENE,CHEMBL26505,CHRM1;CHRM4,2,3,1,0,1,0,0,0,0,0,1,0,0,,,,,
ARECOLINE,CHEMBL7303,CHRM1;CHRM4,2,3,1,0,1,0,0,0,0,0,1,0,0,,,,,
ASTEMIZOLE,CHEMBL296419,CHRM4,1,3,1,0,1,0,0,0,0,0,1,0,0,,,,,
ATROPINE,CHEMBL517712,CHRM1;CHRM4,2,3,1,0,1,0,0,0,0,0,1,0,0,,,,,
