drug_name,targets,n_targets,total_proximity_score,n_pathways_significant,mean_proximity_score,score_R-HSA-112316,score_GO:0007399,score_GO:0007268,score_hsa04728,score_GO:0007409,score_GO:0021987,score_GO:0030182,score_GO:0001764,score_GO:0050804,score_GO:0048699,score_hsa04330,repurposing_rank,repurposing_score,safety_tier,bbb_penetrant
"(R,S)-INDATRALINE",SLC6A4,1,2.4325,1,0.2211,0.2108,0.1581,0.3436,0.5316,0.2838,0.0703,0.0968,0.2198,0.1125,0.2449,0.1601,,,,
ATOMOXETINE,SLC6A4,1,2.4325,1,0.2211,0.2108,0.1581,0.3436,0.5316,0.2838,0.0703,0.0968,0.2198,0.1125,0.2449,0.1601,,,,
CITALOPRAM,SLC6A4,1,2.4325,1,0.2211,0.2108,0.1581,0.3436,0.5316,0.2838,0.0703,0.0968,0.2198,0.1125,0.2449,0.1601,,,,
CLOMIPRAMINE,SLC6A4,1,2.4325,1,0.2211,0.2108,0.1581,0.3436,0.5316,0.2838,0.0703,0.0968,0.2198,0.1125,0.2449,0.1601,,,,
COCAINE,SLC6A4,1,2.4325,1,0.2211,0.2108,0.1581,0.3436,0.5316,0.2838,0.0703,0.0968,0.2198,0.1125,0.2449,0.1601,,,,
DASB,SLC6A4,1,2.4325,1,0.2211,0.2108,0.1581,0.3436,0.5316,0.2838,0.0703,0.0968,0.2198,0.1125,0.2449,0.1601,,,,
DIMETHYL PHTHALATE,SLC6A4,1,2.4325,1,0.2211,0.2108,0.1581,0.3436,0.5316,0.2838,0.0703,0.0968,0.2198,0.1125,0.2449,0.1601,,,,
DULOXETINE,SLC6A4,1,2.4325,1,0.2211,0.2108,0.1581,0.3436,0.5316,0.2838,0.0703,0.0968,0.2198,0.1125,0.2449,0.1601,,,,
FLUOXETINE,SLC6A4,1,2.4325,1,0.2211,0.2108,0.1581,0.3436,0.5316,0.2838,0.0703,0.0968,0.2198,0.1125,0.2449,0.1601,,,,
HARMINE,SLC6A4,1,2.4325,1,0.2211,0.2108,0.1581,0.3436,0.5316,0.2838,0.0703,0.0968,0.2198,0.1125,0.2449,0.1601,,,,
INDALPINE,SLC6A4,1,2.4325,1,0.2211,0.2108,0.1581,0.3436,0.5316,0.2838,0.0703,0.0968,0.2198,0.1125,0.2449,0.1601,,,,
MAZINDOL,SLC6A4,1,2.4325,1,0.2211,0.2108,0.1581,0.3436,0.5316,0.2838,0.0703,0.0968,0.2198,0.1125,0.2449,0.1601,,,,
NEFAZODONE,SLC6A4,1,2.4325,1,0.2211,0.2108,0.1581,0.3436,0.5316,0.2838,0.0703,0.0968,0.2198,0.1125,0.2449,0.1601,,,,
NISOXETINE,SLC6A4,1,2.4325,1,0.2211,0.2108,0.1581,0.3436,0.5316,0.2838,0.0703,0.0968,0.2198,0.1125,0.2449,0.1601,,,,
PAROXETINE,SLC6A4,1,2.4325,1,0.2211,0.2108,0.1581,0.3436,0.5316,0.2838,0.0703,0.0968,0.2198,0.1125,0.2449,0.1601,,,,
REBOXETINE,SLC6A4,1,2.4325,1,0.2211,0.2108,0.1581,0.3436,0.5316,0.2838,0.0703,0.0968,0.2198,0.1125,0.2449,0.1601,,,,
SERTRALINE,SLC6A4,1,2.4325,1,0.2211,0.2108,0.1581,0.3436,0.5316,0.2838,0.0703,0.0968,0.2198,0.1125,0.2449,0.1601,,,,
VANOXERINE,SLC6A4,1,2.4325,1,0.2211,0.2108,0.1581,0.3436,0.5316,0.2838,0.0703,0.0968,0.2198,0.1125,0.2449,0.1601,,,,
VENLAFAXINE,SLC6A4,1,2.4325,1,0.2211,0.2108,0.1581,0.3436,0.5316,0.2838,0.0703,0.0968,0.2198,0.1125,0.2449,0.1601,,,,
(R)-SKF-38393,DRD1,1,2.0447,1,0.1859,0.1449,0.0793,0.285,0.4052,0.2838,0.0703,0.2127,0.0459,0.1125,0.2449,0.1601,,,,
A-86929,DRD1,1,2.0447,1,0.1859,0.1449,0.0793,0.285,0.4052,0.2838,0.0703,0.2127,0.0459,0.1125,0.2449,0.1601,,,,
ALPHA-PHENYL-GAMMA-BUTYROLACTONE,DRD1,1,2.0447,1,0.1859,0.1449,0.0793,0.285,0.4052,0.2838,0.0703,0.2127,0.0459,0.1125,0.2449,0.1601,,,,
DIHYDREXIDINE,DRD1,1,2.0447,1,0.1859,0.1449,0.0793,0.285,0.4052,0.2838,0.0703,0.2127,0.0459,0.1125,0.2449,0.1601,,,,
ECOPIPAM,DRD1,1,2.0447,1,0.1859,0.1449,0.0793,0.285,0.4052,0.2838,0.0703,0.2127,0.0459,0.1125,0.2449,0.1601,,,,
FENOLDOPAM,DRD1,1,2.0447,1,0.1859,0.1449,0.0793,0.285,0.4052,0.2838,0.0703,0.2127,0.0459,0.1125,0.2449,0.1601,,,,
MAZAPERTINE,DRD1,1,2.0447,1,0.1859,0.1449,0.0793,0.285,0.4052,0.2838,0.0703,0.2127,0.0459,0.1125,0.2449,0.1601,,,,
PHENYLTOLOXAMINE,DRD1,1,2.0447,1,0.1859,0.1449,0.0793,0.285,0.4052,0.2838,0.0703,0.2127,0.0459,0.1125,0.2449,0.1601,,,,
SCH-23390,DRD1,1,2.0447,1,0.1859,0.1449,0.0793,0.285,0.4052,0.2838,0.0703,0.2127,0.0459,0.1125,0.2449,0.1601,,,,
SKF-38393,DRD1,1,2.0447,1,0.1859,0.1449,0.0793,0.285,0.4052,0.2838,0.0703,0.2127,0.0459,0.1125,0.2449,0.1601,,,,
ALTANSERIN,HTR2A,1,1.9861,1,0.1806,0.1449,0.0793,0.2264,0.4052,0.2838,0.0703,0.2127,0.0459,0.1125,0.2449,0.1601,,,,
BROLAMFETAMINE,HTR2A,1,1.9861,1,0.1806,0.1449,0.0793,0.2264,0.4052,0.2838,0.0703,0.2127,0.0459,0.1125,0.2449,0.1601,,,,
DESIPRAMINE,HTR2A,1,1.9861,1,0.1806,0.1449,0.0793,0.2264,0.4052,0.2838,0.0703,0.2127,0.0459,0.1125,0.2449,0.1601,,,,
DIDESMETHYLIMIPRAMINE,HTR2A,1,1.9861,1,0.1806,0.1449,0.0793,0.2264,0.4052,0.2838,0.0703,0.2127,0.0459,0.1125,0.2449,0.1601,,,,
GLEMANSERIN,HTR2A,1,1.9861,1,0.1806,0.1449,0.0793,0.2264,0.4052,0.2838,0.0703,0.2127,0.0459,0.1125,0.2449,0.1601,,,,
AZAPROPHEN,CHRM1,1,1.8688,0,0.1699,0.1449,0.1581,0.1092,0.1524,0.2838,0.0703,0.2127,0.2198,0.1125,0.2449,0.1601,,,,
CARBETAPENTANE,CHRM1,1,1.8688,0,0.1699,0.1449,0.1581,0.1092,0.1524,0.2838,0.0703,0.2127,0.2198,0.1125,0.2449,0.1601,,,,
OTENZEPAD,CHRM1,1,1.8688,0,0.1699,0.1449,0.1581,0.1092,0.1524,0.2838,0.0703,0.2127,0.2198,0.1125,0.2449,0.1601,,,,
OXADIAZOLE,CHRM1,1,1.8688,0,0.1699,0.1449,0.1581,0.1092,0.1524,0.2838,0.0703,0.2127,0.2198,0.1125,0.2449,0.1601,,,,
QUINUCLIDINYL BENZILATE,CHRM1,1,1.8688,0,0.1699,0.1449,0.1581,0.1092,0.1524,0.2838,0.0703,0.2127,0.2198,0.1125,0.2449,0.1601,,,,
TAZOMELINE,CHRM1,1,1.8688,0,0.1699,0.1449,0.1581,0.1092,0.1524,0.2838,0.0703,0.2127,0.2198,0.1125,0.2449,0.1601,,,,
VICRIVIROC,CHRM1,1,1.8688,0,0.1699,0.1449,0.1581,0.1092,0.1524,0.2838,0.0703,0.2127,0.2198,0.1125,0.2449,0.1601,,,,
DIHYDROTETRABENAZINE,SLC18A2,1,1.4892,1,0.1354,0.2108,0.0005,0.4021,0.2788,0.2838,0.0,0.0,0.0,0.212,0.1012,0.0,,,,
FLORBENAZINE,SLC18A2,1,1.4892,1,0.1354,0.2108,0.0005,0.4021,0.2788,0.2838,0.0,0.0,0.0,0.212,0.1012,0.0,,,,
LOBELANE,SLC18A2,1,1.4892,1,0.1354,0.2108,0.0005,0.4021,0.2788,0.2838,0.0,0.0,0.0,0.212,0.1012,0.0,,,,
LOBELINE,SLC18A2,1,1.4892,1,0.1354,0.2108,0.0005,0.4021,0.2788,0.2838,0.0,0.0,0.0,0.212,0.1012,0.0,,,,
MRK-560,SLC18A2,1,1.4892,1,0.1354,0.2108,0.0005,0.4021,0.2788,0.2838,0.0,0.0,0.0,0.212,0.1012,0.0,,,,
RESERPINE,SLC18A2,1,1.4892,1,0.1354,0.2108,0.0005,0.4021,0.2788,0.2838,0.0,0.0,0.0,0.212,0.1012,0.0,,,,
TETRABENAZINE,SLC18A2,1,1.4892,1,0.1354,0.2108,0.0005,0.4021,0.2788,0.2838,0.0,0.0,0.0,0.212,0.1012,0.0,,,,
IMIPRAMINE,HTR2A;HTR2C;SLC6A4,3,1.4262,1,0.1297,0.035,0.0879,0.2098,0.4697,0.1834,0.0865,0.1055,0.0607,0.0,0.1878,0.0,,,,
5-METHOXYTRYPTAMINE,HTR2A;HTR2C,2,1.2238,0,0.1113,0.0,0.0957,0.0813,0.361,0.1448,0.1599,0.212,0.0,0.0,0.1119,0.0572,,,,
CHLOROPHENYLPIPERAZINE,HTR2A;HTR2C,2,1.2238,0,0.1113,0.0,0.0957,0.0813,0.361,0.1448,0.1599,0.212,0.0,0.0,0.1119,0.0572,,,,
CYPROHEPTADINE,HTR2A;HTR2C,2,1.2238,0,0.1113,0.0,0.0957,0.0813,0.361,0.1448,0.1599,0.212,0.0,0.0,0.1119,0.0572,,,,
FANANSERIN,HTR2A;HTR2C,2,1.2238,0,0.1113,0.0,0.0957,0.0813,0.361,0.1448,0.1599,0.212,0.0,0.0,0.1119,0.0572,,,,
MEBUFOTENIN,HTR2A;HTR2C,2,1.2238,0,0.1113,0.0,0.0957,0.0813,0.361,0.1448,0.1599,0.212,0.0,0.0,0.1119,0.0572,,,,
MESCALINE,HTR2A;HTR2C,2,1.2238,0,0.1113,0.0,0.0957,0.0813,0.361,0.1448,0.1599,0.212,0.0,0.0,0.1119,0.0572,,,,
"N,N-DIMETHYLTRYPTAMINE",HTR2A;HTR2C,2,1.2238,0,0.1113,0.0,0.0957,0.0813,0.361,0.1448,0.1599,0.212,0.0,0.0,0.1119,0.0572,,,,
PIMAVANSERIN,HTR2A;HTR2C,2,1.2238,0,0.1113,0.0,0.0957,0.0813,0.361,0.1448,0.1599,0.212,0.0,0.0,0.1119,0.0572,,,,
PNU-22394,HTR2A;HTR2C,2,1.2238,0,0.1113,0.0,0.0957,0.0813,0.361,0.1448,0.1599,0.212,0.0,0.0,0.1119,0.0572,,,,
SUMATRIPTAN,HTR2A;HTR2C,2,1.2238,0,0.1113,0.0,0.0957,0.0813,0.361,0.1448,0.1599,0.212,0.0,0.0,0.1119,0.0572,,,,
VOLINANSERIN,HTR2A;HTR2C,2,1.2238,0,0.1113,0.0,0.0957,0.0813,0.361,0.1448,0.1599,0.212,0.0,0.0,0.1119,0.0572,,,,
KETANSERIN,DRD2;HTR2C;SLC18A2,3,1.1802,1,0.1073,0.035,0.0,0.2872,0.4697,0.1834,0.0865,0.1055,0.0,0.0,0.0129,0.0,,,,
SEROTONIN,HTR2A;HTR2C;SLC18A2,3,1.1802,1,0.1073,0.035,0.0,0.2872,0.4697,0.1834,0.0865,0.1055,0.0,0.0,0.0129,0.0,,,,
BUSPIRONE,DRD2,1,1.1799,1,0.1073,0.1449,0.0005,0.285,0.4052,0.1711,0.0,0.0,0.0,0.0131,0.0,0.1601,,,,
REMOXIPRIDE,DRD2,1,1.1799,1,0.1073,0.1449,0.0005,0.285,0.4052,0.1711,0.0,0.0,0.0,0.0131,0.0,0.1601,,,,
SPIRAMIDE,DRD2,1,1.1799,1,0.1073,0.1449,0.0005,0.285,0.4052,0.1711,0.0,0.0,0.0,0.0131,0.0,0.1601,,,,
SUMANIROLE,DRD2,1,1.1799,1,0.1073,0.1449,0.0005,0.285,0.4052,0.1711,0.0,0.0,0.0,0.0131,0.0,0.1601,,,,
"U-92,016-A",DRD2,1,1.1799,1,0.1073,0.1449,0.0005,0.285,0.4052,0.1711,0.0,0.0,0.0,0.0131,0.0,0.1601,,,,
APOMORPHINE,DRD1;DRD2,2,1.1579,0,0.1053,0.0587,0.0,0.2255,0.361,0.2757,0.0,0.068,0.0,0.0,0.1119,0.0572,,,,
DESMETHYLOLANZAPINE,DRD1;DRD2,2,1.1579,0,0.1053,0.0587,0.0,0.2255,0.361,0.2757,0.0,0.068,0.0,0.0,0.1119,0.0572,,,,
