drug_name,targets,pathway_id,pathway_name,raw_distance,z_score,p_value,proximity_score,significant
(+)-EHNA,PDE10A,R-HSA-112316,neuronal system,3.2857,-0.3949,0.346455,0.079,False
(+)-EHNA,PDE10A,GO:0007399,nervous system development,3.6667,0.3916,0.652335,0.0,False
(+)-EHNA,PDE10A,GO:0007268,chemical synaptic transmission,3.125,-0.546,0.292522,0.1092,False
(+)-EHNA,PDE10A,hsa04728,dopaminergic synapse,3.0,-0.1302,0.448207,0.026,False
(+)-EHNA,PDE10A,GO:0007409,axonogenesis,3.5,-0.2919,0.385191,0.0584,False
(+)-EHNA,PDE10A,GO:0021987,cerebral cortex development,4.0,0.55,0.708854,0.0,False
(+)-EHNA,PDE10A,GO:0030182,neuron differentiation,3.75,0.6742,0.749896,0.0,False
(+)-EHNA,PDE10A,GO:0001764,neuron migration,3.0,-0.2296,0.409208,0.0459,False
(+)-EHNA,PDE10A,GO:0050804,modulation of chemical synaptic transmission,3.0,-0.5627,0.286808,0.1125,False
(+)-EHNA,PDE10A,GO:0048699,generation of neurons,3.3333,-0.5059,0.306458,0.1012,False
(+)-EHNA,PDE10A,hsa04330,Notch signaling pathway,4.0,0.8006,0.78833,0.0,False
(R)-SKF-38393,DRD1,R-HSA-112316,neuronal system,3.1429,-0.7245,0.234364,0.1449,False
(R)-SKF-38393,DRD1,GO:0007399,nervous system development,3.3333,-0.3964,0.34592,0.0793,False
(R)-SKF-38393,DRD1,GO:0007268,chemical synaptic transmission,2.75,-1.4248,0.077102,0.285,False
(R)-SKF-38393,DRD1,hsa04728,dopaminergic synapse,2.0,-2.0262,0.021372,0.4052,True
(R)-SKF-38393,DRD1,GO:0007409,axonogenesis,3.0,-1.4188,0.077978,0.2838,False
(R)-SKF-38393,DRD1,GO:0021987,cerebral cortex development,3.5,-0.3517,0.362545,0.0703,False
(R)-SKF-38393,DRD1,GO:0030182,neuron differentiation,3.0,-1.0634,0.143807,0.2127,False
(R)-SKF-38393,DRD1,GO:0001764,neuron migration,3.0,-0.2296,0.409208,0.0459,False
(R)-SKF-38393,DRD1,GO:0050804,modulation of chemical synaptic transmission,3.0,-0.5627,0.286808,0.1125,False
(R)-SKF-38393,DRD1,GO:0048699,generation of neurons,3.0,-1.2245,0.110374,0.2449,False
(R)-SKF-38393,DRD1,hsa04330,Notch signaling pathway,3.0,-0.8006,0.21167,0.1601,False
"(R,S)-INDATRALINE",SLC6A4,R-HSA-112316,neuronal system,3.0,-1.0542,0.145898,0.2108,False
"(R,S)-INDATRALINE",SLC6A4,GO:0007399,nervous system development,3.1667,-0.7904,0.21466,0.1581,False
"(R,S)-INDATRALINE",SLC6A4,GO:0007268,chemical synaptic transmission,2.625,-1.7178,0.042919,0.3436,False
"(R,S)-INDATRALINE",SLC6A4,hsa04728,dopaminergic synapse,1.6667,-2.6582,0.003928,0.5316,True
"(R,S)-INDATRALINE",SLC6A4,GO:0007409,axonogenesis,3.0,-1.4188,0.077978,0.2838,False
"(R,S)-INDATRALINE",SLC6A4,GO:0021987,cerebral cortex development,3.5,-0.3517,0.362545,0.0703,False
"(R,S)-INDATRALINE",SLC6A4,GO:0030182,neuron differentiation,3.25,-0.4842,0.314125,0.0968,False
"(R,S)-INDATRALINE",SLC6A4,GO:0001764,neuron migration,2.5,-1.0992,0.135838,0.2198,False
"(R,S)-INDATRALINE",SLC6A4,GO:0050804,modulation of chemical synaptic transmission,3.0,-0.5627,0.286808,0.1125,False
"(R,S)-INDATRALINE",SLC6A4,GO:0048699,generation of neurons,3.0,-1.2245,0.110374,0.2449,False
"(R,S)-INDATRALINE",SLC6A4,hsa04330,Notch signaling pathway,3.0,-0.8006,0.21167,0.1601,False
4-DAMP,CHRM4,R-HSA-112316,neuronal system,4.0,1.2533,0.89495,0.0,False
4-DAMP,CHRM4,GO:0007399,nervous system development,4.0,1.1796,0.880925,0.0,False
4-DAMP,CHRM4,GO:0007268,chemical synaptic transmission,3.75,0.9186,0.820859,0.0,False
4-DAMP,CHRM4,hsa04728,dopaminergic synapse,3.0,-0.1302,0.448207,0.026,False
4-DAMP,CHRM4,GO:0007409,axonogenesis,4.0,0.8351,0.798157,0.0,False
4-DAMP,CHRM4,GO:0021987,cerebral cortex development,4.0,0.55,0.708854,0.0,False
4-DAMP,CHRM4,GO:0030182,neuron differentiation,3.75,0.6742,0.749896,0.0,False
