pathway_id,pathway_name,source,combined_p,n_convergent_genes,convergent_genes,n_druggable_targets,druggable_targets,n_drugs_covering,is_druggability_gap,cstc_relevant
R-HSA-112316,neuronal system,Reactome,2.1260295689046944e-05,7,CADPS2;CNTN6;CNTNAP2;NRXN1;RBFOX1;SLC6A1;SLITRK1,12,DRD1;DRD2;DRD3;DRD4;HTR2A;HTR2C;GABRA1;CHRM1;CHRM4;ADRA2A;SLC18A2;SLC6A4,202,False,True
GO:0007399,nervous system development,GO_BP,2.8929045750114767e-05,12,ASH1L;BCL11B;CELSR3;CNTN6;GXYLT1;MEF2C;NDE1;NR2F1;NRXN1;RBFOX1;TBX1;WWC1,0,,0,True,True
GO:0007268,chemical synaptic transmission,GO_BP,6.0948076770378865e-05,8,CADPS2;CNTN6;CNTNAP2;COMT;HDC;NRXN1;SLC6A1;SLITRK1,15,DRD1;DRD2;DRD3;DRD4;HTR2A;HTR2C;GABRA1;CHRM1;CHRM4;ADRA2A;CNR1;CNR2;HRH3;SLC18A2;SLC6A4,233,False,True
hsa04728,dopaminergic synapse,KEGG,0.00022439628409585632,4,COMT;OPRD1;OPRK1;SLC6A1,5,DRD1;DRD2;DRD3;DRD4;SLC18A2,66,False,True
GO:0007409,axonogenesis,GO_BP,0.0003728842491112479,6,CELSR3;CNTN6;NDE1;NR2F1;NRXN1;SLITRK1,0,,0,True,False
GO:0021987,cerebral cortex development,GO_BP,0.00047355074627579793,5,ASH1L;CELSR3;MEF2C;NDE1;NR2F1,0,,0,True,True
GO:0030182,neuron differentiation,GO_BP,0.0007853572864928276,7,ASH1L;BCL11B;CELSR3;MEF2C;NR2F1;NRXN1;RBFOX1,0,,0,True,False
GO:0001764,neuron migration,GO_BP,0.0032237718222493605,4,CELSR3;FN1;NDE1;NR2F1,0,,0,True,False
GO:0050804,modulation of chemical synaptic transmission,GO_BP,0.003575314733062866,5,CADPS2;CNTNAP2;MEF2C;NRXN1;SLC6A1,12,DRD1;DRD2;DRD3;DRD4;HTR2A;HTR2C;GABRA1;CHRM1;CHRM4;ADRA2A;CNR1;HRH3,205,False,True
GO:0048699,generation of neurons,GO_BP,0.0050067827559702694,7,BCL11B;CELSR3;CNTN6;MEF2C;NDE1;NR2F1;NRXN1,0,,0,True,False
hsa04330,Notch signaling pathway,KEGG,0.009568067942431872,2,GXYLT1;RBFOX1,0,,0,True,False
