rank,drug_name,composite_score,n_pathways,covered_pathways,targets,n_target_classes,target_classes,safety_tier,bbb_penetrant,in_ts_trials
1,KETANSERIN,0.6701,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,DRD2;HTR2C;SLC18A2,3,dopamine;serotonin;transporter,,,
2,GR-127935,0.6677,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,CHRM4;DRD1;SLC6A4,3,cholinergic;dopamine;transporter,,,
3,RISPERIDONE,0.6597,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,ADRA2A;CHRM1;DRD1;DRD3;HTR2A;HTR2C,4,adrenergic;cholinergic;dopamine;serotonin,tier_2_acceptable,True,True
4,OLANZAPINE,0.6561,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,ADRA2A;CHRM1;DRD1;DRD2;DRD3;DRD4;HTR2A;HTR2C,4,adrenergic;cholinergic;dopamine;serotonin,,,
5,CLOZAPINE,0.6539,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,ADRA2A;CHRM1;DRD1;DRD2;DRD3;DRD4;HRH3;HTR2A;HTR2C,5,adrenergic;cholinergic;dopamine;histamine;serotonin,,,
6,SEROTONIN,0.6076,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,HTR2A;HTR2C;SLC18A2,2,serotonin;transporter,,,
7,(R)-SKF-38393,0.6056,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,DRD1,1,dopamine,,,
8,A-86929,0.6056,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,DRD1,1,dopamine,,,
9,ALPHA-PHENYL-GAMMA-BUTYROLACTONE,0.6056,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,DRD1,1,dopamine,,,
10,DIHYDREXIDINE,0.6056,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,DRD1,1,dopamine,,,
11,ECOPIPAM,0.6056,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,DRD1,1,dopamine,tier_1_favorable,True,True
12,FENOLDOPAM,0.6056,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,DRD1,1,dopamine,,,
13,MAZAPERTINE,0.6056,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,DRD1,1,dopamine,,,
14,PHENYLTOLOXAMINE,0.6056,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,DRD1,1,dopamine,,,
15,SCH-23390,0.6056,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,DRD1,1,dopamine,,,
16,SKF-38393,0.6056,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,DRD1,1,dopamine,,,
17,DOPAMINE,0.6052,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,DRD1;DRD3;SLC6A4,2,dopamine;transporter,,,
18,QUETIAPINE,0.6039,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,CHRM1;DRD1;DRD3;HTR2A,3,cholinergic;dopamine;serotonin,,,
19,L-745870,0.6008,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,CHRM4;DRD3;DRD4;HTR2A;HTR2C,3,cholinergic;dopamine;serotonin,,,
20,ZOTEPINE,0.6008,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,CHRM4;DRD1;DRD3;HTR2A;HTR2C,3,cholinergic;dopamine;serotonin,,,
21,ZIPRASIDONE,0.5972,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,CHRM1;DRD1;DRD3;DRD4;HTR2A;HTR2C,3,cholinergic;dopamine;serotonin,,,
22,NAPHTHYRIDINONE,0.5893,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,GABRA1;SLC18A2,2,gaba;transporter,,,
23,ISOCLOZAPINE,0.5543,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,CHRM1;DRD3;DRD4,2,cholinergic;dopamine,,,
24,SERTINDOLE,0.5476,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,DRD1;DRD3;HTR2A;HTR2C,2,dopamine;serotonin,,,
25,BUSPIRONE,0.5451,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,DRD2,1,dopamine,,,
26,REMOXIPRIDE,0.5451,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,DRD2,1,dopamine,,,
27,SPIRAMIDE,0.5451,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,DRD2,1,dopamine,,,
28,SUMANIROLE,0.5451,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,DRD2,1,dopamine,,,
29,"U-92,016-A",0.5451,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,DRD2,1,dopamine,,,
30,APOMORPHINE,0.5436,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,DRD1;DRD2,1,dopamine,,,
