drug_name,targets,n_targets,n_target_classes,target_classes,n_pathways_binary,n_pathways_proximity,effective_coverage,covered_pathways,total_proximity_score,binary_score,proximity_score_norm,diversity_score,composite_score,repurposing_rank,repurposing_score,safety_tier,bbb_penetrant,in_ts_trials
KETANSERIN,DRD2;HTR2C;SLC18A2,3,3,dopamine;serotonin;transporter,4,1,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,1.1802,1.0,0.236,0.75,0.6701,,,,,
GR-127935,CHRM4;DRD1;SLC6A4,3,3,cholinergic;dopamine;transporter,4,1,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,1.1463,1.0,0.2293,0.75,0.6677,,,,,
RISPERIDONE,ADRA2A;CHRM1;DRD1;DRD3;HTR2A;HTR2C,6,4,adrenergic;cholinergic;dopamine;serotonin,4,0,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.1391,1.0,0.0278,1.0,0.6597,3,0.7634,tier_2_acceptable,True,True
OLANZAPINE,ADRA2A;CHRM1;DRD1;DRD2;DRD3;DRD4;HTR2A;HTR2C,8,4,adrenergic;cholinergic;dopamine;serotonin,4,0,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.0873,1.0,0.0175,1.0,0.6561,,,,,
CLOZAPINE,ADRA2A;CHRM1;DRD1;DRD2;DRD3;DRD4;HRH3;HTR2A;HTR2C,9,5,adrenergic;cholinergic;dopamine;histamine;serotonin,4,0,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.0551,1.0,0.011,1.0,0.6539,,,,,
SEROTONIN,HTR2A;HTR2C;SLC18A2,3,2,serotonin;transporter,4,1,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,1.1802,1.0,0.236,0.5,0.6076,,,,,
(R)-SKF-38393,DRD1,1,1,dopamine,4,1,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,2.0447,1.0,0.4089,0.25,0.6056,,,,,
A-86929,DRD1,1,1,dopamine,4,1,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,2.0447,1.0,0.4089,0.25,0.6056,,,,,
ALPHA-PHENYL-GAMMA-BUTYROLACTONE,DRD1,1,1,dopamine,4,1,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,2.0447,1.0,0.4089,0.25,0.6056,,,,,
DIHYDREXIDINE,DRD1,1,1,dopamine,4,1,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,2.0447,1.0,0.4089,0.25,0.6056,,,,,
ECOPIPAM,DRD1,1,1,dopamine,4,1,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,2.0447,1.0,0.4089,0.25,0.6056,2,0.876,tier_1_favorable,True,True
FENOLDOPAM,DRD1,1,1,dopamine,4,1,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,2.0447,1.0,0.4089,0.25,0.6056,,,,,
MAZAPERTINE,DRD1,1,1,dopamine,4,1,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,2.0447,1.0,0.4089,0.25,0.6056,,,,,
PHENYLTOLOXAMINE,DRD1,1,1,dopamine,4,1,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,2.0447,1.0,0.4089,0.25,0.6056,,,,,
SCH-23390,DRD1,1,1,dopamine,4,1,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,2.0447,1.0,0.4089,0.25,0.6056,,,,,
SKF-38393,DRD1,1,1,dopamine,4,1,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,2.0447,1.0,0.4089,0.25,0.6056,,,,,
