drug_a,drug_b,n_pathways_union,n_target_classes,target_classes,covered_pathways,complementarity,combo_score,ddi_severity,ddi_mechanism,ddi_recommendation,safety_score,adjusted_score,safety_a,safety_b,a_in_trials,b_in_trials
ARIPIPRAZOLE,GUANFACINE,4,3,adrenergic;dopamine;serotonin,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5258,minor,No significant PK interaction; complementary mechanisms,Common TS combination; monitor sedation,0.9,0.4732,tier_1_favorable,tier_1_favorable,True,True
ECOPIPAM,CLONIDINE,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5244,minor,No known PK interaction; complementary D1/alpha2 mechanisms,Favorable combination for TS,0.9,0.472,tier_1_favorable,tier_1_favorable,True,True
ECOPIPAM,GUANFACINE,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5244,minor,No known PK interaction; complementary D1/alpha2 mechanisms,Favorable combination for TS,0.9,0.472,tier_1_favorable,tier_1_favorable,True,True
RISPERIDONE,CLONIDINE,4,4,adrenergic;cholinergic;dopamine;serotonin,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5568,minor,Additive sedation; generally well-tolerated combination in TS,Common clinical combination; monitor sedation,0.765,0.426,tier_2_acceptable,tier_1_favorable,True,True
ARIPIPRAZOLE,CLONIDINE,4,3,adrenergic;dopamine;serotonin,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5258,unknown,,,0.7,0.3681,tier_1_favorable,tier_1_favorable,True,True
ECOPIPAM,PIMAVANSERIN,4,2,dopamine;serotonin,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5367,minor,No known PK interaction; complementary 5-HT2A/D1 mechanisms,Dual-circuit combination: cortical (5-HT2A) + striosomal (D1),0.675,0.3623,tier_1_favorable,,True,
ARIPIPRAZOLE,ATOMOXETINE,4,3,dopamine;serotonin;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.6433,unknown,,,0.525,0.3377,tier_1_favorable,,True,
ARIPIPRAZOLE,CITALOPRAM,4,3,dopamine;serotonin;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.6433,unknown,,,0.525,0.3377,tier_1_favorable,,True,
ARIPIPRAZOLE,DULOXETINE,4,3,dopamine;serotonin;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.6433,unknown,,,0.525,0.3377,tier_1_favorable,,True,
ARIPIPRAZOLE,NEFAZODONE,4,3,dopamine;serotonin;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.6433,unknown,,,0.525,0.3377,tier_1_favorable,,True,
