gene_symbol,tsaicg_gwas,rare_variant,de_novo_variant,ts_risk_combined,iron_homeostasis,hippo_signaling,hormone_receptors
ACO1,False,False,False,False,True,False,False
AR,False,False,False,False,False,False,True
ASH1L,True,False,False,True,False,False,False
BCL11B,True,False,False,True,False,False,False
CADPS2,True,False,False,True,False,False,False
CELSR3,True,False,False,True,False,False,False
CNTN6,False,True,False,True,False,False,False
CNTNAP2,True,False,False,True,False,False,False
COL27A1,True,False,False,True,False,False,False
ESR1,False,False,False,False,False,False,True
ESR2,False,False,False,False,False,False,True
EXOC1,False,False,True,True,False,False,False
FLT3,True,False,False,True,False,False,False
FTH1,False,False,False,False,True,False,False
FTL,False,False,False,False,True,False,False
GXYLT1,False,False,True,True,False,False,False
HAMP,False,False,False,False,True,False,False
HDC,False,True,False,True,False,False,False
IREB2,False,False,False,False,True,False,False
LATS1,False,False,False,False,False,True,False
LATS2,False,False,False,False,False,True,False
LHX6,True,False,False,True,False,False,False
MAOA,True,False,False,True,False,False,False
MEIS1,True,False,False,True,False,False,False
NDFIP2,True,False,False,True,False,False,False
NEGR1,True,False,False,True,False,False,False
NRXN1,True,True,False,True,False,False,False
NTN4,True,False,False,True,False,False,False
OPRD1,True,False,False,True,False,False,False
PPP5C,False,False,True,True,False,False,False
PTPRD,True,False,False,True,False,False,False
RBFOX1,True,False,False,True,False,False,False
RBM26,True,False,False,True,False,False,False
SEMA6D,True,False,False,True,False,False,False
SLC40A1,False,False,False,False,True,False,False
SLITRK1,False,True,False,True,False,False,False
STK3,False,False,False,False,False,True,False
STK4,False,False,False,False,False,True,False
TF,False,False,False,False,True,False,False
TFRC,False,False,False,False,True,False,False
WWC1,False,True,False,True,False,True,False
WWTR1,False,False,False,False,False,True,False
YAP1,False,False,False,False,False,True,False
