rank,drug_name,final_score,network_proximity_score,signature_score,pathway_relevance,safety_score,clinical_precedent,vmat2_penalty,safety_tier,pathway_annotations,bbb_penetrant,in_ts_trials,is_positive_control,is_negative_control
1,aripiprazole,0.8995,0.765,0.85,1.0,1.0,1.0,0.0,tier_1_favorable,D2_antagonist;5HT2_modulator,True,True,True,False
2,ecopipam,0.876,0.72,0.8,1.0,1.0,1.0,0.0,tier_1_favorable,D1_antagonist,True,True,True,False
3,risperidone,0.7634,0.648,0.72,1.0,0.7,0.8,0.0,tier_2_acceptable,D2_antagonist;5HT2_modulator,True,True,True,False
4,clonidine,0.7155,0.585,0.65,0.7,1.0,0.8,0.0,tier_1_favorable,alpha2_agonist,True,True,True,False
5,guanfacine,0.7061,0.567,0.63,0.7,1.0,0.8,0.0,tier_1_favorable,alpha2_agonist,True,True,True,False
6,haloperidol,0.7016,0.702,0.78,0.85,0.3,0.8,0.0,tier_3_caution,D2_antagonist,True,False,True,False
7,pimozide,0.6875,0.675,0.75,0.85,0.3,0.8,0.0,tier_3_caution,D2_antagonist,True,True,True,False
8,topiramate,0.6215,0.405,0.45,1.0,1.0,0.4,0.0,tier_1_favorable,GABA_modulator;glutamate_modulator,True,False,False,False
9,fluphenazine,0.604,0.63,0.7,0.85,0.3,0.4,0.0,tier_3_caution,D2_antagonist,True,False,False,False
10,xanomeline,0.58,0.45,0.5,0.9,0.7,0.4,0.0,tier_2_acceptable,M4_agonist,True,False,False,False
11,pitolisant,0.5635,0.495,0.55,0.7,0.7,0.4,0.0,tier_2_acceptable,H3R_modulator,True,False,False,False
12,cannabidiol,0.528,0.36,0.4,0.5,1.0,0.6,0.0,tier_1_favorable,endocannabinoid,True,True,False,False
13,n-acetylcysteine,0.4645,0.315,0.35,0.45,1.0,0.4,0.0,tier_1_favorable,glutamate_modulator,True,False,False,False
14,riluzole,0.4636,0.342,0.38,0.45,0.7,0.6,0.0,tier_2_acceptable,glutamate_modulator,True,True,False,False
15,fluvoxamine,0.416,0.27,0.3,0.55,0.7,0.4,0.0,tier_2_acceptable,5HT2_modulator,True,False,False,False
16,valbenazine,0.0225,0.135,0.15,0.1,0.3,0.6,0.9,tier_3_caution,VMAT2_inhibitor,True,True,False,True
17,deutetrabenazine,0.0181,0.108,0.12,0.1,0.3,0.4,0.9,tier_3_caution,VMAT2_inhibitor,True,False,False,True
