gene,module_id,is_seed,pathway_annotations
ACTB,0,False,
AGO2,0,False,
AKT1,0,False,
AMOT,0,False,
AMOTL1,0,False,
ANXA5,0,False,
APEX1,0,False,
APH1A,0,False,
APP,0,False,
AR,0,False,
ARC,0,False,
ARRB1,0,False,
ARRB2,0,False,
ASH1L,0,True,
ASXL1,0,False,
ATF3,0,False,
ATF4,0,False,
ATP13A2,0,False,
ATXN1,0,False,
ATXN2,0,False,
BATF,0,False,
BCL2,0,False,
BCL2L1,0,False,
BCL6,0,False,
BECN1,0,False,
BIRC5,0,False,
BLK,0,False,
BMX,0,False,
BRAF,0,False,
BRCA1,0,False,
BRD4,0,False,
BTBD9,0,False,
CALR,0,False,
CAMKMT,0,False,
CASP3,0,False,
CASP9,0,False,
CCDC192,0,False,
CCND1,0,False,
CCND2,0,False,
CCT3,0,False,
CDCA7L,0,False,
CDH1,0,False,
CDK5,0,False,
CDK6,0,False,
CDK9,0,False,
CDKN1A,0,False,
CDKN1B,0,False,
CDKN2A,0,False,
CEBPA,0,False,
CEBPB,0,False,
CEBPD,0,False,
CGN,0,False,
CREB1,0,False,PDE_cAMP_cGMP
CREBBP,0,False,
CTNNB1,0,False,
CTXN3,0,False,
CUX1,0,False,
CYCS,0,False,
DDN,0,False,
DISC1,0,False,
DLX1,0,False,
DLX2,0,False,
DLX3,0,False,
DLX5,0,False,
DNMT1,0,False,
DNMT3A,0,False,
DYNLL1,0,False,
E2F1,0,False,
EGR1,0,False,
EIF2AK3,0,False,
ELAVL1,0,False,
EP300,0,False,
ERN1,0,False,
ESR1,0,False,
ETV6,0,False,
EZH2,0,False,
FAM222A,0,False,
FBXW7,0,False,
FCRLA,0,False,
FGFR1OP,0,False,
FKBP5,0,False,
FOS,0,False,
FOXG1,0,False,
FOXM1,0,False,
FOXO1,0,False,
FOXO3,0,False,
FOXO4,0,False,
FRMD1,0,False,
FRMD6,0,False,
FSCN1,0,False,
GAPDH,0,False,
GATA2,0,False,
GATA3,0,False,
GFER,0,False,
GLI1,0,False,
GLYR1,0,False,
GON4L,0,False,
GSK3B,0,False,
H3-2,0,False,
H3-3B,0,False,
H3-4,0,False,
H3-5,0,False,
H3C12,0,False,
H3C13,0,False,
HDAC1,0,False,
HDAC2,0,False,
HDAC3,0,False,
HDAC8,0,False,
HES5,0,False,
HIF1A,0,False,
HMOX1,0,False,
HNRNPAB,0,False,
HOXA10,0,False,
HOXA7,0,False,
HOXA9,0,False,
HOXB1,0,False,
HOXB13,0,False,
HOXB2,0,False,
HOXB3,0,False,
HOXB8,0,False,
HSP90AA1,0,False,
HSP90AB1,0,False,
HSPA1B,0,False,
HSPA4,0,False,
HSPB1,0,False,
HSPB2,0,False,
HSPB3,0,False,
IDH1,0,False,
INTS4,0,False,
IRF4,0,False,
JAG1,0,False,
JUN,0,False,
JUNB,0,False,
KIAA0513,0,False,
KLF4,0,False,
KMT2A,0,False,
LATS1,0,False,
LATS2,0,False,
LDB1,0,False,
LHX6,0,True,
LIN28A,0,False,
LMX1B,0,False,
LRRK2,0,False,
MAB21L1,0,False,
MAB21L2,0,False,
MAP2K1,0,False,
MAP3K5,0,False,
MAPK1,0,False,
MAPK14,0,False,
MAPK3,0,False,
MAPK8,0,False,
MCL1,0,False,
MDM2,0,False,
MECP2,0,False,
MEIS1,0,True,
MEIS2,0,False,
MLLT3,0,False,
MORF4L1,0,False,
MORF4L2,0,False,
MPDZ,0,False,
MTOR,0,False,
MYC,0,False,
NANOG,0,False,
NANOGP8,0,False,
NCSTN,0,False,
NDN,0,False,
NF2,0,False,
NFAT5,0,False,
NFE2L2,0,False,
NIPBL,0,False,
NKX2-1,0,False,
NOTCH1,0,False,
NPM1,0,False,
NR3C1,0,False,
NUP98,0,False,
OCLN,0,False,
P4HB,0,False,
PARD6B,0,False,
PARP1,0,False,
PATJ,0,False,
PAX5,0,False,
PAX6,0,False,
PBX1,0,False,
PBX3,0,False,
PBX4,0,False,
PDIA3,0,False,
PGR,0,False,
PHF6,0,False,
PIAS1,0,False,
PIAS4,0,False,
PIWIL2,0,False,
POU2F1,0,False,
POU5F1,0,False,
PPARA,0,False,
PPARG,0,False,
PPIF,0,False,
PPP2CA,0,False,
PPP2CB,0,False,
PPP2R1A,0,False,
PPP2R1B,0,False,
PPP2R2A,0,False,
PPP2R2B,0,False,
PPP2R2C,0,False,
PPP2R2D,0,False,
PPP2R3A,0,False,
PPP2R3B,0,False,
PPP2R3C,0,False,
PPP2R5A,0,False,
PPP2R5B,0,False,
PPP2R5C,0,False,
PPP2R5D,0,False,
PPP2R5E,0,False,
PRDM1,0,False,
PRKN,0,False,
PRMT5,0,False,
PSENEN,0,False,
PTEN,0,False,
PTGS2,0,False,
PTPN14,0,False,
PTPN21,0,False,
PTPN5,0,False,
PXDN,0,False,
PXDNL,0,False,
RAB2A,0,False,
RACK1,0,False,
RAF1,0,False,
RARA,0,False,
RBBP5,0,False,
RBFOX1,0,True,
RBM24,0,False,
RBPMS,0,False,
RELA,0,False,
RUNX1,0,False,
RUNX2,0,False,
RUNX3,0,False,
SALL4,0,False,
SAV1,0,False,
SETD2,0,False,
SIN3A,0,False,
SIRT1,0,False,
SKOR1,0,False,
SLC2A1,0,False,
SLC7A11,0,False,
SMAD2,0,False,
SMAD3,0,False,
SMAD4,0,False,
SNAI1,0,False,
SNAI2,0,False,
SOX2,0,False,
SOX4,0,False,
SP1,0,False,
SPI1,0,False,
SRSF2,0,False,
SSBP2,0,False,
SSBP3,0,False,
SSBP4,0,False,
STAT3,0,True,immune_neuroinflammation
STMN1,0,False,
TARDBP,0,False,
TET2,0,False,
TJP1,0,False,
TMC6,0,False,
TP53,0,False,
TRIM24,0,False,
TWIST1,0,False,
VIM,0,False,
WT1,0,False,
WWC1,0,True,
YAP1,0,False,
YWHAB,0,False,
YWHAG,0,False,
YWHAZ,0,False,
YY1AP1,0,False,
ZEB1,0,False,
ZFHX3,0,False,
ZFP36,0,False,
ACHE,1,False,cholinergic_signaling
ACTN2,1,False,
ADAM22,1,False,
AHI1,1,False,
ALDH1L1,1,False,
AMPH,1,False,
APBA1,1,False,
APBA2,1,False,
ARHGEF9,1,False,
AUTS2,1,False,
BIN1,1,False,
CACNA1C,1,False,
CACNA1D,1,False,
CACNA1F,1,False,
CACNA1H,1,False,
CACNA1S,1,False,
CACNB4,1,False,
CACNG2,1,False,
CACNG3,1,False,
CACNG4,1,False,
CACNG5,1,False,
CACNG7,1,False,
CACNG8,1,False,
CADM1,1,False,
CADPS2,1,True,
CALB1,1,False,striatal_interneuron_markers
CALB2,1,False,
CALM3,1,False,
CALML3,1,False,
CALML4,1,False,
CALML5,1,False,
CALML6,1,False,
CAMK2A,1,False,
CAMK2B,1,False,
CAMK2D,1,False,
CAMK2G,1,False,
CAMK4,1,False,
CASK,1,False,
CASKIN1,1,False,
CAV1,1,False,
CBLN1,1,False,
CDH9,1,False,
CHAT,1,True,cholinergic_signaling;striatal_interneuron_markers
CHKA,1,False,
CHKB,1,False,
CHRNA10,1,False,
CHRNA3,1,False,
CHRNA4,1,False,cholinergic_signaling
CHRNA6,1,False,
CHRNA9,1,False,
CHRNB2,1,False,cholinergic_signaling
CHRNB4,1,False,
CLCN2,1,False,
CLSTN3,1,False,
CNIH2,1,False,
CNIH3,1,False,
CNTN1,1,False,
CNTN2,1,False,
CNTN4,1,False,
CNTNAP2,1,True,synaptic_adhesion_axon_guidance
DAG1,1,False,
DAPK1,1,False,
DCX,1,False,
DLG1,1,False,
DLG2,1,False,
DLG3,1,False,
DLG4,1,False,
DLGAP1,1,False,
DLGAP2,1,False,
DLGAP3,1,False,
DNAJC5,1,False,
DPP10,1,False,
DPP6,1,False,
DPYSL5,1,False,
DYRK1A,1,False,
EFHC1,1,False,
EFNB3,1,False,
EPB41,1,False,
EXOC4,1,False,
FABP7,1,False,
FIP1L1,1,False,
FKBP1A,1,False,
FKTN,1,False,
FOXP2,1,False,
FXYD1,1,False,
GABARAP,1,False,
GABARAPL1,1,False,
GABARAPL2,1,False,
GABBR1,1,False,
GABBR2,1,False,
GABRA1,1,True,GABAergic_transmission
GABRA2,1,False,GABAergic_transmission
GABRA3,1,False,
GABRA4,1,False,
GABRA5,1,False,
GABRA6,1,False,
GABRB1,1,False,GABAergic_transmission
GABRB2,1,False,GABAergic_transmission
GABRB3,1,False,
GABRD,1,False,
GABRE,1,False,
GABRG1,1,False,
GABRG2,1,True,GABAergic_transmission
GABRG3,1,False,
GABRP,1,False,
GABRQ,1,False,
GABRR1,1,False,
GABRR2,1,False,
GFAP,1,False,
GPCPD1,1,False,
GPHN,1,False,
GPR37,1,False,
GRIA1,1,False,glutamatergic_transmission
GRIA2,1,False,glutamatergic_transmission
GRIA3,1,False,
GRIA4,1,False,
GRID2,1,False,
GRIK2,1,False,
GRIK3,1,False,
GRIK5,1,False,
GRIN1,1,False,glutamatergic_transmission
GRIN2A,1,False,glutamatergic_transmission
GRIN2B,1,True,glutamatergic_transmission
GRIN2C,1,False,
GRIN2D,1,False,
GRIN3A,1,False,
GRIN3B,1,False,
GRM3,1,False,
GRM5,1,False,glutamatergic_transmission
HAP1,1,False,
HOMER1,1,False,
HSD17B4,1,False,
HTR3A,1,False,serotonin_signaling
IGLON5,1,False,
IL1RAPL1,1,False,
IL1RAPL2,1,False,
IMMP2L,1,False,
KALRN,1,False,
KCNA1,1,False,
KCNA2,1,False,
KCNAB2,1,False,
KCNJ10,1,False,
KCNQ2,1,False,
KCTD3,1,False,
KIF17,1,False,
KIFAP3,1,False,
LGI1,1,False,
LIN7A,1,False,
LIN7B,1,False,
LIN7C,1,False,
LRFN1,1,False,
LRFN5,1,False,
LRP1B,1,False,
LRRC4B,1,False,
LRRC7,1,False,
LRRTM1,1,False,
LRRTM2,1,False,
LRRTM3,1,False,
LRRTM4,1,False,
MAP2,1,False,
MPP2,1,False,
MPP3,1,False,
MTSS1,1,False,
MYL6B,1,False,
NCS1,1,False,
NFASC,1,False,
NLGN1,1,False,synaptic_adhesion_axon_guidance
NLGN2,1,False,synaptic_adhesion_axon_guidance
NLGN3,1,False,
NLGN4X,1,False,
NLGN4Y,1,False,
NOS1,1,False,striatal_interneuron_markers
NOS2,1,False,
NOVA1,1,False,
NRCAM,1,False,
NRXN1,1,True,synaptic_adhesion_axon_guidance
NRXN2,1,False,
NRXN3,1,False,
NSF,1,False,
NXN,1,False,
NXPH1,1,False,
NXPH2,1,False,
NXPH3,1,False,
NXPH4,1,False,
OLFM2,1,False,
OLIG2,1,False,
PAMR1,1,False,
PAWR,1,False,
PHOSPHO1,1,False,
PICK1,1,False,
PLCL1,1,False,
PNMA2,1,False,
PPFIA1,1,False,
PPFIA2,1,False,
PPFIA3,1,False,
PPFIBP1,1,False,
PPFIBP2,1,False,
PPP1CA,1,False,
PPP1CB,1,False,
PPP1CC,1,False,
PPP1R1B,1,False,dopamine_signaling
PPP1R9B,1,False,
PRKACA,1,False,PDE_cAMP_cGMP
PRKACB,1,False,
PRKACG,1,False,
PRLHR,1,False,
PTCHD1,1,False,
PTPRD,1,True,
PTPRG,1,False,
PTPRS,1,False,
PVALB,1,True,GABAergic_transmission;striatal_interneuron_markers
RAB3A,1,False,
RASGRF1,1,False,
RASGRF2,1,False,
RBFOX3,1,False,
RCVRN,1,False,
S100B,1,False,
S100G,1,False,
SCGN,1,False,
SCN1A,1,False,
SCN1B,1,False,
SCN2A,1,False,
SCN8A,1,False,
SCN9A,1,False,
SDF4,1,False,
SGCE,1,False,
SHANK1,1,False,
SHANK2,1,False,
SHANK3,1,False,
SHISA9,1,False,
SLC17A6,1,False,glutamatergic_transmission
SLC17A7,1,False,glutamatergic_transmission
SLC17A8,1,False,
SLC18A1,1,False,
SLC18A2,1,True,dopamine_signaling
SLC18A3,1,False,
SLC1A1,1,False,
SLC1A2,1,True,glutamatergic_transmission
SLC1A3,1,False,glutamatergic_transmission
SLC25A20,1,False,
SLC29A4,1,False,
SLC32A1,1,False,GABAergic_transmission
SLC5A7,1,False,cholinergic_signaling
SLC6A1,1,False,GABAergic_transmission
SLC6A5,1,False,
SLITRK1,1,True,synaptic_adhesion_axon_guidance
SLITRK2,1,False,
SLITRK3,1,False,
SNAP25,1,False,
SNCA,1,False,
SNCAIP,1,False,
SNX4,1,False,
SPARCL1,1,False,
STX1A,1,False,
STXBP1,1,False,
SYN1,1,False,
SYN3,1,False,
SYNGAP1,1,False,
SYNGR3,1,False,
SYP,1,False,
SYT1,1,False,
SYT13,1,False,
SYT2,1,False,
TBR1,1,False,
TRAK2,1,False,
TRPA1,1,False,
TRPV1,1,False,
VAMP2,1,False,
VAMP7,1,False,
ZIC4,1,False,
ACKR1,2,False,
ACKR2,2,False,
ACKR4,2,False,
C5AR1,2,False,
CCL1,2,False,
CCL11,2,False,
CCL13,2,False,
CCL14,2,False,
CCL15,2,False,
CCL16,2,False,
CCL17,2,False,
CCL18,2,False,
CCL19,2,False,
CCL2,2,True,immune_neuroinflammation
CCL20,2,False,
CCL21,2,False,
CCL22,2,False,
CCL23,2,False,
CCL24,2,False,
CCL25,2,False,
CCL26,2,False,
CCL27,2,False,
CCL28,2,False,
CCL3,2,False,
CCL3L1,2,False,
CCL4,2,False,
CCL4L2,2,False,
CCL5,2,False,
CCL7,2,False,
CCL8,2,False,
CCR1,2,False,
CCR10,2,False,
CCR2,2,True,immune_neuroinflammation
CCR3,2,False,
CCR4,2,False,
CCR5,2,False,
CCR6,2,False,
