drug_name,signature_score,vmat2_penalty,is_positive_control,is_negative_control
valbenazine,-0.15,0.9,False,True
deutetrabenazine,-0.12,0.9,False,True
aripiprazole,-0.85,0.0,True,False
ecopipam,-0.8,0.0,True,False
haloperidol,-0.78,0.0,True,False
pimozide,-0.75,0.0,True,False
risperidone,-0.72,0.0,True,False
fluphenazine,-0.7,0.0,False,False
clonidine,-0.65,0.0,True,False
guanfacine,-0.63,0.0,True,False
pitolisant,-0.55,0.0,False,False
xanomeline,-0.5,0.0,False,False
topiramate,-0.45,0.0,False,False
cannabidiol,-0.4,0.0,False,False
riluzole,-0.38,0.0,False,False
n-acetylcysteine,-0.35,0.0,False,False
fluvoxamine,-0.3,0.0,False,False
