disease	abbreviation	rg	rg_se	p_value	h2_ts	h2_ts_se	h2_disease	h2_disease_se	gcov_intercept	n_snps	disease_n	disease_n_cases	gwas_id	first_author	year	fdr_q	significant_fdr05
Celiac disease	CEL	0.127185	0.057406	0.026724	0.008932	0.004578	0.056235	0.002289	-0.092464	43195	24269	4533	GCST005523	Dubois	2010	0.390296	False
Hashimoto thyroiditis	HT	0.598383	0.323620	0.064453	0.056911	0.033513	0.003273	0.000834	-0.038393	1129153	462245	7149	GCST90018890	Sakaue	2021	0.390296	False
Primary biliary cholangitis	PBC	-0.378470	0.214789	0.078059	0.027592	0.011112	0.046033	0.009610	0.034421	581653	24510	8021	GCST90061440	Cordell	2022	0.390296	False
Type 1 diabetes	T1D	0.275843	0.196534	0.160456	0.056501	0.033505	0.007482	0.000978	-0.029607	1129740	520580	18942	GCST90014023	Chiou	2021	0.601710	False
Psoriasis	PSO	0.113674	0.113352	0.315938	0.008983	0.004681	0.007931	0.001701	-0.033167	47031	39051	13229	GCST005527	Tsoi	2017	0.906975	False
Graves' disease	GD	1.156880	1.501453	0.440999	0.056911	0.033513	0.000426	0.000852	-0.027315	1129153	458620	3524	GCST90018885	Sakaue	2021	0.906975	False
Alopecia areata	AA	0.220043	0.331730	0.507127	0.056911	0.033513	0.002154	0.000694	-0.011624	1129153	459208	4112	GCST90018875	Sakaue	2021	0.906975	False
Systemic lupus erythematosus	SLE	-0.279861	0.491657	0.569208	0.063726	0.027672	0.033183	0.028462	0.018345	1010985	23210	7219	GCST003156	Bentham	2015	0.906975	False
Rheumatoid arthritis	RA	0.114443	0.224941	0.610913	0.059031	0.031190	0.011486	0.001728	-0.010002	1129328	276020	37578	GCST90132223	Ishigaki	2022	0.906975	False
Ulcerative colitis	UC	0.098443	0.218474	0.652283	0.061092	0.029566	0.059324	0.006931	-0.006290	1094068	45975	12366	GCST004133	de Lange	2017	0.906975	False
Vitiligo	VIT	0.169734	0.392121	0.665115	0.056911	0.033513	0.002411	0.001166	-0.009967	1129153	458620	3524	GCST90018935	Sakaue	2021	0.906975	False
Myasthenia gravis	MG	-0.123951	0.546748	0.820652	0.067789	0.029717	0.000504	0.000832	0.002164	1128404	456027	931	GCST90018897	Sakaue	2021	0.918971	False
Crohn's disease	CD	0.037190	0.180404	0.836674	0.067405	0.028784	0.085788	0.013126	-0.003254	1094184	40266	12194	GCST004132	de Lange	2017	0.918971	False
Ankylosing spondylitis	AS	0.020658	0.115220	0.857707	0.003713	0.002480	0.010141	0.001052	-0.015693	35874	33720	9069	GCST005529	IGAS	2016	0.918971	False
Inflammatory bowel disease	IBD	-0.003436	0.197998	0.986156	0.061134	0.029549	0.062095	0.006402	0.002551	1093624	59957	25042	GCST004131	de Lange	2017	0.986156	False
Multiple sclerosis	MS				0.058926	0.032753	-0.002370	0.003147	-0.006803	1104165	174006	20530	GCST90277800	IMSGC	2024		False
