cell_type	beta	se	t_stat	p_value	n_genes	fdr	bonferroni
Plasmablasts	0.39201108107545524	0.10101069745700214	3.880886786692321	5.221514988503607e-05	18864	0.0013053787471259018	0.0013053787471259018
Plasmacytoid_DC	0.10085907131278908	0.04495825115277406	2.2433940094790756	0.012441488250026358	18864	0.15454906936137341	0.31103720625065895
Treg_memory	0.20470954994635615	0.0981867383321527	2.0849001955218323	0.01854588832336481	18864	0.15454906936137341	0.46364720808412024
Th2	0.10742236226097755	0.08056195391277257	1.3334130696145694	0.0912061945970007	18864	0.5216893839348362	1.0
Th1	0.13657941231446757	0.10863275469525052	1.2572581142549162	0.10433787678696724	18864	0.5216893839348362	1.0
Myeloid_DC	0.03906956788649886	0.04842244920133311	0.8068482394199764	0.20988204837215402	18864	0.8745085348839751	1.0
NK_memory	0.04471631744912976	0.06794259803547394	0.6581484774218178	0.25522538047498844	18864	0.9097233942419362	1.0
CD8_T	0.04477417645348418	0.08947100855284358	0.5004322313751448	0.3083883009800382	18864	0.9097233942419362	1.0
CD8_T_naive	0.025755427945844622	0.06972385132549204	0.3693919291063038	0.3559198798945664	18864	0.9097233942419362	1.0
Monocyte	0.013562993549056311	0.03896437585593056	0.34808702182745116	0.36388935769677444	18864	0.9097233942419362	1.0
NK_mature	0.0073478338646008395	0.06197981232021445	0.11855205089422924	0.4528157588439842	18864	0.9519992787876099	1.0
CD8_T_effector_memory	-0.007255649718106327	0.08400470980715129	-0.08637193955866337	0.5344141653099928	18864	0.9519992787876099	1.0
NK_immature	-0.004376230342159208	0.03138691112822399	-0.1394285128689831	0.5554434844551134	18864	0.9519992787876099	1.0
CD8_T_central_memory	-0.011279886005070083	0.05835671900284337	-0.1932919841590217	0.5766338074937117	18864	0.9519992787876099	1.0
CD4_T_effector	-0.0181789088560004	0.06043106470775591	-0.30082059523381627	0.6182226907423427	18864	0.9519992787876099	1.0
B_bulk	-0.02974191319766977	0.06727259072997616	-0.44211041785279426	0.6707928123947273	18864	0.9519992787876099	1.0
CD4_T_memory	-0.05809351433040742	0.12648218424823696	-0.4593019536758766	0.6769886808221816	18864	0.9519992787876099	1.0
Gamma_delta_T	-0.04747840826223865	0.08502864971817779	-0.558381303473628	0.7117046673231271	18864	0.9519992787876099	1.0
Tfh	-0.058968835376770376	0.09664674970231514	-0.610148148369213	0.7291144873848348	18864	0.9519992787876099	1.0
CD4_T_naive	-0.06839734714069971	0.0961351028741905	-0.7114710974014303	0.7615994230300879	18864	0.9519992787876099	1.0
Th17	-0.11470272538598032	0.0950464480379623	-1.2068070691096962	0.886239205800153	18864	0.9751009589145018	1.0
B_memory	-0.09472503074427349	0.07122009827188398	-1.330032294853891	0.9082381430753766	18864	0.9751009589145018	1.0
Treg_naive	-0.12264106034472715	0.07012423533244456	-1.7489111968681172	0.9598386815387093	18864	0.9751009589145018	1.0
Treg	-0.11668091338837919	0.06343759229292313	-1.8393023627001002	0.9670567829587876	18864	0.9751009589145018	1.0
B_naive	-0.06849913624368367	0.034916109607270984	-1.9618204036517088	0.9751009589145018	18864	0.9751009589145018	1.0
