gene,score,logfoldchange,pval,pval_adj,subtype
PVALB,36.144688,,4.508903220280011e-286,3.7444186792815355e-282,PV_FSI
DPP10,31.406652,,1.6415658484236533e-216,9.088255725489486e-213,PV_FSI
ERBB4,24.262379,,4.894754220707201e-130,8.129697285172592e-127,PV_FSI
ZNF804A,20.935799,,2.5279148824216597e-97,2.7990758854760897e-94,PV_FSI
SLIT2,20.605429,,2.453383077399558e-94,2.3969552666193684e-91,PV_FSI
NEFH,19.686256,,2.8284081706255576e-86,2.6098350725511046e-83,PV_FSI
ATRNL1,19.425762,,4.673951574963281e-84,4.0857716688718486e-81,PV_FSI
KCNAB1,17.59693,,2.600478318461e-69,1.963242926878125e-66,PV_FSI
FAM19A2,17.084385,,1.9397983040006746e-65,1.2887244012458883e-62,PV_FSI
SLC24A2,16.726624,,8.386008080563887e-63,5.357046469618677e-60,PV_FSI
GRIA4,16.276846,,1.4410611493731665e-59,7.479557696855914e-57,PV_FSI
TMEM132C,16.151289,,1.1121465527512529e-58,5.597467301407745e-56,PV_FSI
SPARCL1,16.062893,,4.643759213965449e-58,2.2036627652786327e-55,PV_FSI
RGS5,15.955059,,2.6272637829319856e-57,1.2121173380754819e-54,PV_FSI
SLC9A9,15.736091,,8.55697456456827e-56,3.7400734353398525e-53,PV_FSI
BTBD11,15.471365,,5.414637100262613e-54,2.0439024454150396e-51,PV_FSI
FMN1,15.289518,,8.981154261704077e-53,3.242782415927022e-50,PV_FSI
ESRRG,14.733546,,3.925543161319701e-49,1.3305989054358962e-46,PV_FSI
CPLX1,14.483837,,1.5329483286679064e-47,4.896295921316396e-45,PV_FSI
CALN1,13.807202,,2.306142928175094e-43,6.719776823519323e-41,PV_FSI
GAD2,13.787922,,3.0131685341871332e-43,8.482324777002389e-41,PV_FSI
CNTNAP5,13.68254,,1.2910375082254463e-42,3.5152199957567932e-40,PV_FSI
LANCL1,13.601981,,3.897295704846242e-42,9.958489901814035e-40,PV_FSI
