Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,subtype
Reactome_2022,Neuronal System R-HSA-112316,11/386,2.2843835448105333e-09,4.043358874314645e-07,0,0,14.723076923076922,292.94755905008725,GNAL;KCNC1;LRRTM4;ERBB4;NEFL;GAD2;KCNAB1;ADCY1;CPLX1;GRIA4;HCN1,PV_FSI
Reactome_2022,Transmission Across Chemical Synapses R-HSA-112315,7/246,2.4889479610650325e-06,0.00022027189455425537,0,0,13.425805196068891,173.24189715735622,GNAL;ERBB4;NEFL;GAD2;ADCY1;CPLX1;GRIA4,PV_FSI
GO_Biological_Process_2023,Intermediate Filament Bundle Assembly (GO:0045110),3/7,5.109076037011196e-07,0.0002426811117580318,0,0,318.28723404255317,4611.051692443593,NEFL;NEFM;NEFH,PV_FSI
GO_Biological_Process_2023,Regulation Of Monoatomic Cation Transmembrane Transport (GO:1904062),4/39,2.6646434639029728e-06,0.000632852822676956,0,0,49.47826086956522,635.0752632396991,DPP10;KCNAB1;FGF12;HCN1,PV_FSI
Reactome_2022,Activation Of NMDA Receptors And Postsynaptic Events R-HSA-442755,4/74,3.4954026436736424e-05,0.0020622875597674,0,0,24.695652173913043,253.41386407327417,ERBB4;NEFL;ADCY1;GRIA4,PV_FSI
GO_Biological_Process_2023,Potassium Ion Transport (GO:0006813),5/122,1.3229905589209165e-05,0.0020947350516247,0,0,18.83475783475783,211.5714132858245,SLC24A2;KCNC1;SLC9A9;KCNAB1;HCN1,PV_FSI
Reactome_2022,Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314,5/182,8.980113343789148e-05,0.0039737001546266,0,0,12.412429378531073,115.6579365828799,GNAL;ERBB4;NEFL;ADCY1;GRIA4,PV_FSI
Reactome_2022,Adenylate Cyclase Activating Pathway R-HSA-170660,2/9,0.00021804660985203623,0.007718849988762,0,0,118.70833333333331,1000.8064198202924,GNAL;ADCY1,PV_FSI
Reactome_2022,Transcriptional Regulation By MECP2 R-HSA-8986944,3/60,0.000455062391672894,0.0105704496459116,0,0,22.27659574468085,171.42009780807578,MEF2C;GAD2;PVALB,PV_FSI
Reactome_2022,Adenylate Cyclase Inhibitory Pathway R-HSA-170670,2/13,0.00046942457388711873,0.0105704496459116,0,0,75.52651515151516,578.8354329773197,GNAL;ADCY1,PV_FSI
Reactome_2022,Post NMDA Receptor Activation Events R-HSA-438064,3/61,0.0004777604359734098,0.0105704496459116,0,0,21.891415994130593,167.39054801840658,ERBB4;NEFL;ADCY1,PV_FSI
Reactome_2022,"GABA Synthesis, Release, Reuptake And Degradation R-HSA-888590",2/19,0.0010193089566942,0.0200464094816537,0,0,48.85539215686274,336.54673838088314,GAD2;CPLX1,PV_FSI
Reactome_2022,"Unblocking Of NMDA Receptors, Glutamate Binding And Activation R-HSA-438066",2/21,0.0012477930702112,0.0220859373427386,0,0,43.708333333333336,292.25047477799524,NEFL;GRIA4,PV_FSI
Reactome_2022,Long-term Potentiation R-HSA-9620244,2/23,0.0014985033958486,0.0241122819150198,0,0,39.541666666666664,257.15086234948103,ERBB4;NEFL,PV_FSI
GO_Biological_Process_2023,Potassium Ion Transmembrane Transport (GO:0071805),4/137,0.00038005762975849497,0.0284500945402013,0,0,12.956521739130435,102.03504010982898,SLC24A2;KCNC1;SLC9A9;HCN1,PV_FSI
GO_Biological_Process_2023,Modulation Of Chemical Synaptic Transmission (GO:0050804),4/123,0.0002520741213679085,0.0284500945402013,0,0,14.491048593350383,120.06974757642791,MEF2C;LRRC4C;CPLX1;GRIA4,PV_FSI
GO_Biological_Process_2023,Regulation Of Monoatomic Ion Transmembrane Transporter Activity (GO:0032412),3/69,0.0006858216610371124,0.0284500945402013,0,0,19.230174081237912,140.08975927188362,MEF2C;FGF12;HCN1,PV_FSI
GO_Biological_Process_2023,Retrograde Axonal Transport (GO:0008090),2/15,0.0006299020654549659,0.0284500945402013,0,0,63.90064102564103,470.9442866528224,MAP1A;NEFL,PV_FSI
GO_Biological_Process_2023,Negative Regulation Of Synaptic Transmission (GO:0050805),2/15,0.0006299020654549659,0.0284500945402013,0,0,63.90064102564103,470.9442866528224,SLC24A2;HCN1,PV_FSI
GO_Biological_Process_2023,Negative Regulation Of Smooth Muscle Cell Migration (GO:0014912),2/14,0.0005467878206419364,0.0284500945402013,0,0,69.22916666666667,520.0114050756229,MEF2C;SLIT2,PV_FSI
GO_Biological_Process_2023,Positive Regulation Of Cardiac Muscle Cell Proliferation (GO:0060045),2/13,0.00046942457388711873,0.0284500945402013,0,0,75.52651515151516,578.8354329773197,MEF2C;ERBB4,PV_FSI
GO_Biological_Process_2023,Regulation Of Cation Channel Activity (GO:2001257),3/56,0.0003712232496723555,0.0284500945402013,0,0,23.962665596146127,189.274072690484,KCNAB1;FGF12;HCN1,PV_FSI
GO_Biological_Process_2023,Positive Regulation Of Cardiac Muscle Tissue Growth (GO:0055023),2/16,0.0007187392304892979,0.0284500945402013,0,0,59.333333333333336,429.45537567816734,MEF2C;ERBB4,PV_FSI
GO_Biological_Process_2023,Regulation Of Cardiac Muscle Cell Proliferation (GO:0060043),2/20,0.0011307590059983,0.0308810343290961,0,0,46.138888888888886,313.0461870363529,MEF2C;ERBB4,PV_FSI
GO_Biological_Process_2023,Regulation Of Neurotransmitter Transport (GO:0051588),2/21,0.0012477930702112,0.0308810343290961,0,0,43.708333333333336,292.25047477799524,MEF2C;CPLX1,PV_FSI
GO_Biological_Process_2023,Axonogenesis (GO:0007409),4/188,0.0012424779544873,0.0308810343290961,0,0,9.341209829867674,62.49874259702174,EPHA6;MAP1A;SLIT2;NEFH,PV_FSI
GO_Biological_Process_2023,Sodium Ion Transmembrane Transport (GO:0035725),3/82,0.0011330918930874,0.0308810343290961,0,0,16.055211419337464,108.89937140961504,SLC24A2;SLC9A9;HCN1,PV_FSI
GO_Biological_Process_2023,Regulation Of Cellular Response To Growth Factor Stimulus (GO:0090287),2/19,0.0010193089566942,0.0308810343290961,0,0,48.85539215686274,336.54673838088314,SLIT2;SULF1,PV_FSI
GO_Biological_Process_2023,Cell Morphogenesis Involved In Neuron Differentiation (GO:0048667),3/77,0.0009441676964961806,0.0308810343290961,0,0,17.14433582518689,119.41384383677423,MEF2C;MAP1A;NEFH,PV_FSI
GO_Biological_Process_2023,Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742),4/172,0.000893667581933279,0.0308810343290961,0,0,10.23913043478261,71.88050474501917,SDK1;TENM2;LRRC4C;CDH18,PV_FSI
GO_Biological_Process_2023,Exocytosis (GO:0006887),3/86,0.0013002540770145,0.0308810343290961,0,0,15.27839015637016,101.52789088565108,CADPS;ANK1;CPLX1,PV_FSI
