TF,target,importance
BACH1,A2ML1,0.03872309486503475
BACH2,A2ML1,0.0443266881002519
BCL11A,A2ML1,0.02599945222685303
CREB5,A2ML1,0.02703805221306032
DLX1,A2ML1,0.021561477548794176
ID2,A2ML1,0.02593515973024247
KLF6,A2ML1,0.021498270407458227
LHX6,A2ML1,0.02906542350991173
MAF,A2ML1,0.05463954947524477
MAFB,A2ML1,0.026428004354639035
NFIB,A2ML1,0.038482913946497554
NFIX,A2ML1,0.025928242942534444
NPAS3,A2ML1,0.06431984925905776
PROX1,A2ML1,0.020950192775243785
RORB,A2ML1,0.025421655003226597
RXRA,A2ML1,0.033293483808435054
SATB1,A2ML1,0.05320947118906435
SOX5,A2ML1,0.03654709035056185
SOX6,A2ML1,0.06043049510668526
ZBTB20,A2ML1,0.052276101654135716
BACH1,AAED1,0.04621237200846959
BACH2,AAED1,0.0391408367220782
CEBPB,AAED1,0.023618833754250886
DLX1,AAED1,0.040398293209478936
ID2,AAED1,0.033000650297578434
JUN,AAED1,0.01901414660916954
LHX6,AAED1,0.023269701145964126
MAF,AAED1,0.047679456485100774
MAFB,AAED1,0.037591940398744514
NFIA,AAED1,0.042741224451760124
NFIB,AAED1,0.03757674682527414
NFIX,AAED1,0.032125326895907615
NPAS1,AAED1,0.031828256900434344
NPAS3,AAED1,0.04432037065957016
PROX1,AAED1,0.031687734870348795
SATB1,AAED1,0.04082756469712247
SOX5,AAED1,0.026660058055824117
SOX6,AAED1,0.041354851904984696
ZBTB20,AAED1,0.04193918275200532
BACH1,AARD,0.025834637274376654
BACH2,AARD,0.030198046472336745
BCL11A,AARD,0.02782114354598189
BCL11B,AARD,0.027416587416058277
CREB3,AARD,0.023324947460041396
DLX1,AARD,0.05108828969388299
ETV1,AARD,0.04376556041158602
ID2,AARD,0.057297637652422254
KLF13,AARD,0.02253826364820366
MAF,AARD,0.03355254846985161
MAFB,AARD,0.03312833944598872
NFIA,AARD,0.03249575077968757
NFIB,AARD,0.04288088674206304
NFIX,AARD,0.06976123136013343
NPAS1,AARD,0.0387717233771252
NPAS3,AARD,0.04118553129579897
POU3F3,AARD,0.021535180736248893
PROX1,AARD,0.02523475169256746
RARB,AARD,0.024882230223681655
RXRA,AARD,0.020670728691164996
ZBTB20,AARD,0.057756524060033114
BACH1,AATK-AS1,0.033210557449018824
BACH2,AATK-AS1,0.04660218914930597
BCL11A,AATK-AS1,0.028921218092699177
BCL11B,AATK-AS1,0.022165839312354763
DLX1,AATK-AS1,0.024797669574638435
ETV1,AATK-AS1,0.02088909404110823
ID2,AATK-AS1,0.03466431609928404
LHX6,AATK-AS1,0.02663480470796379
MAF,AATK-AS1,0.05141044890263778
MAFB,AATK-AS1,0.026766553807466606
NFIA,AATK-AS1,0.019331148604102007
NFIB,AATK-AS1,0.041899234770400605
NFIX,AATK-AS1,0.03735963160319517
NPAS1,AATK-AS1,0.03305855308933198
NPAS3,AATK-AS1,0.09781976419400644
PROX1,AATK-AS1,0.020461554940419065
RARB,AATK-AS1,0.024759191602932776
SATB1,AATK-AS1,0.03076282715584754
SOX5,AATK-AS1,0.03359911403961428
SOX6,AATK-AS1,0.061730951918624793
ZBTB20,AATK-AS1,0.051605268824270877
BACH1,AB015752.3,0.05518719571728149
BCL11A,AB015752.3,0.02667026543519099
BCL11B,AB015752.3,0.0363472502713326
CREB5,AB015752.3,0.024657523626884375
DLX1,AB015752.3,0.02126893821265086
ID2,AB015752.3,0.01925908012044526
LHX6,AB015752.3,0.02397424537812264
MAF,AB015752.3,0.026707986945668515
MAFB,AB015752.3,0.04921619148032189
NFIA,AB015752.3,0.04738261450363215
NFIB,AB015752.3,0.03064816419523437
NFIX,AB015752.3,0.021122122229090535
NPAS1,AB015752.3,0.02345485804383176
NPAS3,AB015752.3,0.06308067394611055
POU3F3,AB015752.3,0.0194683958018271
PROX1,AB015752.3,0.031407802593482685
SATB1,AB015752.3,0.035514992961436724
SOX5,AB015752.3,0.04477439626007666
SOX6,AB015752.3,0.07246399778348471
ZBTB20,AB015752.3,0.04662737655966828
BACH1,ABCA5,0.032138475765541755
BACH2,ABCA5,0.040127722035416154
BCL11A,ABCA5,0.031874049379338326
BCL11B,ABCA5,0.02815264120923872
DLX1,ABCA5,0.03354949100905626
ID2,ABCA5,0.020144453051411187
LHX6,ABCA5,0.026165443772473648
MAF,ABCA5,0.03991100569028447
MAFB,ABCA5,0.03566712091046891
NFIA,ABCA5,0.026205368363278036
NFIB,ABCA5,0.03821660861287915
NFIX,ABCA5,0.029726242059040828
NPAS1,ABCA5,0.02361698638872978
NPAS3,ABCA5,0.08311566071888177
POU3F3,ABCA5,0.020834749671173634
PROX1,ABCA5,0.023898518346680886
RARB,ABCA5,0.02124811523933587
SATB1,ABCA5,0.04262445198577987
SOX5,ABCA5,0.02954045328975861
SOX6,ABCA5,0.05342347779756549
ZBTB20,ABCA5,0.036916964302839424
BACH2,ABCG5,0.06364959110028402
BCL11A,ABCG5,0.0219727371055726
BCL11B,ABCG5,0.11776858207674151
DLX1,ABCG5,0.02177597097160017
EMX2,ABCG5,0.02736407482190111
LHX6,ABCG5,0.026868559542667803
MAF,ABCG5,0.023915351314444545
MAFB,ABCG5,0.04113836905958399
MAFK,ABCG5,0.04533204729685867
NFIB,ABCG5,0.028560375176874306
NPAS1,ABCG5,0.02407626974429727
NPAS3,ABCG5,0.054686783376524335
PBX3,ABCG5,0.029346141285172468
POU3F4,ABCG5,0.024038200471359312
PROX1,ABCG5,0.027956810444578414
RXRA,ABCG5,0.03649307577799022
SATB1,ABCG5,0.02100123137210884
SOX6,ABCG5,0.14236937094734295
ZBTB20,ABCG5,0.020590219015683395
BACH1,ABI3BP,0.034943961659030874
BACH2,ABI3BP,0.04753075601215719
DLX1,ABI3BP,0.04897597226825401
MAF,ABI3BP,0.05029370680158505
MAFB,ABI3BP,0.029360534379151326
NFIA,ABI3BP,0.023135435881321675
NFIB,ABI3BP,0.053646665819201154
NFIX,ABI3BP,0.04707651916812451
NPAS1,ABI3BP,0.02437002572309374
NPAS3,ABI3BP,0.09755853855690133
NR2F2,ABI3BP,0.027813212172597062
PROX1,ABI3BP,0.04446462929047638
RXRA,ABI3BP,0.02154565727646446
SATB1,ABI3BP,0.03378340275576414
SOX5,ABI3BP,0.02706255186648863
SOX6,ABI3BP,0.026463897099703565
ZBTB20,ABI3BP,0.04372526486701081
BACH1,ABTB2,0.03346515772186781
BACH2,ABTB2,0.051908136279027184
BCL11A,ABTB2,0.038818196476360006
BCL11B,ABTB2,0.03325337009161634
DLX1,ABTB2,0.03220931500337561
HIF3A,ABTB2,0.022640782698257252
LHX6,ABTB2,0.03412810036038978
MAF,ABTB2,0.051179743528155394
MAFB,ABTB2,0.025173466200289648
NFIA,ABTB2,0.026719197839474032
NFIB,ABTB2,0.02861806202781787
NFIX,ABTB2,0.02744607418151871
NPAS3,ABTB2,0.0721559250919006
NR2F2,ABTB2,0.022236437489972675
POU3F3,ABTB2,0.0289355286407352
PROX1,ABTB2,0.02883805022947637
SATB1,ABTB2,0.04049075373258828
SOX5,ABTB2,0.035637202674468973
SOX6,ABTB2,0.05015634845700909
ZBTB20,ABTB2,0.04942719173177853
ARNTL2,AC003005.2,0.03462367270242889
BACH1,AC003005.2,0.027315117629005837
BACH2,AC003005.2,0.04043026918186775
CREB3,AC003005.2,0.021782468301433093
DLX1,AC003005.2,0.023036035442214622
ID2,AC003005.2,0.06221423586577078
MAF,AC003005.2,0.027781313876304347
MAFB,AC003005.2,0.02993355831607979
NFIA,AC003005.2,0.031987726859140975
NFIB,AC003005.2,0.04349834957055692
NFIX,AC003005.2,0.023388077006821835
NPAS3,AC003005.2,0.1020794458111118
NR2F2,AC003005.2,0.026337774284766496
PBX3,AC003005.2,0.028901239998112813
PROX1,AC003005.2,0.029565944060284555
RARB,AC003005.2,0.022766446781242865
RORB,AC003005.2,0.022004872164121458
SATB1,AC003005.2,0.034779712229976424
SOX6,AC003005.2,0.03437590242082156
ZBTB20,AC003005.2,0.09374172973534328
ARNTL2,AC003005.4,0.02466552623406694
BACH1,AC003005.4,0.024915456146850853
BACH2,AC003005.4,0.05567520233088934
BCL11A,AC003005.4,0.022975437783089307
BCL11B,AC003005.4,0.024246402679934085
DLX1,AC003005.4,0.032156582922172376
EGR1,AC003005.4,0.020565087971081666
LHX6,AC003005.4,0.03431686699718062
MAF,AC003005.4,0.05933423265318166
MAFB,AC003005.4,0.04122094527654003
NFIB,AC003005.4,0.03232447891807225
NFIX,AC003005.4,0.03455378299178264
NPAS1,AC003005.4,0.027176752789513398
NPAS3,AC003005.4,0.06224942722105143
POU2F2,AC003005.4,0.027640607893724568
POU3F3,AC003005.4,0.01858092487940962
PROX1,AC003005.4,0.019307927237331473
RARB,AC003005.4,0.027510682509408593
SATB1,AC003005.4,0.04191062900684405
SOX4,AC003005.4,0.023742814974823587
SOX5,AC003005.4,0.04765886530259866
SOX6,AC003005.4,0.04258816888920187
ZBTB20,AC003005.4,0.031954176664122015
BACH1,AC003006.7,0.047911865341703865
BACH2,AC003006.7,0.030859340860503754
BCL11B,AC003006.7,0.0322962373564877
CREB5,AC003006.7,0.021733654716636016
ETV1,AC003006.7,0.021605378192112907
LHX6,AC003006.7,0.023806143373145728
MAF,AC003006.7,0.05076537830216725
MAFB,AC003006.7,0.022479097327778197
NFIB,AC003006.7,0.05066730833665635
NFIX,AC003006.7,0.032890555653053676
NPAS1,AC003006.7,0.03159877525538418
NPAS3,AC003006.7,0.08968676280849178
POU3F3,AC003006.7,0.026191774407025453
PROX1,AC003006.7,0.024945078564210178
RARB,AC003006.7,0.026458505614197877
RXRG,AC003006.7,0.02379793076939709
SATB1,AC003006.7,0.04624290743281718
SOX5,AC003006.7,0.03523490306258611
SOX6,AC003006.7,0.09271837961141623
ZBTB20,AC003006.7,0.055056878523846026
BACH2,AC003090.1,0.055145076198881426
BCL11A,AC003090.1,0.023313159261376087
DLX1,AC003090.1,0.06594534496092294
ETV1,AC003090.1,0.025872991053007985
JUN,AC003090.1,0.02579952803722444
KLF13,AC003090.1,0.026712235891834614
MAF,AC003090.1,0.02340144765371325
MAFB,AC003090.1,0.027004342717251828
NFIA,AC003090.1,0.037478114021939055
NFIB,AC003090.1,0.04966803057249658
NFIX,AC003090.1,0.04572054915609238
NPAS3,AC003090.1,0.07302062489254578
NR2F2,AC003090.1,0.029672510353420726
POU3F3,AC003090.1,0.03200641131602048
PROX1,AC003090.1,0.05359736874032198
RARB,AC003090.1,0.035356113303284274
SOX5,AC003090.1,0.030394394655988113
SOX6,AC003090.1,0.03459255694737028
ZBTB20,AC003090.1,0.0608715435882755
BACH1,AC003665.1,0.027881297570805798
BACH2,AC003665.1,0.03599144731233054
BCL11A,AC003665.1,0.03422653653430662
BCL11B,AC003665.1,0.027301524661958357
CREB5,AC003665.1,0.01875513305906376
DLX1,AC003665.1,0.034951952560263226
LHX6,AC003665.1,0.06649191129980672
MAF,AC003665.1,0.044821720613695916
MAFB,AC003665.1,0.03370387854085094
