subtype,TF,z_score,n_targets,mean_activity
CR,RXRG,1.7613202295510662,50,0.02265132540814617
CR,POU3F2,1.730283324061587,50,-0.0019630215058687043
CR,HIF3A,1.6548961706961007,50,0.002254186323283121
CR,PROX1,1.6451188296806587,50,-0.007629621654901306
CR,NR2F2,1.615675031508478,50,0.05601838061770408
CR,KLF6,1.569922904710608,50,-0.0082567449456961
CR,IKZF2,1.4464641988568863,50,-0.007001013504106151
CR,CREB5,1.4109931949910284,50,-0.008658385056286792
CR,DLX1,1.386468459223574,50,-0.027310613147836556
CR,MEIS1,1.3567714005746883,44,0.004459703220464443
NPY_NGF,ASCL1,1.7393229427751715,37,0.0060822068858729225
NPY_NGF,EGR3,1.7103560640698676,27,0.004506223337890711
NPY_NGF,BACH2,1.6503066635807844,50,-0.0427796933141053
NPY_NGF,SOX4,1.6288452360647285,50,0.00037453761968601445
NPY_NGF,POU2F2,1.6117485309109765,50,-0.0069187541236410185
NPY_NGF,NFIB,1.4917449872418378,50,-0.021760555573979212
NPY_NGF,ARNTL2,1.449217037876815,50,-0.007636947247595444
NPY_NGF,SOX5,1.4188276687867265,50,-0.03972612977772341
NPY_NGF,MAFF,1.402072178441816,50,-0.002954750646565669
NPY_NGF,BACH1,1.3729938203803995,50,-0.034219908424056686
PTHLH,HES1,1.6029520196259177,12,-0.00139108522214728
PTHLH,SOX6,0.8384263037320191,50,-0.040023585224220136
PTHLH,CREB3,0.6493116340087508,50,-0.012592566292976585
PTHLH,MAFB,0.5007594502147651,50,-0.0533360610659634
PTHLH,SOX5,-0.117581697026956,50,-0.04989485804171763
PTHLH,CREB5,-0.12259069004075633,50,-0.010676132620636212
PTHLH,BCL11A,-0.12314532922741267,50,-0.03295927031130618
PTHLH,SOX4,-0.1401951563917092,50,-0.007128185347836744
PTHLH,SATB1,-0.21248748263767597,50,-0.04879629867926181
PTHLH,JUN,-0.23658254290911493,50,-0.01500175364172125
PV_FSI,SOX6,1.022410546615818,50,-0.036394220972449265
PV_FSI,SOX5,0.5113100222460342,50,-0.04573253702034299
PV_FSI,RARB,0.1197418782341907,50,-0.02149052961672324
PV_FSI,ETV1,-0.08261519136672481,50,-0.05716551366220529
PV_FSI,SATB1,-0.08620682018641282,50,-0.04839702330876456
PV_FSI,NFIA,-0.11579633711471252,50,-0.032262005151166666
PV_FSI,HES1,-0.17749808967151678,12,-0.004253133971115028
PV_FSI,BACH2,-0.17926497741380626,50,-0.05102245658905715
PV_FSI,ID2,-0.32124406917183884,50,-0.021397039946926228
PV_FSI,NFIB,-0.34354519244068227,50,-0.10496362755302564
SST_PLTS,ID4,1.7170743992752346,50,0.012135709956813843
SST_PLTS,EGR1,1.7047956062439704,27,0.030710309617228152
SST_PLTS,JUN,1.6942087914709845,50,-0.005780995687703159
SST_PLTS,BCL11A,1.5943818492616715,50,-0.020362457081469082
SST_PLTS,FOS,1.5795890894420577,40,0.041710589106431335
SST_PLTS,SATB1,1.5586888020462557,50,-0.04319617706479016
SST_PLTS,REST,1.5262250150179084,25,0.0017596327236193167
SST_PLTS,MAFB,1.1260466995231773,50,-0.050882584353209165
SST_PLTS,PRDM16,1.009034121954479,10,9.112531432598411e-05
SST_PLTS,ONECUT2,0.9863120899282609,20,0.003912349663132823
