TF,kruskal_h,kruskal_p,n_targets,p_corrected
SOX6,2315.327697757845,0.0,50,0.0
ID2,2698.4582227798282,0.0,50,0.0
NR2F2,8944.453196638742,0.0,50,0.0
FOS,2337.7381508088697,0.0,39,0.0
RXRG,4237.60444332508,0.0,50,0.0
NPAS3,1426.3247471873663,1.3530486504005719e-307,50,8.118291902403432e-306
NFIX,1212.1555525347437,3.689865173955913e-261,50,2.2139191043735478e-259
PROX1,1105.9071283278809,3.97001086979148e-238,50,2.3820065218748882e-236
EGR1,1049.8573927246405,5.588440677229734e-226,26,3.3530644063378406e-224
NFIB,1033.6141883134565,1.8522465537659967e-222,50,1.1113479322595981e-220
SOX4,944.6392869840055,3.5427431390271425e-203,50,2.1256458834162855e-201
ETV1,759.1309201445962,5.4606524842133146e-163,50,3.2763914905279886e-161
ID4,709.7421114080515,2.7086406211574763e-152,50,1.6251843726944859e-150
DLX1,610.0537256846246,1.0334183897319738e-130,50,6.200510338391842e-129
BCL11B,497.89212844971416,1.914010509739284e-106,50,1.1484063058435704e-104
LHX6,474.18583110409816,2.5621322944346165e-101,50,1.5372793766607698e-99
POU3F2,466.6712187698529,1.080116750339437e-99,50,6.480700502036623e-98
JUN,448.49761664447055,9.175769055586502e-96,50,5.505461433351902e-94
POU3F4,370.00248179748365,8.404226995059974e-79,34,5.042536197035984e-77
SOX5,353.53638898157305,3.0227527027751012e-75,50,1.8136516216650608e-73
BCL11A,299.1895858188789,1.6203799978613486e-63,50,9.722279987168091e-62
SATB1,256.07635121037146,3.1948102998509657e-54,50,1.9168861799105795e-52
CEBPD,232.30684394890082,4.206924915701309e-49,48,2.5241549494207855e-47
BACH1,231.02356791148796,7.94766375902339e-49,50,4.768598255414034e-47
KLF13,223.1893682864154,3.859778243699889e-47,50,2.3158669462199334e-45
ASCL1,220.29373488638728,1.6207666716476283e-46,32,9.724600029885769e-45
HIF3A,214.45001326637922,2.931560884190892e-45,50,1.758936530514535e-43
MYT1,196.47180481864012,2.154559451284508e-41,50,1.2927356707707049e-39
POU3F3,189.311297165303,7.45220443515835e-40,50,4.47132266109501e-38
NPAS1,169.87733761642016,1.1112031364434071e-35,50,6.6672188186604425e-34
NFIA,169.67949044721473,1.2253360849925113e-35,50,7.352016509955068e-34
RXRA,164.35185656130932,1.7039053201277303e-34,50,1.0223431920766381e-32
KLF6,164.302746716825,1.745746967252804e-34,50,1.0474481803516825e-32
MAFB,145.7454077009055,1.6606221695158197e-30,50,9.963733017094918e-29
BACH2,137.95834325516202,7.72138474327367e-29,50,4.632830845964202e-27
CREB3,126.97064284577819,1.7303585095945268e-26,50,1.0382151057567161e-24
SOX9,126.7880753658933,1.8930622976346511e-26,36,1.1358373785807907e-24
ONECUT2,116.25475446516695,3.3681345737923996e-24,18,2.0208807442754397e-22
PBX3,116.02680040921555,3.767480845928736e-24,50,2.2604885075572418e-22
ARNTL2,110.34133563583323,6.154503046967733e-23,50,3.69270182818064e-21
ZBTB20,107.46578676706689,2.52551128817132e-22,50,1.5153067729027922e-20
FOXP2,92.32830757975059,4.2147788700995223e-19,40,2.5288673220597134e-17
MAF,80.40788474282567,1.4275405335072346e-16,50,8.565243201043407e-15
MEIS1,67.44291684487747,7.8623911178337e-14,36,4.71743467070022e-12
POU2F2,65.71513985004246,1.818839917190746e-13,50,1.0913039503144476e-11
EMX2,61.51350885796766,1.394271598899972e-12,28,8.365629593399832e-11
PAX6,60.17822982064319,2.6611649036810013e-12,29,1.5966989422086007e-10
CEBPB,54.89847011245029,3.4120805582287963e-11,50,2.047248334937278e-09
EBF1,49.49086709194344,4.612060209706675e-10,12,2.767236125824005e-08
MAFK,45.35220018319798,3.3589615030309562e-09,38,2.0153769018185737e-07
RORB,44.47244644099164,5.117955399195691e-09,50,3.0707732395174146e-07
EGR3,42.25831992224938,1.4746445488053983e-08,20,8.847867292832389e-07
ESR2,41.86175738187506,1.781931133409443e-08,50,1.0691586800456658e-06
MAFF,38.67969331187736,8.112579969655568e-08,44,4.867547981793341e-06
IKZF2,38.33269651071897,9.567268828349273e-08,50,5.740361297009564e-06
NR4A1,34.41950786935783,6.112275323779607e-07,26,3.6673651942677645e-05
RARB,33.04103608462795,1.171593946798009e-06,50,7.029563680788055e-05
CREB5,32.56187490775452,1.46840549792594e-06,50,8.810432987555639e-05
MEIS2,20.32435808714521,0.0004308942528939416,50,0.025853655173636497
REST,3.4747852931574204,0.48172263912139934,25,1.0
