TF,target,importance
BACH1,RP5-1027G4.3,0.1437928616595551
BACH1,RP11-259K15.2,0.1256901334467612
BACH1,DCLK3,0.1113842280946562
BACH1,GPD1,0.1042407288472454
BACH1,INSC,0.1024754161325336
BACH1,ALPK1,0.09832622125922
BACH1,TPBG,0.0957642313015881
BACH1,WDR5B,0.0948453809335809
BACH1,RP1-40E16.12,0.0944723565110861
BACH1,COL15A1,0.0895084116847274
BACH1,DLEU2L,0.0889226055948381
BACH1,ZMYM6NB,0.0847706679780483
BACH1,RN7SL589P,0.0803367543985254
BACH1,PRRG4,0.0791802844692097
BACH1,ANO2,0.0780429951931285
BACH1,CTD-2517M22.14,0.077631445589467
BACH1,RSPH9,0.0773025293377847
BACH1,HESX1,0.0753609520091869
BACH1,AJ239322.1,0.0739822569842882
BACH1,RP11-476H24.1,0.0738387951925422
BACH1,NLGN1-AS1,0.0726882405905507
BACH1,TGFBR2,0.0706061253276604
BACH1,TNFAIP8,0.070474886248299
BACH1,RP11-973H7.3,0.0703914514982414
BACH1,DSC2,0.0699655451004754
BACH1,OSCAR,0.0692226112549748
BACH1,SDS,0.069132759109006
BACH1,BST2,0.0682029669669357
BACH1,RP11-363E7.4,0.0681582884390974
BACH1,DYRK3,0.067922399163382
BACH1,SHCBP1L,0.0678763978896652
BACH1,COL27A1,0.0678317881283404
BACH1,PHGDH,0.0673211107438482
BACH1,TSPAN19,0.0670865878197764
BACH1,RP11-120D5.1,0.0667311816425948
BACH1,RP11-64J4.2,0.0667288037839564
BACH1,RGS9,0.0665690591844661
BACH1,NYNRIN,0.0659200838763475
BACH1,HSPB6,0.0658815514583955
BACH1,AC140542.2,0.0656081983610283
BACH1,PCDHGC3,0.065563414849352
BACH1,RP11-136K7.2,0.0654849822864673
BACH1,NFATC1,0.0653904263022845
BACH1,FAM194A,0.0651014297075129
BACH1,EVC2,0.0649434037450845
BACH1,CTC-542B22.2,0.0641674247723948
BACH1,ZBTB20-AS1,0.064033025928173
BACH1,SLC22A1,0.0639260953348925
BACH1,RP11-81H3.2,0.0638567558948121
BACH1,CFH,0.0638396626476786
BACH2,PRIMA1,0.2002158848564585
BACH2,POC1A,0.1513575259260907
BACH2,RP1-40E16.12,0.1370358898562931
BACH2,IRS4,0.1337159878193474
BACH2,RP11-340E6.1,0.13356053124472
BACH2,AJ239322.1,0.1327052898220222
BACH2,COL15A1,0.1174022674840713
BACH2,AC025263.3,0.1157324757611878
BACH2,RP11-15H20.7,0.1073230087490573
BACH2,CTSO,0.1007884409248533
BACH2,ZNF215,0.0996020124734184
BACH2,AC005597.1,0.097304887425956
BACH2,EDNRB,0.0967855207332346
BACH2,OXTR,0.0963816419098583
BACH2,AP003039.3,0.0923754310701643
BACH2,RP11-499F3.2,0.091599455791231
BACH2,MEOX2,0.0915287412332331
BACH2,EGFLAM,0.0905828945826165
BACH2,KLHL41,0.0903020937132047
BACH2,MYO3A,0.0874513034871035
BACH2,MND1,0.0859518745060995
BACH2,RP11-2G1.1,0.0852216422800628
BACH2,TNFAIP3,0.0845807265771348
BACH2,SPANXA2-OT1,0.0845449762391683
BACH2,TRPV4,0.0834565149484854
BACH2,RP11-365O16.6,0.0826994554070496
BACH2,AC090044.1,0.081976164363559
BACH2,MEI1,0.0793873636479773
BACH2,RP11-752D24.3,0.0790569090893825
BACH2,ZNF727,0.0787917206288559
BACH2,CTD-2175A23.1,0.0787170043381312
BACH2,RP11-343C2.11,0.07855460779496
BACH2,CLSPN,0.0784170858642544
BACH2,INSL6,0.0781414179248253
BACH2,RP6-1O2.1,0.0780158620102974
BACH2,SP5,0.0777000395913159
BACH2,RP11-68L18.1,0.0774488872276763
BACH2,RP11-159L20.2,0.0773877351799824
BACH2,C10orf115,0.0771845177184602
BACH2,VWA1,0.0771368853299141
BACH2,CD82,0.0758200141243637
BACH2,SNTB1,0.0757183406497415
BACH2,GLYATL1,0.0756615035507202
BACH2,ARSD,0.0750159532725013
BACH2,RP11-624D11.2,0.0739781398093517
BACH2,TPTE2,0.0736973925216039
BACH2,PHGDH,0.0734461056364249
BACH2,AKAP3,0.0733993966728561
BACH2,PAX7,0.0728637790005743
BACH2,WDR16,0.072730051032492
BCL11A,SCN11A,0.1803514067092574
BCL11A,TPBG,0.1761799118514897
BCL11A,RP11-279F6.3,0.1751839017371018
BCL11A,ZIC4,0.1223813399918708
BCL11A,AC139100.3,0.1074318762848265
BCL11A,SERPINH1,0.1032712119492272
BCL11A,RP11-77P6.2,0.1002961710910066
BCL11A,ADAMTS3,0.0869041688394916
BCL11A,C10orf115,0.0868186862825561
BCL11A,THEGL,0.0864905337758384
BCL11A,RP11-159F24.3,0.0843748866266561
BCL11A,RTKN2,0.082903574045553
BCL11A,RP11-434D9.1,0.081598796369231
BCL11A,AC090044.1,0.0776429783881499
BCL11A,RP11-65M17.3,0.0771955198983594
BCL11A,RP11-796E2.4,0.0771689029969551
BCL11A,RP11-517I3.1,0.0769012733467104
BCL11A,RP11-282I1.1,0.0755429906072513
BCL11A,MTTP,0.075002969321243
BCL11A,CCDC147,0.0747960129201606
BCL11A,LCTL,0.0746689944765422
BCL11A,SSUH2,0.073557587871618
BCL11A,CTC-281M20.1,0.0729971126796881
BCL11A,SLC25A21-AS1,0.0726873910418482
BCL11A,ZNF728,0.0721898098992093
BCL11A,FBLN2,0.0718900882167986
BCL11A,SP5,0.0715811341769449
BCL11A,AKAP3,0.0706505041883743
BCL11A,RP11-452H21.4,0.0704272641946112
