TF,n_targets,mean_importance,max_importance
ARNTL2,50,0.04223617686135207,0.092142039242071
POU2F2,50,0.04183090309119999,0.0993477503007217
MAFF,50,0.02715241942728359,0.0629774316395596
MEIS2,50,0.03300919958627495,0.0888115193335469
MYT1,50,0.03406374588446414,0.0739425626123773
NFIA,50,0.08908283668663587,0.2346306563051614
NFIB,50,0.13433271162663074,0.2554214268071483
NFIX,50,0.0918050632058578,0.1799565308115791
NPAS1,50,0.06290236148850596,0.1433312125793192
NPAS3,50,0.21071982572492,0.4944770270721369
NR2F2,50,0.07004923382456249,0.162149339803094
PBX3,50,0.03061369141666873,0.0960772133628915
POU3F2,50,0.03310991541259426,0.0700911278973193
MAF,50,0.09943832715284158,0.1591313216082294
POU3F3,50,0.0693137885293256,0.2042673897040707
PROX1,50,0.08805882087968958,0.1747199590228937
RARB,50,0.06961945385371224,0.2078671832415686
RORB,50,0.044357369963216035,0.1214774704082649
RXRA,50,0.048327796470734076,0.1103234079354462
RXRG,50,0.04027594316010602,0.0930184891773038
SATB1,50,0.10933072303642635,0.1728633930253775
SOX4,50,0.037255686405524055,0.1046850774703905
SOX5,50,0.08550867150473013,0.1764174707013275
SOX6,50,0.15291405422221085,0.3429957839953365
MAFB,50,0.10464662601793938,0.2044363636334109
ZBTB20,50,0.10116385517005334,0.198653839136517
KLF6,50,0.05828410967527569,0.1654406325694615
BCL11A,50,0.08830141330479298,0.1818518872158452
DLX1,50,0.10239335803834672,0.2804968951489346
CREB5,50,0.05363092535409392,0.1564190998840207
CREB3,50,0.04337531304222498,0.1142395423582459
ETV1,50,0.06938426552275505,0.1670525226648657
CEBPD,50,0.03199207473624422,0.1162541880421175
CEBPB,50,0.03496570363107513,0.1276209842476954
HIF3A,50,0.03725184366514182,0.1288361670268704
KLF13,50,0.040859675183321384,0.0648102099252893
ID2,50,0.08849070257308027,0.1730219730872458
ID4,50,0.03165067121032072,0.1204138798343804
IKZF2,50,0.03248368472601572,0.0946759646861164
BACH2,50,0.0990275374420969,0.1859709307693573
BACH1,50,0.08511072512021378,0.1524547336715947
JUN,50,0.06463656369565132,0.2206407211298132
ESR2,50,0.038079723995535296,0.1402424460822216
MEIS1,44,0.02965743740423952,0.1031621087667769
MAFK,43,0.03350977144552586,0.0953580301097137
SOX9,42,0.030298435450800583,0.0778683540150338
FOS,40,0.029053576194356428,0.0611871216190581
POU3F4,38,0.033318082366911445,0.2254670275304318
FOXP2,37,0.03193589648299361,0.0754256345683174
ASCL1,37,0.026696932869231044,0.1003899566928266
PAX6,33,0.026756474574776028,0.0614687004523549
EMX2,31,0.0276564994670979,0.0500200584067458
EGR3,27,0.03162134058390463,0.1113334605176447
EGR1,27,0.03008665757033279,0.1113541083573958
REST,25,0.03685221659124192,0.1479044864579363
NR4A1,25,0.03053038451923463,0.0874824823626493
ONECUT2,20,0.026940710149747686,0.0761649786284487
EBF1,12,0.02996008751198986,0.042232276841209
HES1,12,0.035800014526841846,0.0812279540341828
PRDM16,10,0.02640093080287964,0.0378464016393332
