gene,n_G245S,n_other_mut,median_G245S,median_other_mut,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,biology,fdr,significant
UBR1,17,778,-0.0007533307728588,-0.00221498798643825,-1.179266988407132,-1.663276957689859,-0.6952570191244052,5682.0,0.32050163268441145,,0.9925855231069863,False
AGR2,17,778,-0.019828322423762,0.0268623218757936,-1.136580522465173,-1.6203437028326235,-0.6528173420977226,4308.0,0.013880234739902379,,0.9915320609368711,False
UBE2Z,17,778,-0.4804000204579906,-0.38197929612360604,-1.064091708471376,-1.5474563767261147,-0.5807270402166371,4635.0,0.034752224296944634,,0.9915320609368711,False
SPTBN4,17,778,-0.1501231185281103,-0.07010536421471215,-1.0130477830340636,-1.496147404239009,-0.5299481618291182,4166.0,0.009002711729299957,,0.9915320609368711,False
NADK2,17,778,-0.0015716766236884,0.09534105930285985,-1.0035244696234955,-1.4865760671064787,-0.5204728721405123,3291.0,0.00039094015507313326,,0.9915320609368711,False
RIDA,17,778,-0.1851401552801261,-0.0883967567909564,-0.9918592780093493,-1.4748526624876213,-0.5088658935310773,4123.0,0.007863875347807574,,0.9915320609368711,False
AP3S2,17,778,-0.1320999753358889,-0.07885576018476174,-0.9850026986240233,-1.4679621809727719,-0.5020432162752748,4464.0,0.02180209882619866,,0.9915320609368711,False
ENO2,17,778,0.0090757800614012,-0.016811125340143798,-0.9822264289226837,-1.4651722503149922,-0.49928060753037534,6785.0,0.8547210079581837,,0.9989860638479046,False
SATB2,17,778,-0.0473920279725012,0.01157167090462875,-0.9588930182796103,-1.44172553388721,-0.47606050267201067,4702.0,0.041379945275991634,,0.9915320609368711,False
NAA35,17,778,-0.7815104932343516,-0.5546194358076861,-0.9493844463434477,-1.4321715625849376,-0.4665973301019578,3304.0,0.00041204551022644236,,0.9915320609368711,False
POU5F1B,10,262,-0.1043847744627385,0.0031676253218037497,-0.8993576868882167,-1.5353762373212612,-0.26333913645517226,1042.0,0.27322026744052585,,0.9915320609368711,False
MESP1,17,778,-0.0621950352336314,0.01939730153593225,-0.8982316338096747,-1.38078221198398,-0.4156810556353694,4803.0,0.05337526839491578,,0.9915320609368711,False
ACOX3,17,778,-0.0576610979518612,0.03011860473742985,-0.8880804978001928,-1.3705856798639608,-0.4055753157364248,4310.0,0.013963042446143619,,0.9915320609368711,False
LGALS14,17,778,-0.1683417231711899,-0.12818818827472925,-0.8880102814364702,-1.370515151273052,-0.40550541159988834,4672.0,0.0382904845833575,,0.9915320609368711,False
C11orf42,17,778,-0.0439112979545913,0.02542142281782275,-0.8833705860391531,-1.3658548790660578,-0.4008862930122484,4016.0,0.005569672742041519,,0.9915320609368711,False
SPINK13,17,778,-0.034321260331771,0.03526462868066815,-0.878824496803412,-1.3612887318661513,-0.39636026174067274,3553.0,0.0010892160748075608,,0.9915320609368711,False
NEDD8,17,778,-2.272759746823589,-1.9658918165286758,-0.8724227265571114,-1.3548588902171002,-0.3899865628971227,4202.0,0.010067083151002701,,0.9915320609368711,False
TMEM38B,17,778,-0.1156916030071744,-0.03042427355772075,-0.8691536181921867,-1.3515755255314308,-0.3867317108529428,3681.0,0.0017495478459183572,,0.9915320609368711,False
CSTF2,17,778,-0.1457793540838229,-0.14000752242932518,-0.8497480382805066,-1.3320864127700047,-0.3674096637910085,5859.0,0.42113282445169276,,0.9966596513898347,False
KDM3A,17,778,-0.0472035681438463,0.0104795243419938,-0.8444043859953007,-1.3267200870077105,-0.3620886849828908,3866.0,0.003365271612977446,,0.9915320609368711,False
CYB5R3,17,778,-0.0490739094309468,0.0011679373016189,-0.8318665241592941,-1.314129583575312,-0.3496034647432763,4383.0,0.017299678126573084,,0.9915320609368711,False
FBXW10B,12,678,-0.16830161776173969,-0.08198989441419575,-0.8258372254914802,-1.3982757957941812,-0.25339865518877935,2617.0,0.03407690020246283,,0.9915320609368711,False
PDHX,17,778,-0.106438492184455,-0.00860858804500185,-0.8226070826546468,-1.3048317671950969,-0.3403823981141966,4617.0,0.03313439219978818,,0.9915320609368711,False
LRBA,17,778,-0.0203333191320614,0.04170979902209245,-0.8224137696949096,-1.304637657613241,-0.3401898817765783,3874.0,0.00345899675614704,,0.9915320609368711,False
FUT3,17,778,-0.1259691013155541,-0.014058515926284699,-0.8222529325148334,-1.3044761577819626,-0.34002970724770426,3231.0,0.0003059810021293616,,0.9915320609368711,False
UHMK1,17,778,0.0400028670921947,0.08491632108157575,-0.8219134227161633,-1.304135249621213,-0.3396915958111136,3712.0,0.001957180914134462,,0.9915320609368711,False
CTNNB1,17,778,-0.2664655844872224,-0.15305523689397785,-0.8108562765093584,-1.2930328750846967,-0.3286796779340202,5180.0,0.12617109290625944,,0.9915320609368711,False
TTPAL,17,778,-0.0700966494215186,-0.02456482478841765,-0.8076148674889602,-1.2897783226665964,-0.32545141231132385,3973.0,0.004832331420022562,,0.9915320609368711,False
TRIB3,17,778,0.0228290082701307,0.08945425192863166,-0.8047652904910735,-1.2869172342779298,-0.32261334670421704,3867.0,0.0033768594310126508,,0.9915320609368711,False
NAE1,17,778,-1.0284927521134173,-0.8037355478344711,-0.7983040654648651,-1.2804300576595928,-0.3161780732701373,3523.0,0.0009722512565083321,,0.9915320609368711,False
LBX2,17,778,-0.0124430175845549,0.02389805790444335,-0.7938597951279077,-1.2759680574860688,-0.31175153276974665,4289.0,0.013114934773149258,,0.9915320609368711,False
SLCO1B3,17,778,-0.0357638230987116,0.0561203264778472,-0.7861246030759313,-1.2682022414154364,-0.3040469647364264,4008.0,0.0054252475935090945,,0.9915320609368711,False
C14orf39,17,778,0.0157733873540743,0.08551890406924134,-0.7839522726197194,-1.2660213641751223,-0.3018831810643166,4062.0,0.006469510708605037,,0.9915320609368711,False
NONO,17,778,-0.2839676114913502,-0.2028303003858423,-0.7818364546408517,-1.2638972443443879,-0.29977566493731556,5122.0,0.11154228488661559,,0.9915320609368711,False
MBD5,17,778,-0.0059009239871919,0.0800504048095759,-0.7773342407166868,-1.2593774392403767,-0.29529104219299696,3476.0,0.0008121678552698103,,0.9915320609368711,False
TCF7L2,17,778,-0.2072151978169784,-0.0748908210120258,-0.774323411766024,-1.2563549026225465,-0.2922919209095017,4118.0,0.007740202103858598,,0.9915320609368711,False
SYCN,17,778,-0.0499338312586386,-0.0077794190157903,-0.7733778824381689,-1.2554057059016837,-0.291350058974654,5045.0,0.09422764625545618,,0.9915320609368711,False
ARL5B,17,778,-0.0543053352527367,0.032376144675955246,-0.7716752334388108,-1.2536964641241033,-0.2896540027535184,3779.0,0.002485319781029288,,0.9915320609368711,False
COQ8B,17,778,-0.1549799369149208,-0.0988419919436084,-0.7706324522859531,-1.2526496523786146,-0.2886152521932917,5064.0,0.09828579618815901,,0.9915320609368711,False
BLVRB,17,778,-0.0273762253900825,0.0173610748660861,-0.7640993260283548,-1.2460913973421794,-0.28210725471453035,5000.0,0.08515113012097364,,0.9915320609368711,False
CHRNA10,17,778,-0.1010958518810878,0.0019303127005867,-0.7635603787563039,-1.2455503865771336,-0.2815703709354742,4094.0,0.007170499893666789,,0.9915320609368711,False
TMEM259,17,778,-0.0829114431379518,-0.014064849231262451,-0.7612792648750503,-1.243260554912037,-0.2792979748380634,4170.0,0.009115795884936953,,0.9915320609368711,False
LRRC37A2,12,678,-0.5704267288434981,-0.3910178714539626,-0.7589087078677339,-1.331089333283968,-0.18672808245149985,2460.0,0.018847407469097768,,0.9915320609368711,False
L3MBTL4,17,778,0.059775559050565,0.09530210165291535,-0.7532190222428661,-1.2351697159334751,-0.27126832855225713,4500.0,0.02411052185632885,,0.9915320609368711,False
RABGGTB,17,778,-1.7820774656687115,-1.5476852938293222,-0.7530287685116775,-1.2349787439179736,-0.2710787931053815,3636.0,0.0014840023782727405,,0.9915320609368711,False
ZNF726,17,778,-0.0443147483299337,0.0186202574742389,-0.7500036098322427,-1.2319421882862374,-0.2680650313782479,4376.0,0.016951899576744624,,0.9915320609368711,False
PREX1,17,778,-0.1245224708160036,-0.06495179803185791,-0.7455821556724982,-1.2275041588306765,-0.2636601525143198,3816.0,0.002830032981705639,,0.9915320609368711,False
TEX46,17,778,-0.1330733547828215,-0.06430684066797025,-0.7449875433949871,-1.226907324883586,-0.26306776190638814,3927.0,0.0041423355186662,,0.9915320609368711,False
KIAA0930,17,778,0.0124705889899904,0.055179817929774846,-0.7404712805140381,-1.2223742452662103,-0.2585683157618659,4465.0,0.021863527250870915,,0.9915320609368711,False
PRKAR2A,17,778,-0.3374292331723918,-0.23907593129898713,-0.7354953692036036,-1.2173799233984675,-0.2536108150087398,3950.0,0.004475298484354285,,0.9915320609368711,False
GDPGP1,17,778,0.0507046589998392,0.08044862186988086,-0.7336694395652964,-1.2155472688940598,-0.25179161023653285,5138.0,0.11543728308818604,,0.9915320609368711,False
ENHO,16,768,-0.13885172351927422,-0.0526641084284873,-0.7332723435766898,-1.229669728536917,-0.23687495861646274,4060.0,0.020133360904187783,,0.9915320609368711,False
ANP32A,17,778,-0.1596564178523212,-0.08655951503437029,-0.7322671336234406,-1.2141398095695273,-0.250394457677354,4303.0,0.013675109575870863,,0.9915320609368711,False
KRTDAP,17,778,-0.2465695126390282,-0.14689509481977098,-0.7318631120180037,-1.2137343050304001,-0.24999191900560713,3942.0,0.004356829904626173,,0.9915320609368711,False
CD44,17,778,-0.0997500642112043,-0.00859770039077155,-0.7284538155153323,-1.2103125273486444,-0.24659510368202014,4959.0,0.07750959881136783,,0.9915320609368711,False
DOK6,17,778,0.0094531169892478,0.082290027808674,-0.7262554404344604,-1.2081061349157194,-0.24440474595320144,4319.0,0.014341097719592707,,0.9915320609368711,False
ENPP6,17,778,0.0136094178785405,0.0727959213155021,-0.7241930327818336,-1.20603622768608,-0.24234983787758696,3723.0,0.0020361360838153353,,0.9915320609368711,False
ZNF77,17,778,-0.036255034307688,0.0249241193180489,-0.7210773743264102,-1.2029092799213104,-0.23924546873150992,4208.0,0.01025498427351264,,0.9915320609368711,False
ISG20,17,778,-0.0381812703621765,0.00377057435788795,-0.7187881714902538,-1.2006118132157186,-0.23696452976478877,5097.0,0.10566480291222274,,0.9915320609368711,False
RAB10,17,778,-0.5427519279018864,-0.43383423704268487,-0.7179834707891408,-1.1998042138071334,-0.23616272777114822,5242.0,0.14341710551919845,,0.9915320609368711,False
OR10J1,13,688,0.0356248722126511,0.0657010801972441,-0.7158591275226786,-1.2658450047079979,-0.16587325033735922,3207.0,0.08044062766979992,,0.9915320609368711,False
OR51T1,13,688,-0.0275686208707933,0.0482641306156959,-0.7157975249349019,-1.2657831824331223,-0.16581186743668141,3058.0,0.05068662578692559,,0.9915320609368711,False
THRB,17,778,-0.0292554388768336,0.0420855903039834,-0.7146650489845575,-1.19647387244363,-0.23285622552548507,3469.0,0.0007905351019933427,,0.9915320609368711,False
KIF13B,17,778,-0.0616453465679898,-0.00651421771106725,-0.7126523966355042,-1.1944540175343628,-0.23085077573664564,5060.0,0.09742004658577698,,0.9915320609368711,False
SPRTN,17,778,-0.8626080243583707,-0.7032785510737831,-0.7117637661683519,-1.1935622134077244,-0.22996531892897937,4189.0,0.009670446408850618,,0.9915320609368711,False
GALNTL6,17,778,-0.0231439759842844,0.014902504252412699,-0.7114702232058473,-1.1932676229498353,-0.2296728234618592,4462.0,0.021679692427168978,,0.9915320609368711,False
PSG5,17,778,-0.165351199450481,-0.08877129849171564,-0.7114508370010925,-1.1932481675813764,-0.2296535064208084,4100.0,0.007309281639470934,,0.9915320609368711,False
ZFPM2,17,778,0.0453842606618871,0.0895783945143704,-0.7107279761860719,-1.192522729171111,-0.2289332232010327,5259.0,0.1484483129099863,,0.9915320609368711,False
RALYL,17,778,-0.0218892742177124,0.023560717671454047,-0.7088110029690057,-1.1905989329844058,-0.22702307295360552,4646.0,0.03577374106415724,,0.9915320609368711,False
PARPBP,17,778,-0.0728360619625809,0.00339906066821295,-0.7076534620653888,-1.1894372809903615,-0.22586964314041608,3918.0,0.004018283925753302,,0.9915320609368711,False
TTL,17,778,-0.1791738308474396,-0.07766078076144015,-0.703423163474654,-1.1851920150391368,-0.2216543119101711,4093.0,0.00714760095850325,,0.9915320609368711,False
CD82,17,778,-0.1582711091109778,-0.0433660449858558,-0.7002662805351391,-1.1820240207998454,-0.21850854027043282,3867.0,0.0033768594310126508,,0.9915320609368711,False
PCDHGB3,17,778,-0.0762734934873962,-0.0349012907255177,-0.6977851966034159,-1.179534239078474,-0.2160361541283578,3835.0,0.003023525884655514,,0.9915320609368711,False
GNE,17,778,-0.0004710169776312,-0.0080491339725581,-0.695940000984429,-1.1776825947817344,-0.21419740718712366,6285.0,0.726602831215264,,0.9989860638479046,False
FBXO22,17,778,-0.2150426757719122,-0.12125401333426056,-0.6953498438440351,-1.1770903787177731,-0.21360930897029712,4761.0,0.048074117617910715,,0.9915320609368711,False
MKRN2,17,778,-0.0914188238346894,0.00255759299918675,-0.6951446713105929,-1.1768844907913163,-0.21340485182986957,4691.0,0.0402234738957989,,0.9915320609368711,False
VPS26A,17,778,-0.3174353012109182,-0.24273231692197522,-0.6943875149284181,-1.1761246961837002,-0.21265033367313607,4375.0,0.01690272115076219,,0.9915320609368711,False
DNAJC5,17,778,-0.0441571253419507,0.0779173167156028,-0.6915469360482154,-1.1732742451275038,-0.20981962696892703,4202.0,0.010067083151002701,,0.9915320609368711,False
UBC,10,260,-0.6645073979222769,-0.41048491607762905,-0.691277031495093,-1.3255641574711405,-0.05698990551904537,770.0,0.028876370064282016,,0.9915320609368711,False
AP3B1,17,778,-0.314468103505848,-0.1756859273036214,-0.6908962550565202,-1.1726213084208192,-0.2091712016922212,4472.0,0.022297758304653494,,0.9915320609368711,False
AIF1L,17,778,-0.1585970737091812,-0.11269302288194555,-0.6892960064154,-1.1710155211876192,-0.20757649164318082,4993.0,0.08380497027875962,,0.9915320609368711,False
EPS8,17,778,0.0599741496793624,0.10683181469345435,-0.6877513641283919,-1.1694655448881404,-0.2060371833686434,4426.0,0.01957646356779822,,0.9915320609368711,False
OSBPL9,17,778,-0.2140533419848883,-0.1548801475148343,-0.6861304023980674,-1.1678389984009634,-0.20442180639517155,4846.0,0.05929976317786314,,0.9915320609368711,False
LYSMD3,17,778,0.0461867200932184,0.12179547905025565,-0.6858976098479004,-1.1676054048792601,-0.2041898148165407,3898.0,0.0037546034921471906,,0.9915320609368711,False
GNPAT,17,778,-0.0441350090476461,0.006143563667126499,-0.6856546292507031,-1.1673615885449022,-0.20394766995650399,4112.0,0.007594096743289948,,0.9915320609368711,False
IRF7,17,778,-0.0527996352386795,-0.0064074087621051,-0.6856054475321679,-1.1673122377006115,-0.2038986573637243,4155.0,0.008698162417801034,,0.9915320609368711,False
C8orf48,17,778,0.1144735017728188,0.14905385253397074,-0.6836477592246786,-1.1653478271125048,-0.20194769133685225,3830.0,0.0029714697111626986,,0.9915320609368711,False
WASL,17,778,-0.163809709295684,-0.036537855360430596,-0.6823296097259968,-1.1640251621479631,-0.20063405730403033,4085.0,0.006966759883408552,,0.9915320609368711,False
TMEM67,17,778,-0.0581027996516821,0.01927021919288735,-0.6810037169370948,-1.162694736116798,-0.19931269775739152,3670.0,0.0016808797496254168,,0.9915320609368711,False
NUDT12,17,778,-0.1885268462180184,-0.1038376080975021,-0.6809272794514125,-1.1626180375580148,-0.19923652134481018,4278.0,0.012689132639799759,,0.9915320609368711,False
YTHDF2,17,778,-0.3905204084039845,-0.2935570404123514,-0.6800219440825982,-1.1617096122242687,-0.19833427594092778,4890.0,0.06591684819490488,,0.9915320609368711,False
IQCK,17,778,-0.0606161194101424,0.00843595787837455,-0.6795455615010695,-1.161231605362668,-0.19785951763947102,3974.0,0.004848423644426369,,0.9915320609368711,False
CDH12,17,778,0.0349503529847879,0.11925051559384935,-0.6779289301170295,-1.1596094703367985,-0.1962483898972605,3542.0,0.0010448954765761092,,0.9915320609368711,False
KCNN2,17,778,-0.0417713004755857,0.02118880900298745,-0.6772032389796767,-1.158881312907147,-0.19552516505220657,3591.0,0.0012560483678147473,,0.9915320609368711,False
DHDDS,17,778,-2.519962435607213,-2.1961067033197907,-0.675864746960341,-1.1575382788615933,-0.1941912150590887,4137.0,0.00821963099517773,,0.9915320609368711,False
GRXCR1,17,778,-0.0569640077974505,-0.0035948239933495498,-0.6754628327618138,-1.1571350025571376,-0.19379066296649,4172.0,0.00917281209372027,,0.9915320609368711,False
PAIP2B,17,778,-0.0196334528520941,0.0512965118680593,-0.673843495949994,-1.1555101859072598,-0.19217680599272813,4190.0,0.009700454769588387,,0.9915320609368711,False
SLC9A6,17,778,0.0124063382250271,0.08166843167583834,-0.6733505290690195,-1.155015553424834,-0.191685504713205,4051.0,0.006243177848484849,,0.9915320609368711,False
LRRN1,17,778,0.0609626924277876,0.1272176905572924,-0.6724274037129091,-1.1540893123414346,-0.1907654950843835,4527.0,0.02597819658513895,,0.9915320609368711,False
TRIM44,17,778,0.020159651017261,0.0817290303789299,-0.6712009007507951,-1.1528586762749868,-0.18954312522660322,4324.0,0.014555006083090969,,0.9915320609368711,False
BMPR2,17,778,-0.1147836672467147,-0.0332837037522336,-0.6697523934372098,-1.1514052974129476,-0.18809948946147192,4415.0,0.018970413498925795,,0.9915320609368711,False
TAS2R50,17,778,-0.0214785584014489,0.00078284372254135,-0.6680486863180946,-1.1496958738763803,-0.18640149875980888,4746.0,0.04629133960074652,,0.9915320609368711,False
TSR3,17,778,-0.1910692237081958,-0.02774267016064955,-0.6675364733240987,-1.149181945096924,-0.18589100155127336,3566.0,0.0011438342071468483,,0.9915320609368711,False
MED14,17,778,-1.2677515235722676,-1.093941515178241,-0.6660087490790549,-1.1476491111377582,-0.18436838702035158,4360.0,0.016179929608524508,,0.9915320609368711,False
TRAPPC3,17,778,-1.8384284803747697,-1.6705231640172158,-0.6647094827750111,-1.1463455084028646,-0.1830734571471575,4563.0,0.02866210372720425,,0.9915320609368711,False
TGM2,17,778,0.0718370641847285,0.07940444992629495,-0.6627015450946415,-1.1443308856093348,-0.18107220457994821,4690.0,0.04011971277673509,,0.9915320609368711,False
LRRN3,17,778,-0.0575753579727766,-0.007503317765286699,-0.662408020707853,-1.1440363856657823,-0.18077965574992372,4760.0,0.04795349686998274,,0.9915320609368711,False
CDRT15L2,17,778,-0.0598515900141473,0.00257998659473445,-0.6623331589583313,-1.1439612751748305,-0.18070504274183213,4944.0,0.0748574454111615,,0.9915320609368711,False
CYP2A6,17,778,2.055106421330888e-05,0.040545363854479696,-0.6619689066828353,-1.1435958130059403,-0.1803420003597302,5440.0,0.2106451305763577,,0.9915320609368711,False
TGM1,17,778,-0.1358319384264986,-0.0993079400832622,-0.6611454322162477,-1.142769605744275,-0.17952125868822033,4834.0,0.05759395371256185,,0.9915320609368711,False
DRD3,17,778,-0.0865775107328304,-0.00944305163122015,-0.6581298727291046,-1.1397440676800266,-0.17651567777818267,4308.0,0.013880234739902379,,0.9915320609368711,False
FEZF2,17,778,-0.0297098319366525,0.02403269123896425,-0.6556178889077448,-1.137223806298569,-0.1740119715169206,4622.0,0.033577191670133746,,0.9915320609368711,False
ARHGAP5,17,778,-0.2543833023700002,-0.1537560491477963,-0.6497472727706127,-1.1313339680267254,-0.16816057751450014,4880.0,0.06436185140712114,,0.9915320609368711,False
FAM149A,17,778,0.0321469657737492,0.09033297484389965,-0.64970463030486,-1.1312911865666173,-0.16811807404310275,4495.0,0.023777738984308287,,0.9915320609368711,False
ZNF766,17,778,-0.0292545528223099,0.0330506533764384,-0.6492204891599653,-1.1308054679865258,-0.16763551033340485,4372.0,0.016755936399408613,,0.9915320609368711,False
PLIN1,17,778,-0.0148557806416147,0.0058999705415305,-0.648879849356523,-1.1304637190075364,-0.16729597970550958,5957.0,0.48403350698281333,,0.9966596513898347,False
RCN3,17,778,-0.04997005426069,-0.0019501822845623,-0.6484452249625411,-1.1300276802512341,-0.16686276967384817,4644.0,0.03558612832131706,,0.9915320609368711,False
PRTFDC1,17,778,0.0741006099725527,0.13228526765171575,-0.6480862929488436,-1.129667580906034,-0.16650500499165333,4739.0,0.04547861989884993,,0.9915320609368711,False
BMPR1B,17,778,0.0326874097746499,0.04692600226726825,-0.6472992346311298,-1.128877965141775,-0.1657205041204845,5033.0,0.09173457750928898,,0.9915320609368711,False
PLAC8L1,17,778,-0.1426351343742311,-0.0783147363049746,-0.6464063277451888,-1.1279821606140958,-0.1648304948762817,4206.0,0.01019200655021025,,0.9915320609368711,False
KRTAP22-2,13,688,0.0394361768636096,0.0564138388740949,-0.6457678488192717,-1.1955159419884123,-0.09601975565013121,3346.0,0.11971484141514709,,0.9915320609368711,False
CFHR4,10,262,0.1224288476073264,0.21449529135740586,-0.645222543568237,-1.2790582706353595,-0.011386816501114616,723.0,0.01629248158423284,,0.9915320609368711,False
DEPDC1,17,778,-0.3908030058127467,-0.2605279153677921,-0.6443208763125505,-1.1258899570332555,-0.16275179559184566,4378.0,0.01705063327348777,,0.9915320609368711,False
RABEPK,17,778,-0.1948569525882766,-0.09849202108393046,-0.6434773699782761,-1.1250437258158947,-0.16191101414065756,4185.0,0.009551238823859562,,0.9915320609368711,False
VIM,17,778,0.0211663889805793,0.07292336928703494,-0.641410318066785,-1.1229700114771544,-0.15985062465641542,4050.0,0.006222959838222179,,0.9915320609368711,False
FAM81A,17,778,0.0132026153118042,0.0488650671338808,-0.6413176955545038,-1.1228770909278596,-0.159758300181148,4535.0,0.026555068994855692,,0.9915320609368711,False
RNF145,10,262,0.10268072239947425,0.26073129615957163,-0.6410113145914287,-1.2748168678797422,-0.007205761303115121,847.0,0.05817268515842539,,0.9915320609368711,False
MAP3K10,17,778,-0.0875038906235244,-0.05076716043881585,-0.6395968597082275,-1.1211507256396758,-0.15804299377677938,5202.0,0.13209570685692829,,0.9915320609368711,False
ZNF44,17,778,0.0017847606270066,0.06335119149629334,-0.6385990928188267,-1.1201497594709686,-0.15704842616668463,4090.0,0.007079297504654848,,0.9915320609368711,False
LCLAT1,17,778,0.1145552149926256,0.13560248910574596,-0.6382301560322906,-1.1197796409704077,-0.1566806710941735,4616.0,0.03304643459751253,,0.9915320609368711,False
PCDHGC4,17,778,-0.0646103760349506,0.016697158364534,-0.6339943492673692,-1.1155303155303522,-0.15245838300438613,4527.0,0.02597819658513895,,0.9915320609368711,False
PEAR1,17,778,-0.2573697840017322,-0.1823010504890942,-0.6336417331756573,-1.115176578098013,-0.1521068882533017,4222.0,0.010705611397734292,,0.9915320609368711,False
ITPR2,17,778,-0.094084195671031,-0.02982346491238495,-0.632838755445129,-1.1143710491675345,-0.1513064617227236,4894.0,0.06654745584627826,,0.9915320609368711,False
FBXO7,17,778,-0.1485712813337655,-0.06721539498203415,-0.6321885285536091,-1.1137187587526358,-0.15065829835458222,4990.0,0.0832333439057652,,0.9915320609368711,False
LRRC8E,17,778,-0.1685382249451633,-0.10877474164266505,-0.6321720050328437,-1.1137021828212803,-0.150641827244407,4593.0,0.031077877646113323,,0.9915320609368711,False
FAM83H,17,778,-0.1693220590644563,-0.0984520224276054,-0.6310464573984635,-1.1125730682986377,-0.14951984649828942,4437.0,0.020199357894289494,,0.9915320609368711,False
C1orf87,17,778,-0.0591040904892995,0.0228983325544514,-0.6304397959002735,-1.1119644869005272,-0.1489151049000199,4623.0,0.03366635634849035,,0.9915320609368711,False
NELL2,17,778,-0.1832957193034264,-0.1147530461662037,-0.6296219818347415,-1.1111440876115826,-0.14809987605790043,3818.0,0.0028498545914688845,,0.9915320609368711,False
CCL27,17,778,-0.2245905848853354,-0.13064166931300614,-0.6284501604787625,-1.1099685677911009,-0.14693175316642398,4533.0,0.02640982311047336,,0.9915320609368711,False
DDI2,17,778,-0.2491049990420999,-0.11847327655268991,-0.6280438015005734,-1.1095609278781506,-0.1465266751229961,4785.0,0.05104638729070495,,0.9915320609368711,False
HOXB7,17,778,-0.2148119810016468,-0.1285135150828643,-0.6276623033060617,-1.109178227866597,-0.14614637874552644,4104.0,0.007403136865291002,,0.9915320609368711,False
KCNC3,17,778,-0.0445494935845968,-0.01811339572374765,-0.6272109992156728,-1.1087255029917498,-0.14569649543959573,6042.0,0.5424703541573876,,0.9989860638479046,False
TPGS2,17,778,-0.0453353967738889,0.0304141836183554,-0.6267938212899358,-1.108307012621936,-0.14528062995793545,4418.0,0.01913405084557807,,0.9915320609368711,False
BPIFC,17,778,0.0138486583995197,0.0500893664644776,-0.6265168465341036,-1.108029166982348,-0.1450045260858589,4014.0,0.005533244835792753,,0.9915320609368711,False
CALHM6,17,778,0.0044486479148891,0.05207454349829685,-0.6264492789057091,-1.1079613869611689,-0.14493717085024926,4510.0,0.02478821888507147,,0.9915320609368711,False
AP1S3,17,778,-0.1283708557194662,-0.09450240115115785,-0.6264254181161439,-1.1079374511728006,-0.1449133850594872,4608.0,0.032349941682240486,,0.9915320609368711,False
THSD7A,17,778,0.1004900956277157,0.1497764959718051,-0.6248927238875358,-1.106399945368187,-0.14338550240688458,4330.0,0.014815405585667797,,0.9915320609368711,False
MAP7D3,17,778,-0.0134568785572685,0.042856624019529,-0.6247889053187103,-1.1062958013069806,-0.1432820093304401,4251.0,0.0116954427310804,,0.9915320609368711,False
