gene,n_R175H,n_other_mut,median_R175H,median_other_mut,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,biology,fdr,significant
CAPRIN1,29,766,-0.211764473934322,-0.10671042725365115,-0.7595277488096944,-1.1321841740476013,-0.38687132357178755,7593.0,0.0037986684505753325,,0.9106342311398871,False
ARL5C,29,766,-0.1998790693321466,-0.1453284642156934,-0.7397061569670318,-1.1122662382397817,-0.3671460756942819,7597.0,0.0038387286234306244,,0.9106342311398871,False
AP3B1,29,766,-0.3077658938093608,-0.17192126448043676,-0.7126904000049682,-1.085123233775405,-0.3402575662345312,6430.0,0.00011692222779202877,,0.9106342311398871,False
MMP27,29,766,0.0583849476748253,0.09248580724582015,-0.7106314522926026,-1.0830547805606003,-0.3382081240246048,8410.0,0.02632583242341107,,0.9238806447272142,False
TRAM1,29,766,0.0235756041689868,0.0676430492228036,-0.700145762258258,-1.0725211044082963,-0.3277704201082196,7553.0,0.0034184632794318328,,0.9106342311398871,False
C8orf76,29,766,-0.1629903434826742,-0.07153771341391399,-0.6960932237177128,-1.0684502095416104,-0.32373623789381506,7629.0,0.004173288797814776,,0.9106342311398871,False
EYS,29,766,0.011986106485269,0.0759774587700778,-0.6866991747569056,-1.059014015786644,-0.31438433372716723,7197.0,0.0012790556329034845,,0.9106342311398871,False
MTMR8,29,766,-0.0088430999761932,0.0743603094842675,-0.6853838477644446,-1.0576928331287874,-0.3130748624001018,7788.0,0.006261310142671074,,0.9106342311398871,False
PRAME,29,766,-0.0606295935962914,-0.00789048108687605,-0.6827542862702018,-1.0550515985499627,-0.31045697399044114,7356.0,0.00200389654505756,,0.9106342311398871,False
FOXP2,29,766,-0.0454702602150531,0.015444450604059901,-0.6801715023350305,-1.0524573925108265,-0.3078856121592346,7537.0,0.003276335332465133,,0.9106342311398871,False
GBP7,29,766,0.0527337168272388,0.09760123360268011,-0.6706345998089043,-1.0428786860435828,-0.29839051357422575,7914.0,0.00853911609370344,,0.9193225141646324,False
CAT,29,766,-0.0210973491591129,0.01953088052513985,-0.6679105721108651,-1.0401428254042742,-0.2956783188174562,7805.0,0.006532755068422217,,0.9106342311398871,False
SELENOV,29,766,-0.0555823386522959,-0.0001980017960792783,-0.6655257880131923,-1.0377477212413915,-0.2933038547849932,7106.0,0.0009821045382342657,,0.9106342311398871,False
SIRPA,16,256,0.026513852467271802,0.13236528559094304,-0.6620314041139719,-1.170157206162714,-0.15390560206522985,1311.0,0.015835148219166165,,0.9238806447272142,False
PLAU,29,766,-0.0811367767269065,-0.030608996605615148,-0.6615094153648389,-1.0337140506828533,-0.28930478004682436,6949.0,0.0006149352877212948,,0.9106342311398871,False
MMP8,29,766,-0.0296883855268291,0.0224725785111752,-0.6544725321946162,-1.0266471112419984,-0.282297953147234,8374.0,0.024383770937836315,,0.9238806447272142,False
DEPDC7,29,766,0.0573667326526357,0.06946013850890614,-0.6540756739333194,-1.0262485674041097,-0.28190278046252903,8542.0,0.034632463003875485,,0.9238806447272142,False
GRHL1,29,766,0.1093206590891326,0.1276343329672499,-0.6539303816918083,-1.0261026583164443,-0.2817581050671723,9678.0,0.23927719205691111,,0.9664802925210778,False
C19orf33,29,766,-0.0097443845755437,0.0516521482989028,-0.6521175807705087,-1.0242821724854934,-0.2799529890555242,7569.0,0.003566182314526616,,0.9106342311398871,False
FABP7,29,766,-0.0037439332870002,0.0459099373889335,-0.6458000254517322,-1.0179380009871488,-0.27366204991631565,6849.0,0.0004526448763820014,,0.9106342311398871,False
TMEM177,29,766,-0.1021099347641578,-0.054639406691019105,-0.6385950680193242,-1.0107030026742145,-0.2664871333644339,7024.0,0.0007705705187720962,,0.9106342311398871,False
ZNF165,29,766,-0.00511799875738,0.02462123232721355,-0.6347248048134242,-1.0068167406654907,-0.26263286896135773,8470.0,0.02985994085008109,,0.9238806447272142,False
VPS35,29,766,-0.7287685416642176,-0.5792605031830578,-0.6321851050049273,-1.0042665947848755,-0.26010361522497905,8089.0,0.012925684425194307,,0.9238806447272142,False
DNAJC7,29,766,-0.162138604689083,-0.09250292301080346,-0.6292847669287904,-1.001354378158583,-0.25721515569899783,7517.0,0.0031062521728541666,,0.9106342311398871,False
BLOC1S1,29,766,-0.0118846823092024,0.033357687140734255,-0.6289744077374501,-1.0010427510809141,-0.256906064393986,7596.0,0.003828677755643043,,0.9106342311398871,False
GDF3,29,766,-0.0372472781512177,0.016993819058752052,-0.6279976724973387,-1.0000620297135745,-0.255933315281103,7566.0,0.0035380502919583607,,0.9106342311398871,False
ANGEL1,29,766,-0.0412158628573293,0.01466377925151685,-0.6271569979089661,-0.999217929197765,-0.2550960666201672,7212.0,0.001335309134386304,,0.9106342311398871,False
TRAF6,29,766,-0.1534504762155174,-0.07759372864882019,-0.6186962536907,-0.9907229594303787,-0.24666954795102136,8242.0,0.01828630698523669,,0.9238806447272142,False
HTT,29,766,-0.1746053756813329,-0.07884938887976385,-0.6173418864396328,-0.9893631563422034,-0.24532061653706227,7571.0,0.003585049883570282,,0.9106342311398871,False
BRD2,29,766,-0.604838645898846,-0.3810177054675309,-0.6171430390217193,-0.989163511834028,-0.24512256620941064,7284.0,0.0016384833040284958,,0.9106342311398871,False
TRPA1,29,766,-0.0542456778615886,-0.00210969336013015,-0.6132854172770054,-0.9852904770876272,-0.2412803574663836,8047.0,0.011721827025646352,,0.9193225141646324,False
CACNB1,29,766,-0.2415542770069144,-0.21041437339740843,-0.605944046636555,-0.9779200394758392,-0.23396805379727081,8182.0,0.01598766124939325,,0.9238806447272142,False
BIRC3,29,766,0.021571830927785,0.0716364908417026,-0.6059437558488703,-0.9779197475437157,-0.23396776415402487,9220.0,0.1201617988941591,,0.9641225477761958,False
AP1B1,29,766,-0.1209025489062782,-0.10624046918680854,-0.6058251629205199,-0.9778006879204963,-0.23384963792054347,10184.0,0.44728231698930665,,0.9804720146635957,False
VPS41,29,766,-0.9434924123699304,-0.7124410453837547,-0.6048954947290738,-0.9768673643808354,-0.23292362507731218,7001.0,0.0007193330622597923,,0.9106342311398871,False
API5,29,766,-0.3233543783362709,-0.20517667275164436,-0.6047229052422446,-0.9766940969058893,-0.23275171357859986,7043.0,0.0008154311746339177,,0.9106342311398871,False
TSR3,29,766,-0.1340554149697006,-0.02915865324290875,-0.6027165160835073,-0.9746798401000379,-0.23075319206697664,9052.0,0.09055203606474387,,0.9641225477761958,False
