gene,n_R248W,n_other_mut,median_R248W,median_other_mut,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,biology,fdr,significant
TMEM164,69,726,-0.0325255834494695,0.0066002646678426004,-0.5815973290785414,-0.8301568008634596,-0.33303785729362334,18265.0,0.00019906027431905945,,0.2720859658852068,False
AGPS,69,726,-0.0147191330905472,0.02662666599531025,-0.4984402169329487,-0.746562812070984,-0.25031762179491346,18966.0,0.0008510010979931568,,0.4922355060682353,False
WSB1,69,726,-0.0604418629881637,0.01243304417280645,-0.4817956531814675,-0.72983880172441,-0.23375250463852498,18810.0,0.000623387898852669,,0.43006625298086465,False
SMC1A,69,726,-1.528061868190343,-1.4023490388262427,-0.4784126274424554,-0.7264399552587835,-0.2303852996261273,18657.0,0.00045632933999085735,,0.4091220697688032,False
KRTAP10-11,69,726,-0.1787327196635985,-0.12073147197411266,-0.47840729948538013,-0.7264346024726367,-0.23037999649812352,19884.0,0.004625025594416899,,0.651517362985774,False
WDR24,69,726,-0.7214825037449606,-0.5643037235213566,-0.46832584797730514,-0.7163066608170996,-0.22034503513751064,18733.0,0.0005332562436898524,,0.43006625298086465,False
ARHGAP45,69,726,-0.0615746430318911,-0.03011699518180415,-0.46831217721642343,-0.7162929276805068,-0.22033142675234005,20383.0,0.010518219857586603,,0.7513644546532448,False
ANKS1B,69,726,0.0489641935348662,0.08954832276100766,-0.4667671292177901,-0.7147408417075696,-0.21879341672801064,17485.0,3.352463537930375e-05,,0.2003767456620985,False
EIF1AY,26,246,-0.30441719662068556,-0.20016436768145704,-0.46367390121821117,-0.8697308923714442,-0.0576169100649781,2512.0,0.07232612549336702,,0.8749359379540207,False
TTC22,69,726,-0.18009777413265,-0.12618145504010814,-0.46349620906725064,-0.7114550980061961,-0.2155373201283052,19033.0,0.0009706606381019059,,0.5274216939940992,False
TREML2,69,726,-0.2248228772035208,-0.15281162416858546,-0.4606798606914668,-0.7086260689785538,-0.2127336524043798,17355.0,2.4493667261302348e-05,,0.2003767456620985,False
CCND3,69,726,-0.3411921200687748,-0.23238181091094384,-0.46025823494220375,-0.708202551448497,-0.21231391843591055,17078.0,1.2346797277740606e-05,,0.2003767456620985,False
AFAP1,69,726,0.0905865264187461,0.11908675971266436,-0.4597747731537005,-0.707716922542961,-0.21183262376443998,18564.0,0.00037628603680194185,,0.3968932309350364,False
PEDS1,69,726,-0.1194795591259418,-0.07789238154036085,-0.45951126442845647,-0.7074522335911186,-0.2115702952657943,19871.0,0.004522906117159628,,0.651517362985774,False
MIOS,69,726,-0.5788967710495474,-0.4189199542132551,-0.45499582897745394,-0.7029166782731061,-0.2070749796818018,18897.0,0.0007421836636602583,,0.45889983700317555,False
TBCD,69,726,-1.1362962614224557,-1.0690441531641643,-0.44545268005331357,-0.693331655462293,-0.19757370464433405,19549.0,0.0025627916220828354,,0.651517362985774,False
MOCS3,69,726,-0.9257482655972858,-0.8209251536657438,-0.4450188738462686,-0.6928959667038985,-0.1971417809886386,19473.0,0.00223177102503865,,0.6344972584150113,False
