gene,n_Y220C,n_other_mut,median_Y220C,median_other_mut,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,biology,fdr,significant
KLB,11,784,-0.0917606832511096,-0.0218044795722414,-1.5871121703541322,-2.1872863965538367,-0.9869379441544277,1603.0,0.00034223591384071673,,0.843133106122356,False
ZFX,11,784,-0.5483595282225138,-0.30142354695233387,-1.288519631364355,-1.8869631224923196,-0.6900761402363905,1587.0,0.0003155484834153479,,0.843133106122356,False
DLX3,11,784,-0.2784039102558757,-0.1904697328102719,-1.2657017564919737,-1.8640275893819007,-0.6673759236020466,2495.0,0.01631998369054318,,0.8511086511978743,False
RHNO1,11,784,-0.218312679205829,-0.0698885278788008,-1.1677899654229,-1.7656345481726623,-0.5699453826731379,1951.0,0.0018028223685829666,,0.843133106122356,False
SETX,11,784,-0.3947256419719356,-0.2430097326603121,-1.1438305763081469,-1.7415632375112007,-0.546097915105093,1954.0,0.0018272552834808782,,0.843133106122356,False
CLRN2,11,784,-0.0857356157298746,-0.01850575862637815,-1.1401611762395274,-1.7378768996104497,-0.5424454528686052,2331.0,0.008831419554262044,,0.8511086511978743,False
CHMP4C,11,784,-0.090735126304371,-0.0479051810841753,-1.1198266722381305,-1.717449510132119,-0.5222038343441421,3084.0,0.10460322893979374,,0.8891692666539546,False
OOEP,11,784,-0.2353616453082542,-0.10331235405368595,-1.0906014493992509,-1.6880936931925135,-0.49310920560598814,2193.0,0.005094953394492937,,0.843133106122356,False
IFT52,11,784,0.018155500413266,0.05533221178258295,-1.066866786765207,-1.664255492052423,-0.4694780814779911,2341.0,0.009179639490619378,,0.8511086511978743,False
PLCXD3,11,784,0.0102135756579473,0.13548579981326353,-1.0637333648736154,-1.661108570035855,-0.46635815971137573,2358.0,0.009799814186304608,,0.8511086511978743,False
PCDHGA7,11,784,-0.2587565912291632,-0.15452762788333715,-1.039157748795396,-1.6364284383710608,-0.44188705921973126,2069.0,0.0030276711095057513,,0.843133106122356,False
FAM13A,11,784,-0.0342723862951837,0.0525896149111013,-1.038540254236169,-1.6358083489492703,-0.44127215952306775,1966.0,0.0019280604220546815,,0.843133106122356,False
TNFAIP3,11,784,0.0001292191286756,0.06924932789889024,-1.0369246779459833,-1.6341859908574525,-0.4396633650345142,2514.0,0.017474962905960366,,0.8511086511978743,False
VN1R2,11,784,-0.0375245305778382,0.07130133302107455,-1.0329954986078351,-1.6302403615115235,-0.43575063570414685,2136.0,0.00402328072377935,,0.843133106122356,False
TSHB,11,784,-0.3324228574257864,-0.19484967049216462,-1.0214735600069602,-1.6186705423519356,-0.4242765776619848,1382.0,0.00010740265401490602,,0.843133106122356,False
HNRNPH2,11,784,-0.1612739682112162,-0.07656412037009065,-1.0157652816859026,-1.6129387402514315,-0.4185918231203739,2204.0,0.005329301155860504,,0.843133106122356,False
NR5A2,11,784,-0.0472761114742127,-0.0105980331292726,-1.0114966111076709,-1.6086525640559772,-0.4143406581593644,3533.0,0.3033427766833877,,0.9401662736505708,False
WFDC10B,11,784,-0.1502224649323826,-0.01871643911869895,-1.0074050139443096,-1.6045442561635066,-0.41026577172511247,2077.0,0.0031334135017960156,,0.843133106122356,False
RALY,11,784,-0.2452889863518119,-0.07035085676997524,-1.0067069961347956,-1.6038433942556694,-0.4095705980139219,1888.0,0.0013542751683448232,,0.843133106122356,False
TAF1L,11,784,-0.082625619890549,0.0400787339477167,-0.9999139121609106,-1.597022733863211,-0.40280509045861024,2098.0,0.0034271995543602497,,0.843133106122356,False
ZFP37,11,784,-0.1029030518903307,-0.0102169470328024,-0.9943465974013711,-1.5914329569492562,-0.39726023785348596,2476.0,0.015232622948842806,,0.8511086511978743,False
IHO1,11,784,-0.2669235290691628,-0.19578882137299514,-0.9910827962251375,-1.5881560454068415,-0.3940095470434334,2415.0,0.012160522748227688,,0.8511086511978743,False
ZFP30,11,784,-0.1460648570196271,0.022241877195077753,-0.9710505248333078,-1.5680442443631484,-0.3740568053034671,2074.0,0.0030933717496597355,,0.843133106122356,False
KCNA4,11,784,-0.1651187914483525,-0.01689211091173145,-0.964029839144128,-1.5609960678450163,-0.36706361044323965,2484.0,0.015682432669542324,,0.8511086511978743,False
FGFR2,11,784,-0.1316490643539669,-0.0369484615924868,-0.9589218406780102,-1.555868192615931,-0.36197548874008945,3143.0,0.12236351839188851,,0.8898118976437126,False
SP7,11,784,-0.3192287284106415,-0.16159192462265085,-0.9570598115086304,-1.553998943828672,-0.3601206791885886,2224.0,0.005780460290020705,,0.843133106122356,False
GALK2,11,784,-0.1766951804470018,-0.1013362535454122,-0.9516214476850698,-1.5485395737652052,-0.35470332160493445,1998.0,0.002222351835883841,,0.843133106122356,False
ZNRF2,11,784,-0.0471362256103396,0.01670459829436695,-0.951551386581154,-1.548469242819257,-0.354633530343051,2459.0,0.014314325511384203,,0.8511086511978743,False
HIBCH,11,784,-0.2203729003048555,-0.1339262854814546,-0.9499013815438462,-1.5468128884561352,-0.3529898746315572,2220.0,0.005687565111539348,,0.843133106122356,False
ARGFX,11,784,-0.2905373290670608,-0.1342002499566876,-0.9463178874668556,-1.5432156425850772,-0.3494201323486341,2033.0,0.0025909541357085433,,0.843133106122356,False
BARHL2,11,784,-0.3508576850126904,-0.20292380506716526,-0.943898640835022,-1.5407871412140435,-0.34701014045600054,2363.0,0.009989190596102352,,0.8511086511978743,False
THUMPD2,11,784,-0.1587355356904612,-0.06711425873575175,-0.9435361924512429,-1.540423308325396,-0.3466490765770899,1983.0,0.0020796239501835036,,0.843133106122356,False
MTHFSD,11,784,-0.131429368349398,-0.0318436473541121,-0.9393359950678808,-1.536207105295534,-0.34246488484022763,2136.0,0.00402328072377935,,0.843133106122356,False
CTRL,11,784,0.0765430118189187,0.1488012953296638,-0.931540050722101,-1.5283816411785172,-0.33469846026568484,2749.0,0.0388422153891717,,0.858846264737305,False
EIF4EBP1,11,784,-0.2829883473712379,-0.18999603265352905,-0.9314588416911321,-1.5283001259321545,-0.3346175574501098,2320.0,0.008462049937514655,,0.8511086511978743,False
CCDC54,11,784,0.0843648402047163,0.14804677809101635,-0.9295288672804649,-1.526362881965154,-0.3326948525957759,2043.0,0.0027060935832027024,,0.843133106122356,False
CNGA1,11,784,-0.1308850702241595,-0.04516830866617655,-0.9285467427853282,-1.5253770638963529,-0.3317164216743037,3056.0,0.09692341533197682,,0.8891692666539546,False
USP40,11,784,-0.0073586831495831,0.00558577796707065,-0.9280541203952111,-1.5248825903138643,-0.33122565047655783,3043.0,0.09351445187766164,,0.8891692666539546,False
MTMR8,11,784,-0.0152741729558614,0.0737957293078181,-0.9277890261032506,-1.5246165002461747,-0.3309615519603265,2752.0,0.039218389757412216,,0.858846264737305,False
IBSP,11,784,-0.0064203683289936,0.09968207042026894,-0.9160949709886539,-1.5128788000945401,-0.31931114188276777,1969.0,0.001954047255386683,,0.843133106122356,False
TEX12,11,784,-0.0128462816587346,0.08520456142364435,-0.9144556647019325,-1.5112334195100652,-0.31767790989379985,2773.0,0.04193919299429579,,0.8674256341066815,False
ADH5,11,784,-0.3544176407092938,-0.22279050671000256,-0.9115874990334222,-1.5083546521402136,-0.3148203459266308,1761.0,0.0007458768837417713,,0.843133106122356,False
PDHA2,11,784,-0.1587446781171416,-0.06852130586275179,-0.908780504932382,-1.505537314513226,-0.3120236953515382,2131.0,0.003939807967630371,,0.843133106122356,False
CILP2,11,784,-0.2635389230168719,-0.12215283385974471,-0.9078820319300676,-1.5046355374185953,-0.31112852644153977,2521.0,0.017918205742676812,,0.8511086511978743,False
BIRC2,11,784,-0.3691925381584754,-0.19797933189194655,-0.9075130051187225,-1.504265154470013,-0.31076085576743206,2197.0,0.005179070898067787,,0.843133106122356,False
