gene,n_mutant,n_wt,median_dep_mutant,median_dep_wt,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,fdr,significant
IL2RA,20,10,-0.009555169748528299,0.14408149224938638,-1.8200130206881593,-2.707873366798193,-0.9321526745781259,19.0,0.0003978168935431522,0.36422976811256946,False
TP53,20,10,0.025955472874801502,0.43271495388278547,-1.7828151611413887,-2.665830232331507,-0.8998000899512703,24.0,0.0008951664625884155,0.36422976811256946,False
NSRP1,20,10,-0.5080849448594413,-0.32917070061520937,-1.657699266453,-2.524968264629477,-0.7904302682765231,21.0,0.0005532811493098057,0.36422976811256946,False
CHEK2,20,10,0.07178275323108235,0.35146507347810385,-1.6366495026645465,-2.5013550781642646,-0.7719439271648284,25.0,0.0010470735392238673,0.36422976811256946,False
COL5A2,20,10,-0.1040138317798334,0.09606291191501765,-1.60307236925692,-2.4637413711041,-0.74240336740974,22.0,0.0006507124051402688,0.36422976811256946,False
DNAJB11,20,10,-0.27522023663315787,0.010089493914260603,-1.5807252076604283,-2.4387437827264717,-0.7227066325943852,28.0,0.0016575750497255183,0.36422976811256946,False
CDC23,20,10,-2.5258009137477506,-2.0096670636665834,-1.5481870374365316,-2.402398731768438,-0.693975343104625,24.0,0.0008951664625884155,0.36422976811256946,False
HECTD1,20,10,-0.4203662196639912,-0.0844919873297775,-1.5453938979255377,-2.399281710956415,-0.6915060848946605,30.0,0.0022312287944869767,0.36747098673648015,False
CDK16,20,10,-0.060012091167559,0.06517248343931005,-1.5060810442061154,-2.355459582012899,-0.6567025063993317,24.0,0.0008951664625884155,0.36422976811256946,False
RC3H1,20,10,-0.0939826734412245,0.11472146089309834,-1.5058763462148101,-2.3552316469177734,-0.6565210455118469,28.0,0.0016575750497255183,0.36422976811256946,False
HAUS6,20,10,-1.4974257412093452,-0.8977073430772968,-1.473963917213945,-2.319727538171328,-0.6282002962565619,29.0,0.0019248663744634584,0.36422976811256946,False
TRAPPC11,20,10,-0.9945424197452071,-0.8371380107363424,-1.4664643052364577,-2.3113928429496573,-0.6215357675232579,27.0,0.0014248228463931592,0.36422976811256946,False
TMEM138,20,10,-0.058213345935702654,0.0329053975151391,-1.4584621038124337,-2.3025033885504564,-0.6144208190744112,26.0,0.0012225384873000072,0.36422976811256946,False
EP400,20,10,-1.0611411837409361,-0.7654242768649533,-1.4421698424204734,-2.2844168600360213,-0.5999228248049254,33.0,0.003437816753212987,0.38948055152483696,False
EXTL3,20,10,-0.14214472941646616,-0.03018965789881535,-1.4213495838765444,-2.26132753559469,-0.5813716321583987,28.0,0.0016575750497255183,0.36422976811256946,False
SAMD9L,20,10,-0.11627544935674075,0.0112305955082323,-1.4126864411254743,-2.251728189954531,-0.5736446922964176,29.0,0.0019248663744634584,0.36422976811256946,False
LRFN1,20,10,-0.10239144105038175,-0.02669760274445075,-1.4076074514428825,-2.24610250593862,-0.5691123969471451,22.0,0.0006507124051402688,0.36422976811256946,False
LRRTM2,20,10,-0.009899972285881001,0.1067289397414906,-1.4073280929434706,-2.2457931245454192,-0.5688630613415219,22.0,0.0006507124051402688,0.36422976811256946,False
ZNF491,20,10,-0.10966481630380576,0.16103088453056166,-1.4040712672818,-2.2421866456111927,-0.5659558889524076,28.0,0.0016575750497255183,0.36422976811256946,False
MAT1A,20,10,-0.07170011262582665,0.07821509184405225,-1.4010604276167364,-2.2388531530150058,-0.5632677022184673,23.0,0.0007639086370274725,0.36422976811256946,False
VAX2,20,10,-0.1294826200974046,0.02386602448817335,-1.3882652549335066,-2.2246931532819723,-0.5518373565850412,25.0,0.0010470735392238673,0.36422976811256946,False
EPS8L3,20,10,-0.2636291486899188,-0.09326930830995304,-1.3845372470121005,-2.2205694281535595,-0.5485050658706415,29.0,0.0019248663744634584,0.36422976811256946,False
ARL14EPL,20,10,0.03225421753247435,0.14000967964513306,-1.369088336990885,-2.203490027245344,-0.5346866467364259,31.0,0.002581694627532779,0.38915764694852156,False
PPFIA2,20,10,-0.10301864824354176,0.0022207762891262002,-1.3474014362921052,-2.179539865108224,-0.5152630074759865,35.0,0.00454510196108324,0.40624989237079195,False
SDE2,20,10,-1.9234114764488535,-1.5705462647680153,-1.3464703345569264,-2.1785122653102924,-0.5144284038035605,28.0,0.0016575750497255183,0.36422976811256946,False
MAPDA,20,10,-0.06934704408140085,0.07435650914576765,-1.3297868599969325,-2.16010916834428,-0.4994645516495849,26.0,0.0012225384873000072,0.36422976811256946,False
GNPDA1,20,10,-0.00290385446008913,0.12942974109783784,-1.3182690269857122,-2.1474146129853424,-0.48912344098608196,36.0,0.005212047135633487,0.40660825614698615,False
STPG4,20,10,0.0735533504610235,0.20739381907695464,-1.317795091141735,-2.1468924410286654,-0.4886977412548048,34.0,0.003956418121560182,0.3931441850736925,False
CDC73,20,10,-1.2354679057025417,-1.0174930401262192,-1.3085611350357844,-2.13672157832163,-0.48040069174993916,33.0,0.003437816753212987,0.38948055152483696,False
P2RX3,20,10,-0.15585189042197017,0.0949406420392093,-1.3015147283635244,-2.1289639453381666,-0.4740655113888822,34.0,0.003956418121560182,0.3931441850736925,False
METRN,20,10,-0.13044724235768995,0.00630263549390665,-1.287580968450313,-2.1136333129869076,-0.4615286239137186,32.0,0.0029818378302928876,0.38948055152483696,False
SIGLEC6,20,10,-0.0724731321436314,0.0885998854861733,-1.287316240907238,-2.1133421690617458,-0.46129031275273036,33.0,0.003437816753212987,0.38948055152483696,False
MAP1A,20,10,-0.060967300290898446,0.049971591639416904,-1.285034345974959,-2.1108327607864057,-0.45923593116351213,34.0,0.003956418121560182,0.3931441850736925,False
ZNF576,20,10,-0.0463834225990788,0.06174246176931865,-1.2836421847224475,-2.1093019634419714,-0.4579824060029235,36.0,0.005212047135633487,0.40660825614698615,False
TAF7L,20,10,-0.1249552504490466,0.0080042367620897,-1.272002657151169,-2.096508309671524,-0.44749700463081354,30.0,0.0022312287944869767,0.36747098673648015,False
CHDH,20,10,-0.016523126340796848,0.11421960987011115,-1.2700075816801342,-2.0943163051482094,-0.445698858212059,35.0,0.00454510196108324,0.40624989237079195,False
ZSCAN31,20,10,0.01922863260581845,0.0984831324471612,-1.2650606688280683,-2.088882225916815,-0.44123911173932173,32.0,0.0029818378302928876,0.38948055152483696,False
FBLN2,20,10,-0.06262715608116234,0.07188820905457236,-1.2643193770752177,-2.08806807163408,-0.44057068251635567,38.0,0.006817305503629308,0.4166005199241367,False
MLLT11,20,10,-0.061854381441976455,0.0680869182233194,-1.2636903586237456,-2.087377254585702,-0.44000346266178925,38.0,0.006817305503629308,0.4166005199241367,False
ELOVL4,20,10,0.00803069538502275,0.11041048922863725,-1.2585997469591055,-2.0817874718603644,-0.4354120220578468,41.0,0.010063001760911757,0.43026589500321494,False
CWC22,20,10,-1.4238942518752151,-1.0932886932159338,-1.2556773855956218,-2.078579326104899,-0.43277544508634447,29.0,0.0019248663744634584,0.36422976811256946,False
CEACAM1,20,10,0.0431950479269053,0.1657849607621445,-1.2489158975459858,-2.0711587851307915,-0.42667300996118007,37.0,0.005966197110912019,0.409732617806147,False
IFT88,20,10,-0.0010091139930738504,0.0897034216641034,-1.2437962226036086,-2.0655421053713487,-0.4220503398358685,41.0,0.010063001760911757,0.43026589500321494,False
NUP160,20,10,-1.1258108392313493,-0.8791162978079904,-1.2403555472928625,-2.061768397091562,-0.4189426974941626,34.0,0.003956418121560182,0.3931441850736925,False
ATE1,20,10,0.0331832544350625,0.2559963677908683,-1.2369813256894617,-2.058068340094285,-0.4158943112846384,35.0,0.00454510196108324,0.40624989237079195,False
TBCE,20,10,-0.5702846320628634,-0.3698771813652919,-1.2368922897536776,-2.05797071657724,-0.41581386293011535,33.0,0.003437816753212987,0.38948055152483696,False
ASB5,20,10,0.07305740375124925,0.2310681125898083,-1.2338079558054216,-2.054589222633775,-0.4130266889770682,31.0,0.002581694627532779,0.38915764694852156,False
COPB1,20,10,-2.353632782064359,-1.8090979752265226,-1.2331996102178666,-2.0539223409399114,-0.4124768794958218,34.0,0.003956418121560182,0.3931441850736925,False
STEAP2,20,10,-0.14153220902650246,-0.06894999983259295,-1.231694355691638,-2.052272354284007,-0.41111635709926897,33.0,0.003437816753212987,0.38948055152483696,False
