gene,n_mutant,n_wt,median_dep_mutant,median_dep_wt,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,fdr,significant
TP53,51,12,0.1025650837545552,0.5489917080754783,-1.9988183024497512,-2.7180201498658914,-1.279616455033611,44.0,4.713185224580475e-06,0.04191671279480645,True
USP28,51,12,0.0163908097085429,0.18394646926975328,-1.4694201505785534,-2.1485912226550177,-0.790249078502089,103.0,0.0003934197433007125,0.2257340959383798,False
ANAPC11,51,12,-2.10958821429494,-1.72237846672762,-1.4141666453070907,-2.0897521554362166,-0.7385811351779645,95.0,0.00022916374685083012,0.19842906665775495,False
KLHL35,51,12,0.0425970075370938,0.22162419837287928,-1.304095690756262,-1.9728959512528759,-0.6352954302596482,119.0,0.001096950375423119,0.2912157660843435,False
ZNF816,51,12,-0.0539040613605746,0.13579782314779235,-1.303056967012696,-1.9717954990026492,-0.6343184350227425,103.0,0.0003934197433007125,0.2257340959383798,False
POTEE,38,11,0.16731563696891955,0.2270753144060516,-1.2558612869674426,-1.9714994856915782,-0.540223088243307,90.0,0.004518989067388321,0.38010348594432863,False
ACSM2B,38,11,0.16066268443521442,0.2822507990280851,-1.247952175873409,-1.9630478231814852,-0.5328565285653326,91.0,0.004870157882381341,0.38731597321411876,False
ZNF407,51,12,-0.7103235136712852,-0.3881648191394203,-1.233705894921595,-1.898422071722469,-0.5689897181207214,103.0,0.0003934197433007125,0.2257340959383798,False
TP53BP1,51,12,-0.0962298726328311,0.09863458285204345,-1.2049251710309692,-1.86802983424499,-0.5418205078169485,116.0,0.000910178077473675,0.2912157660843435,False
LAMP3,51,12,-0.0139618575633147,0.13843036416118332,-1.1901010614910643,-1.8523890295575227,-0.5278130934246059,128.0,0.0018907860873834048,0.34317767486008793,False
S100A4,51,12,-0.0790244099883102,0.025243433170825252,-1.1695137619046758,-1.8306826623118242,-0.5083448614975274,148.0,0.005836978857999846,0.3939408039173586,False
ARHGAP35,51,12,0.1214919680207408,0.2704301613634979,-1.154323988451806,-1.8146785449359513,-0.4939694319676605,118.0,0.001031078076213176,0.2912157660843435,False
OOSP2,51,12,-0.0484458556547966,0.10798964858220134,-1.1535277517664462,-1.8138398870944084,-0.4932156164384841,124.0,0.0014886582701751597,0.3115148782541831,False
