gene,n_mutant,n_wt,median_dep_mutant,median_dep_wt,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,fdr,significant
TP53,53,18,0.1640451402504242,0.920830941414715,-2.5249316237627735,-3.2019561135567822,-1.8479071339687647,29.0,3.321921380242283e-09,5.908701559036948e-05,True
CDKN1A,53,18,0.1984551673748251,0.5877315528730905,-1.8534738274663667,-2.4689655368566297,-1.2379821180761037,130.0,4.652585604210775e-06,0.027585180047365685,True
USP28,53,18,0.0442668711078771,0.31410420100977476,-1.7429996214209278,-2.3496969105595054,-1.1363023322823502,139.0,8.161039237774542e-06,0.032832929720264865,True
ATM,53,18,-0.0524302433986201,0.139103620980872,-1.501152655252446,-2.090097900778816,-0.912207409726076,178.0,7.965635593019623e-05,0.1084905499023328,False
CHD8,53,18,-0.2455761689176975,0.049743003559592006,-1.4378322011449114,-2.02248772791173,-0.853176674378093,151.0,1.6903052569261394e-05,0.050109099341575404,False
TP53BP1,53,18,-0.0919713384033474,0.12116830359304576,-1.422302297242446,-2.0059292982316257,-0.8386752962532662,185.0,0.00011672280092346152,0.12839191512665443,False
NBN,53,18,-0.1343633341347824,0.0534067607998502,-1.3368465703722041,-1.9149831409838192,-0.7587099997605892,168.0,4.550161073084586e-05,0.1011671437586944,False
ATP10D,53,18,-0.0103569550398913,0.10783652531390564,-1.2652345642861627,-1.8389948972217134,-0.691474231350612,172.0,5.703907412586696e-05,0.10730763936524901,False
TRIR,53,18,-0.2469045719260388,0.0498838646730279,-1.2551036942593556,-1.8282617715361489,-0.6819456169825624,141.0,9.229473694345551e-06,0.032832929720264865,True
OR6S1,45,14,-0.0476587811115726,0.12696552867809646,-1.2466367918269348,-1.8872217505341136,-0.606051833119756,94.0,8.53920109424107e-05,0.1084905499023328,False
LRRC4,53,18,0.014222017918622,0.08846326119273021,-1.2340413165543291,-1.8059607953875267,-0.6621218377211314,188.0,0.00013714771391501853,0.12839191512665443,False
UBE2K,53,18,-0.214602655663838,0.06370038743858734,-1.2127085512603744,-1.7833922273714475,-0.6420248751493012,213.0,0.0004961651569553987,0.22755468053914035,False
RGS16,53,18,0.0037286607080402,0.08458896970297256,-1.2117301064888684,-1.7823575547723671,-0.6411026582053696,199.0,0.00024458561085059034,0.16732477923844039,False
THAP11,53,18,-0.5548520479024478,-0.23955366112988902,-1.2097930707110016,-1.7803093218145047,-0.6392768196074985,175.0,6.74561965696033e-05,0.1084905499023328,False
CDK14,53,18,0.1322166376239968,0.22497719256150478,-1.2055604332677181,-1.7758342501756124,-0.6352866163598238,194.0,0.00018849902106871411,0.14577530816300946,False
DDX39B,53,18,-0.58300227905872,-0.1823327463630372,-1.1992094601908663,-1.7691209121268847,-0.6292980082548477,157.0,2.410721473874116e-05,0.06125643265114129,False
CSNK2A2,53,18,-0.0666767760407481,0.10254459862290666,-1.1985368294104788,-1.7684100019565017,-0.6286636568644559,226.0,0.000929664077245612,0.24002692443004225,False
SLC13A1,53,18,0.079232788201879,0.18252861968466477,-1.1546093471007053,-1.7220237220926489,-0.5871949721087617,218.0,0.0006337796695033067,0.22755468053914035,False
MCM6,53,18,-1.1243714246347538,-0.728023123099766,-1.1511794916071731,-1.71840530857019,-0.5839536746441563,213.0,0.0004961651569553987,0.22755468053914035,False
RPL11,53,18,-2.5815552137655424,-2.0329626374853564,-1.122963883186335,-1.688657497979958,-0.5572702683927122,226.0,0.000929664077245612,0.24002692443004225,False
XKR9,53,18,-0.0095559320458826,0.0538371742053232,-1.1185484809581205,-1.684005395431313,-0.553091566484928,199.0,0.00024458561085059034,0.16732477923844039,False
CHEK2,53,18,0.1542665837738559,0.31677385368571187,-1.1161901681106405,-1.6815210000578826,-0.5508593361633985,223.0,0.0008062418415649732,0.24002692443004225,False
CD70,53,18,0.034546243458553,0.093731667023781,-1.0898492617710582,-1.6537880458194327,-0.5259104777226837,214.0,0.000521232658403186,0.22755468053914035,False
PDK1,53,18,0.0090946314322664,0.1069632126928455,-1.0774032488398835,-1.6406946891144347,-0.5141118085653321,256.0,0.0035629924080198576,0.2934025275993019,False
KRTAP22-2,45,14,0.0633965983752522,0.16327053434301694,-1.0693523885947722,-1.6994178460981042,-0.43928693109144024,157.0,0.005012287145488681,0.32069622826189625,False
CDKN2B,53,18,0.1365342801548957,0.33402869427418985,-1.066313392407786,-1.6290336720970198,-0.5035931127185524,223.0,0.0008062418415649732,0.24002692443004225,False
TMEM108,53,18,0.0650603020481723,0.1308929275311532,-1.0616792822726606,-1.624162471951981,-0.4991960925933403,181.0,9.392229860512996e-05,0.1113730616859631,False
OR13C5,45,14,0.2222653742363502,0.3839852392465884,-1.0585930246939759,-1.6880667167775827,-0.42911933261036894,161.0,0.006238532181339173,0.3328949519332015,False
WWOX,53,18,0.0449148423593382,0.12637086466629846,-1.0536614069104229,-1.6157365916156183,-0.4915862222052274,263.0,0.004773382526622273,0.31918855263545254,False
SMCP,53,18,0.1833564692814155,0.2726281325778626,-1.035593256797012,-1.596759282424838,-0.47442723116918617,240.0,0.0017723469550632118,0.25019631182309005,False
SIGLECL1,53,18,0.0142292261454376,0.10568049693563325,-1.0265268705226798,-1.5872420699611913,-0.4658116710841683,250.0,0.00275553818422358,0.28881643672798035,False
DPY30,53,18,-0.3332705528784008,-0.17084275269700516,-1.0105668452731196,-1.5704971992550147,-0.4506364912912244,216.0,0.000574947064687737,0.22755468053914035,False
SLC6A2,53,18,-0.0654156873642119,0.01861797177739315,-1.007141106160384,-1.5669044583268403,-0.4473777539939279,228.0,0.0010214344459253822,0.24002692443004225,False
UTP23,53,18,-0.9993580146596632,-0.8246149310041703,-1.0011011098023448,-1.5605712782170111,-0.44163094138767844,266.0,0.00539768988539856,0.32326164980331373,False
MRC2,53,18,-0.0268185896861608,0.06559350455015706,-0.9987476450542414,-1.5581040114598121,-0.43939127864867067,261.0,0.004394284330405189,0.31390014210810085,False
METTL14,53,18,-0.6827994723882264,-0.43273776904854294,-0.9959618030017277,-1.555183776123126,-0.43673982988032933,227.0,0.0009745494035628083,0.24002692443004225,False
MYLK3,53,18,0.0603884883086754,0.1713446102062782,-0.9957056036289911,-1.554915234530334,-0.4364959727276482,234.0,0.0013494514219938283,0.24002692443004225,False
CYBRD1,53,18,-0.0809969512511856,-0.0155662302642948,-0.9946432368610325,-1.5538017199882672,-0.4354847537337978,275.0,0.00773711332031054,0.34577898147830044,False
PPP1R8,53,18,-1.1798567769293165,-0.8318546948915988,-0.9944404290352141,-1.5535891536308233,-0.43529170443960497,229.0,0.00107039974000701,0.24002692443004225,False
ELL2,53,18,-0.0497666800505386,0.0425499991680892,-0.9885025847794334,-1.5473664042923478,-0.4296387652665191,255.0,0.0034149901196783524,0.29203090989768676,False
MAPK14,53,18,-0.1842062896723582,-0.05418658331449275,-0.9840747241922378,-1.5427271062217636,-0.425422342162712,260.0,0.0042151585953650325,0.31167545558797466,False
OR2AG1,45,14,-0.0043502459775531,0.0718776807354113,-0.9834280470075161,-1.608920135284154,-0.35793595873087825,178.0,0.0150125029468565,0.3857848843951582,False
FCGR3B,45,14,0.1511194816179077,0.3127884445850714,-0.979061176442583,-1.6043302069253316,-0.35379214595983444,132.0,0.0011472573477041416,0.24002692443004225,False
UBE2N,53,18,-1.204226014853286,-0.6895481653931128,-0.978701971202818,-1.537098963616244,-0.4203049787893921,210.0,0.00042754414830784796,0.22755468053914035,False
KLK2,53,18,0.0247496477907207,0.10899327934650299,-0.9758365568586059,-1.5340978682194155,-0.41757524549779634,250.0,0.00275553818422358,0.28881643672798035,False
DNAH14,53,18,0.0307905734116468,0.1096143809421542,-0.971652952670942,-1.5297168205353397,-0.4135890848065442,218.0,0.0006337796695033067,0.22755468053914035,False
CNNM4,53,18,-0.0773456998836572,0.0095015885027841,-0.9704664379573785,-1.5284744504786585,-0.4124584254360987,227.0,0.0009745494035628083,0.24002692443004225,False
ZNF439,53,18,0.0241718331211707,0.1288998551860433,-0.9689948751020223,-1.5269337006599413,-0.41105604954410335,236.0,0.0014787838676703132,0.24582363228272766,False
CTSG,53,18,-0.0232169989524786,0.062027051983391854,-0.967855548901807,-1.5257408741559095,-0.4099702236477045,232.0,0.0012306254308372625,0.24002692443004225,False
CSNK2A1,53,18,-0.1256368903883999,0.01841133337600615,-0.9653723850648112,-1.523141306654726,-0.4076034634748963,233.0,0.0012887749155327032,0.24002692443004225,False
SNRNP25,53,18,-1.6547343627682418,-1.2823299502156105,-0.9625308222598149,-1.520166876661249,-0.40489476785838074,228.0,0.0010214344459253822,0.24002692443004225,False
RFT1,53,18,-0.8313742529964879,-0.6581385682727205,-0.9615498494865113,-1.5191401186941789,-0.4039595802788438,236.0,0.0014787838676703132,0.24582363228272766,False
