gene,n_mutant,n_wt,median_dep_mutant,median_dep_wt,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,fdr,significant
TP53,34,22,0.1517777384566662,0.40934162323991113,-1.2655842017209087,-1.8508467532237902,-0.6803216502180273,143.0,0.00011018583045661145,0.42094880520129685,False
MT3,34,22,0.01046302211884155,0.104689856224715,-1.1283307183887552,-1.703884893880026,-0.5527765428974846,169.0,0.000601798737848948,0.535209707505962,False
OR1J4,31,20,-0.1115320231643141,-0.011664313577172049,-1.127445227139337,-1.7306562652512074,-0.5242341890274665,129.0,0.0004970649378150714,0.5224138946695271,False
SLC2A10,34,22,-0.036268139428459994,0.0765529260435032,-1.1168761482042437,-1.691663515908337,-0.5420887805001505,160.0,0.00034124637435887183,0.4900552787753508,False
CHEK2,34,22,0.15773295873651172,0.28786142416583294,-1.08618590585199,-1.6589524326874456,-0.5134193790165343,176.0,0.0009218005301261563,0.5417575603055361,False
SMYD1,34,22,-0.04728607698589215,0.0596689001053029,-1.080087077736902,-1.6524578917161978,-0.5077162637576061,145.0,0.00012636394864357688,0.42094880520129685,False
SPTB,34,22,-0.18151179120388836,-0.0757287289642886,-1.0652271323257945,-1.6366419820931974,-0.4938122825583916,167.0,0.000531503589794482,0.5252141306485807,False
ZC3H7B,34,22,-0.17839732041922063,-0.03479254160839955,-1.0650513583250556,-1.6364549700173097,-0.49364774663280153,162.0,0.0003878173121105939,0.4900552787753508,False
THPO,34,22,-0.043466945550577646,0.08560107310527035,-1.059434200292522,-1.6304795408812836,-0.48838885970376056,173.0,0.0007690613114421983,0.5417575603055361,False
PLA2G2A,34,22,0.026784029218516997,0.1195875411144757,-1.058954442838506,-1.6299692611770276,-0.4879396244999844,178.0,0.001038757047970966,0.5417575603055361,False
NRDE2,34,22,-1.199889831361681,-0.9789974683871718,-1.0176743198586051,-1.5861087620662266,-0.4492398776509836,182.0,0.0013149017001190327,0.5417575603055361,False
TDRD6,34,22,0.0031299221081146997,0.08857280004729726,-1.006421425258695,-1.5741682833665565,-0.4386745671508334,178.0,0.001038757047970966,0.5417575603055361,False
TMEM250,34,22,0.031106539257497998,0.13183411078584217,-1.0041284643888864,-1.5717360522991044,-0.43652087647866833,183.0,0.0013938050371297141,0.5417575603055361,False
COA5,34,22,-0.8101590625715218,-0.5032527679544487,-1.00233125962041,-1.5698298868853635,-0.4348326323554563,176.0,0.0009218005301261563,0.5417575603055361,False
SFXN5,34,22,-0.0224313927661673,0.07016102426905316,-0.9952596131003788,-1.5623311951380678,-0.4281880310626899,162.0,0.0003878173121105939,0.4900552787753508,False
EFR3A,34,22,-0.865061462399159,-0.49770500552133556,-0.9937547538314015,-1.560735808738622,-0.42677369892418093,182.0,0.0013149017001190327,0.5417575603055361,False
GFPT2,34,22,-0.08144852367212835,0.041018067302288894,-0.9626185079448545,-1.527754101522748,-0.3974829143669609,163.0,0.00041326975777985397,0.4900552787753508,False
CSNK2A2,34,22,0.0082011410210605,0.11867898778992915,-0.9497453770389641,-1.5141334252521121,-0.3853573288258161,182.0,0.0013149017001190327,0.5417575603055361,False
ARHGAP36,34,22,0.05315292083893955,0.16398346120013146,-0.9456937695070882,-1.5098484195860904,-0.38153911942808594,190.0,0.0020804896011811674,0.5465961779363782,False
NUP54,34,22,-0.8516093806230094,-0.595609398570087,-0.9376433413765384,-1.5013369133059573,-0.37394976944711944,187.0,0.0017550697608097355,0.5417575603055361,False
ADAMTS14,34,22,0.01576514304093995,0.1362964539043726,-0.9352743656417806,-1.49883293675393,-0.3717157945296312,193.0,0.002460433255158443,0.5835163507933764,False
ATP7A,34,22,-0.17379324492894815,-0.05996796915870095,-0.9347887940912344,-1.4983197321255495,-0.3712578560569192,197.0,0.0030658289640861573,0.5884165229582207,False
SLC18A1,34,22,0.05380523990876415,0.1522056656593971,-0.9320014459354958,-1.4953740120542731,-0.36862887981671855,184.0,0.0014770542709650752,0.5417575603055361,False
PPARD,34,22,-0.08851139964426061,0.044183062414101804,-0.9306048777454562,-1.493898254617543,-0.3673115008733694,186.0,0.001657458148493809,0.5417575603055361,False
VPS26A,34,22,-0.43245781455172266,-0.24818914342583745,-0.9272608154279443,-1.4903650123395948,-0.36415661851629355,192.0,0.0023272518017200027,0.5830257436224463,False
RORB,34,22,0.14209645935082504,0.21804367824484872,-0.92670938462653,-1.4897824453691204,-0.3636363238839395,196.0,0.0029029141215150805,0.5884165229582207,False
NOSIP,34,22,-0.22339062003121868,-0.11745257763674549,-0.9254931718196142,-1.4884976193223518,-0.3624887243168765,195.0,0.002747938005381398,0.5884165229582207,False
NLE1,34,22,-1.038096365426878,-0.8100572828902086,-0.9247205187400277,-1.4876814191101064,-0.36175961836994897,201.0,0.0038042492237996906,0.590543369233177,False
CNOT11,34,22,-0.4080531835102482,-0.13752429764935392,-0.9205511222088771,-1.4832776030063903,-0.35782464141136405,188.0,0.0018579418214784789,0.5417575603055361,False
H2AZ2,34,22,-0.2321737000199785,-0.08691263954692545,-0.9195106245512569,-1.4821787545464489,-0.35684249455606487,182.0,0.0013149017001190327,0.5417575603055361,False
OR7D2,31,20,-0.0233159871481423,0.09903358513620969,-0.9191862933485399,-1.5089414807209547,-0.3294311059761251,157.0,0.003259552705632427,0.5884165229582207,False
PDGFRL,34,22,-0.0111430833124871,0.07817832573690309,-0.9189181363814066,-1.4815530666009942,-0.3562832061618191,170.0,0.0006401049356077042,0.5417575603055361,False
POU2F2,34,22,-0.14124783996027715,0.0801146676104697,-0.9163376922177121,-1.4788282553240686,-0.35384712911135563,204.0,0.004460371583924748,0.590543369233177,False
S1PR3,34,22,-0.0468136488496437,0.04621475581648485,-0.9090654278532646,-1.4711511190025004,-0.3469797367040288,187.0,0.0017550697608097355,0.5417575603055361,False
SBK1,34,22,-0.25087219909687114,-0.1577351761531609,-0.9029388006786014,-1.4646856810600983,-0.34119192029710466,199.0,0.0034169221823896747,0.5884165229582207,False
CDH9,34,22,0.0748532971793127,0.17912521663151731,-0.9022995259898703,-1.4640111738950385,-0.3405878780847019,187.0,0.0017550697608097355,0.5417575603055361,False
NID2,34,22,0.046318835171072,0.15434313594867144,-0.8999502788931556,-1.461532647674584,-0.3383679101117272,191.0,0.0022007027344269326,0.5591985648178835,False
DNM1L,34,22,-0.7045167888676951,-0.38586498620610626,-0.8782260764399825,-1.438627553092224,-0.31782459978774114,200.0,0.0036058582674113704,0.5884165229582207,False
ALDH3A2,34,22,0.03235123685186845,0.11754201338699735,-0.8712243808003716,-1.4312508852363672,-0.311197876364376,203.0,0.004231068779520388,0.590543369233177,False
RCC1,34,22,-1.8771910497739426,-1.6097869035448227,-0.8686829186499097,-1.428573997147852,-0.30879184015196737,211.0,0.006407054266693032,0.590543369233177,False
OR7G2,31,20,-0.3158928195908905,-0.22429565774013985,-0.8629227503093857,-1.4494676849849526,-0.2763778156338188,184.0,0.015467900556279267,0.6584095034060327,False
TMEM125,34,22,-0.0102050228612374,0.08858118544342955,-0.8577953872639207,-1.4171104178152114,-0.29848035671262996,207.0,0.0052174263444059845,0.590543369233177,False
CEP83,34,22,0.011763189616250301,0.08532527815933955,-0.8575730226799656,-1.4168763577192212,-0.29826968764070994,172.0,0.0007236123503114343,0.5417575603055361,False
TIAM1,34,22,-0.0890340795746895,-0.030898692894663703,-0.8569374383736819,-1.416207359523427,-0.2976675172239367,213.0,0.00708899002035445,0.590543369233177,False
SRL,34,22,-1.817078601710001e-05,0.08983498896787925,-0.8523844483540018,-1.411415676362433,-0.29335322034557076,212.0,0.00674027438921319,0.590543369233177,False
NUP188,34,22,-0.3521928857640571,-0.17009396079781705,-0.8520606182056026,-1.4110749137968641,-0.29304632261434105,197.0,0.0030658289640861573,0.5884165229582207,False
ATOH8,34,22,-0.07160220924584275,0.0112727452308787,-0.8491859393646576,-1.4080501835281387,-0.29032169520117646,222.0,0.011033191658615764,0.6310205145716997,False
EXOSC2,34,22,-1.4016722447989949,-1.1743736040573363,-0.8490641698649762,-1.4079220682562594,-0.29020627147369293,206.0,0.004953065708034128,0.590543369233177,False
ZFAT,34,22,-0.41392396237348345,-0.1822280664307153,-0.8471605271588691,-1.4059193300126456,-0.2884017243050927,199.0,0.0034169221823896747,0.5884165229582207,False
