gene,n_mutant,n_wt,median_dep_mutant,median_dep_wt,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,fdr,significant
TP53,21,46,0.1387476886601236,1.008613496757115,-1.629152797744075,-2.2144086253686197,-1.0438969701195302,114.0,6.337454797457643e-07,0.005636215424118954,True
PELI1,21,46,-0.0193922145802388,0.0986506861939586,-1.475721223072216,-2.0491909670761688,-0.9022514790682636,130.0,1.8943179169937827e-06,0.006738846557913683,True
CHEK2,21,46,0.1435532622298932,0.3893034804573551,-1.354447647575636,-1.919273388713741,-0.7896219064375309,121.0,1.0289084435782053e-06,0.006100398161975179,True
GBP5,21,46,-0.1938602025062547,-0.0584184915837727,-1.2389204449175346,-1.7960911307879157,-0.6817497590471536,190.0,7.704050867956107e-05,0.09022122099754112,False
TP53BP1,21,46,-0.0640279630864492,0.1365802788860129,-1.2165108634109598,-1.7722641656412992,-0.6607575611806206,152.0,7.931225579934776e-06,0.017634088673787483,True
ELMO2,21,46,-0.6425257136139706,-0.27960930770402337,-1.1886439752274247,-1.7426659155146593,-0.6346220349401902,198.0,0.00012040657554801026,0.10708358796362293,False
LARP1,21,46,-0.389199262017927,-0.16342515995695384,-1.1387386746665074,-1.6897473902090305,-0.5877299591239842,197.0,0.00011393914579455039,0.1066650308551404,False
ZCCHC24,21,46,0.0135971809313666,0.11751911921856209,-1.1133183481893276,-1.6628358101041447,-0.5638008862745105,225.0,0.0005007304392765973,0.23438137693191674,False
USP28,21,46,-0.0141473059789472,0.26656551497902703,-1.1125542498305678,-1.6620273460807176,-0.5630811535804182,162.0,1.4784674339325281e-05,0.02629750024735788,True
HDHD2,21,46,0.1079839064605435,0.19309330102982575,-1.07138516755504,-1.6185077835187986,-0.5242625515912815,181.0,4.600079230214588e-05,0.06818467438985573,False
LEAP2,21,46,0.0039864007128256,0.06604184638166695,-1.0153229584765562,-1.5593720959181012,-0.47127382103501103,203.0,0.0001582726083643171,0.11729978687400452,False
FDXR,21,46,-0.907524766264965,-0.5045113349308152,-1.0061218235317981,-1.5496807057097086,-0.46256294135388765,234.0,0.0007830393436984169,0.2642828560271549,False
ZNRF4,21,46,-0.0340904685058477,0.04540744633607875,-1.0022638621510418,-1.5456183817223903,-0.4589093425796932,232.0,0.0007098311881700435,0.2642828560271549,False
POLR2L,21,46,-3.1796360767740532,-2.9194023065784496,-0.9933901861284388,-1.5362773433233023,-0.4505030289335753,221.0,0.0004086567724124173,0.21378758855587254,False
RMDN2,21,46,-0.0622581483289375,0.05097653110572225,-0.9924379060124812,-1.5352751312996649,-0.44960068072529746,214.0,0.0002844758890434032,0.17448181511775906,False
XIAP,21,46,-0.1016457593167479,0.04558071952129305,-0.9811178050056573,-1.52336479166039,-0.43887081835092434,250.0,0.0016753127996864837,0.3104040496669113,False
SRP9,21,46,-1.2392468389450508,-1.069159681915595,-0.9713040355012175,-1.5130442920317364,-0.42956377897069864,286.0,0.007909930444893293,0.470548270312097,False
ZNF560,21,46,-0.024542085854238,0.10513892217666901,-0.959544293677798,-1.5006834356584307,-0.4184051516971655,236.0,0.0008632049152351402,0.2642828560271549,False
PLPP7,21,46,-0.0508901629887501,0.04563297660447025,-0.9518741903488991,-1.4926248552942454,-0.4111235254035529,238.0,0.0009509249893595274,0.2642828560271549,False
ATOH8,21,46,-0.0831984270759245,0.0176677255218338,-0.9516754819462138,-1.4924161204044806,-0.41093484348794684,236.0,0.0008632049152351402,0.2642828560271549,False
PFKFB1,21,46,-0.0152960942283353,0.061648547572290754,-0.9478772832005882,-1.4884266378338114,-0.407327928567365,236.0,0.0008632049152351402,0.2642828560271549,False
ZNF318,21,46,-0.0869958297193704,0.00690422643094665,-0.9380606638192321,-1.4781188700528065,-0.3980024575856579,244.0,0.001266070213998932,0.2810216056667546,False
IL1A,21,46,-0.1072294434665374,-0.0111439457310916,-0.9250847596425421,-1.4645009238864175,-0.3856685953986667,250.0,0.0016753127996864837,0.3104040496669113,False
MASTL,21,46,-1.7917065320816,-1.4481932974307026,-0.9189646827477445,-1.4580808702062158,-0.3798484952892731,248.0,0.0015270263009616995,0.2952306175565842,False
FRAS1,21,46,0.0376512859235973,0.13617046166026475,-0.9188313913822854,-1.4579410658422942,-0.37972171692227663,256.0,0.002203267076574481,0.35953680267000276,False
CCSAP,21,46,-0.1431922785388975,-0.02385476943121265,-0.916110849404903,-1.4550877796621835,-0.3771339191476225,255.0,0.0021058310155163615,0.34681866919434745,False
GBP3,21,46,-0.1146273501219006,-0.040137770122174204,-0.9087916317378304,-1.4474132263953852,-0.37017003708027574,260.0,0.002635743108438346,0.3691493123605737,False
