gene,n_mutant,n_wt,median_dep_mutant,median_dep_wt,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,fdr,significant
KLHL22,16,23,-0.20856664133807526,-0.0507510317372412,-1.5147040916747978,-2.235887557690669,-0.7935206256589263,48.0,0.00010937337035899415,0.27791773408220416,False
TP53,16,23,0.1539356470045315,0.6189129048260158,-1.506424819655694,-2.2267537216288504,-0.7860959176825373,38.0,3.262595351767599e-05,0.27791773408220416,False
PF4V1,12,18,-0.0636227013891161,0.11106815829630275,-1.4585186386466238,-2.276891031186696,-0.6401462461065517,35.0,0.0021465459615176334,0.5404655496910499,False
NSUN2,16,23,-0.00814444323664355,0.0872449562948461,-1.4110023081047915,-2.1217506840917144,-0.7002539321178689,46.0,8.640545572865496e-05,0.27791773408220416,False
FBXO42,16,23,-0.217441225163276,0.0859031269221954,-1.3740699348220418,-2.0812456459310944,-0.666894223712989,59.0,0.0003783738961020232,0.46869933131934455,False
SPTBN5,16,23,-0.14992884610946455,-0.0836927226800526,-1.3022992148537127,-2.0027543557862355,-0.6018440739211898,65.0,0.000715907744304781,0.48153511767057433,False
ERAP2,16,23,-0.0036371500390452,0.0936089619944971,-1.2838876816899862,-1.9826668728911132,-0.5851084904888594,65.0,0.000715907744304781,0.48153511767057433,False
DNAH10,16,23,-0.2041549344783025,-0.0730985724316857,-1.2650034342215013,-1.9620843401106929,-0.5679225283323097,66.0,0.00079404753534807,0.48153511767057433,False
CD14,16,23,-0.032942220942102196,0.1433047058675093,-1.2531203651364151,-1.9491434218511592,-0.557097308421671,70.0,0.0011925610207513435,0.5404655496910499,False
HOXB4,16,23,-0.03326768697050775,0.0815406861892332,-1.230492037982464,-1.9245239359851187,-0.5364601399798092,66.0,0.00079404753534807,0.48153511767057433,False
PDE6C,16,23,-0.03666829451492345,0.1294846652915903,-1.2199183034590797,-1.913030287336297,-0.5268063195818625,74.0,0.0017693340531950148,0.5404655496910499,False
KRTAP1-4,16,22,0.050633963114047095,0.1660401583500008,-1.2072135018951415,-1.9060455066483235,-0.5083814971419595,62.0,0.0007916500877365511,0.48153511767057433,False
FAAP24,16,23,-0.5597062692437653,-0.3422940164455566,-1.1781624600763196,-1.8677077314206985,-0.4886171887319408,83.0,0.0041115096097671675,0.5404655496910499,False
OR10H3,12,18,0.016311205793482247,0.1086811334163111,-1.1701397056538958,-1.9583019743711394,-0.3819774369366523,48.0,0.01177435333282468,0.6015291817565817,False
NAA35,16,23,-0.6875431921196837,-0.5671572456024041,-1.1633195959467837,-1.851622618100269,-0.4750165737932982,79.0,0.0028479956727528928,0.5404655496910499,False
ZNF318,16,23,-0.11552834893595135,0.0026770297073152,-1.148452781963848,-1.8355251292985315,-0.4613804346291642,81.0,0.003427099924137737,0.5404655496910499,False
OR10G2,12,17,-0.1201270424429062,-0.032960925850753,-1.1472071156736015,-1.9429813831755378,-0.3514328481716651,45.0,0.012354205188817958,0.6015291817565817,False
TP53BP1,16,23,-0.1343804184405201,0.0126200137554039,-1.1442527133224492,-1.8309798510368436,-0.45752557560805474,75.0,0.0019490158368902848,0.5404655496910499,False
TAS2R8,16,23,0.09139263020533815,0.1961147478229697,-1.1396476608617405,-1.825997557987742,-0.45329776373573893,67.0,0.0008800418300004055,0.48153511767057433,False
ATF6,16,23,-0.14369879250853534,-0.0353260434458728,-1.121489641101136,-1.806364890692068,-0.436614391510204,60.0,0.0004216106876431952,0.46869933131934455,False
EMC7,16,23,-0.8013765887721249,-0.4001087884280128,-1.120048439251585,-1.8048075258273046,-0.4352893526758653,80.0,0.003125340388224098,0.5404655496910499,False
AP2M1,16,23,-1.1335175120826895,-0.6043165094744282,-1.1191960816438329,-1.8038865279612446,-0.43450563532642117,84.0,0.004498286221554514,0.5404655496910499,False
TSFM,16,23,-0.5155987513046717,-0.3476308135073527,-1.108953805667229,-1.7928229956575492,-0.4250846156769088,81.0,0.003427099924137737,0.5404655496910499,False
GP2,16,23,7.708015016864985e-05,0.1174225816614731,-1.1056334207011271,-1.7892377827081867,-0.4220290586940677,79.0,0.0028479956727528928,0.5404655496910499,False
HEYL,16,23,0.00812965971362715,0.1176852104021908,-1.0971278582217614,-1.7800569901636685,-0.4141987262798543,81.0,0.003427099924137737,0.5404655496910499,False
YLPM1,16,23,-0.24545915533302606,-0.0551986436484949,-1.0924128763345593,-1.7749696616598774,-0.40985609100924125,73.0,0.0016049957418663994,0.5404655496910499,False
SLC11A2,16,23,-0.12286262292179745,-0.0134526004644299,-1.0910712832620573,-1.773522377765866,-0.40862018875824846,83.0,0.0041115096097671675,0.5404655496910499,False
ZNF791,16,23,0.0018741099404400502,0.0598528744423381,-1.090725802564624,-1.773149698449749,-0.40830190667949906,83.0,0.0041115096097671675,0.5404655496910499,False
OTUD6B,16,23,-0.062043891626230904,0.1063587913570508,-1.090507918740647,-1.772914665183256,-0.4081011722980381,71.0,0.0013176787942463077,0.5404655496910499,False
OR10H2,12,18,-0.2866698453382724,-0.1352048449139222,-1.0896984457527066,-1.8704424187615794,-0.3089544727438337,44.0,0.007184494852222225,0.5568328810513418,False
PSMA8,16,23,-0.05783713226363195,0.114429038963884,-1.0869541090603743,-1.7690815613068875,-0.4048266568138609,77.0,0.0023595890255006776,0.5404655496910499,False
DLAT,16,23,-0.12532924677113944,0.031721301415189,-1.0867432288119219,-1.768854133028358,-0.4046323245954857,73.0,0.0016049957418663994,0.5404655496910499,False
TMEM186,16,23,-0.0702120429484259,0.067187040682204,-1.0842725642158528,-1.7661898017005648,-0.4023553267311408,65.0,0.000715907744304781,0.48153511767057433,False
CLMN,16,23,0.0819877512151609,0.1591288752377538,-1.0830928723306559,-1.7649177740285227,-0.4012679706327891,84.0,0.004498286221554514,0.5404655496910499,False
COL1A2,16,23,-0.0086821012053731,0.0882662612603205,-1.079108594524548,-1.7606222933348206,-0.3975948957142753,85.0,0.004917741081863071,0.5404655496910499,False
SUN3,16,23,-0.0302848443968215,0.1434346457549623,-1.0740165315068646,-1.7551339647734019,-0.3928990982403273,80.0,0.003125340388224098,0.5404655496910499,False
IDI1,16,23,-0.2383380089038989,-0.0313309426884907,-1.069097972963719,-1.749834204945313,-0.38836174098212484,85.0,0.004917741081863071,0.5404655496910499,False
