gene,n_mutant,n_wt,median_dep_mutant,median_dep_wt,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,fdr,significant
TP53,82,16,0.14512741297361595,0.8944429454643597,-2.416383403746725,-3.0499263311618936,-1.7828404763315568,158.0,1.736583964927174e-06,0.030888618984159642,True
USP28,82,16,0.09650918198212025,0.31912892722063774,-1.4669862818826924,-2.040673339850896,-0.8932992239144889,254.0,0.00011378209274210228,0.10524634491438836,False
TP53BP1,82,16,-0.18199213174918624,0.0894261167851351,-1.3522636345351644,-1.9203990144365102,-0.7841282546338186,249.0,9.33683330077849e-05,0.10524634491438836,False
CSNK2A2,82,16,-0.01059977134655445,0.21801184293782722,-1.3233543718511,-1.8901539861707408,-0.7565547575314592,220.0,2.8397307569888286e-05,0.06161843142013751,False
TMEM260,82,16,-0.0445092374813366,0.0689190033002912,-1.31308021616852,-1.8794113157661907,-0.7467491165708494,266.0,0.00018125216331887686,0.12883846123150902,False
GHR,82,16,0.13330236992221195,0.21797021367351826,-1.2948107791089396,-1.8603168467707611,-0.7293047114471182,230.0,4.316821771286334e-05,0.06398609070489168,False
CTF1,82,16,-0.0815910762888706,0.05788275061273811,-1.254382642974404,-1.8180999725621645,-0.6906653133866436,293.0,0.0004934471116208068,0.19504319498665093,False
RLIM,82,16,-0.08502919195082856,0.05621332099503725,-1.2453064834927843,-1.808629275067044,-0.6819836919185246,223.0,3.222893296314228e-05,0.06161843142013751,False
ATM,82,16,-0.0790878803634612,0.1836518146977303,-1.2171888268253608,-1.7793058264490482,-0.6550718272016732,273.0,0.00023643250439811045,0.1314195298665372,False
SFT2D2,82,16,-0.0862019161876443,0.09074370839836671,-1.1449700202060658,-1.704105097983914,-0.5858349424282174,217.0,2.5001323871931173e-05,0.06161843142013751,False
FICD,82,16,-0.0714441235977315,0.046472049752282,-1.1418714426399703,-1.70088231514144,-0.5828605701385007,227.0,3.810663662346167e-05,0.06161843142013751,False
ZNF267,82,16,0.14463221394338271,0.2512279302180041,-1.1349452050092865,-1.6936795599403731,-0.5762108500781998,290.0,0.0004428705993524177,0.19504319498665093,False
