gene,n_mutant,n_wt,median_dep_mutant,median_dep_wt,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,fdr,significant
TP53,41,17,0.1866605229648857,1.2029744380982244,-2.8551157458754925,-3.622978827892449,-2.087252663858536,22.0,2.5642030004663438e-08,0.00045609478769294856,True
CDKN1A,41,17,0.0984059863022725,0.4737516722972715,-1.9103286364792615,-2.574041246692885,-1.246616026265638,71.0,2.2251829787954586e-06,0.007801621280003006,True
TP53BP1,41,17,-0.1238293901466149,0.1557057579377571,-1.7573985306068962,-2.4069671993413304,-1.107829861872462,64.0,1.225965785238278e-06,0.006472922107916809,True
USP28,41,17,0.0838767477667984,0.2902221175479492,-1.6610311397687216,-2.302147513125856,-1.019914766411587,66.0,1.4556523546223217e-06,0.006472922107916809,True
SERPINA6,41,17,0.021698397010957,0.1292989554107383,-1.3321448115469547,-1.9473117033368974,-0.7169779197570121,137.0,0.00031289785321676186,0.1504193004099066,False
GFI1,41,17,-0.0407161121432855,0.0343117607248018,-1.2968455258927567,-1.9095094538796347,-0.6841815979058787,121.0,0.00010544910244109884,0.09871700974314869,False
SLC7A6OS,41,17,-1.2920343896687745,-1.0410937572231331,-1.274829054734919,-1.8859608620218424,-0.6636972474479956,127.0,0.00015987633843885936,0.12926001962781777,False
L3MBTL1,41,17,-0.164686382018956,-0.0690538177544676,-1.2633575012349987,-1.8736999038990239,-0.6530150985709736,135.0,0.0002741820004239585,0.14778409822851363,False
OR2K2,34,14,-0.043387732032941,0.05108165655236245,-1.229905678694888,-1.8991617615521617,-0.5606495958376146,87.0,0.0006408663094644387,0.16258984820398958,False
ZNF234,41,17,0.0556356704800338,0.1615626585675512,-1.2081007188078354,-1.8147269334466762,-0.6014745041689946,132.0,0.00022443677495331615,0.14229089142554932,False
DEF6,41,17,0.0418967767786706,0.1677215133343329,-1.198029150183656,-1.8039935443871655,-0.5920647559801464,130.0,0.00019612391736427092,0.1341713891599341,False
CCL5,41,17,-0.1285733585781167,-0.0444464205883215,-1.1693937924406412,-1.7735029261459951,-0.5652846587352872,141.0,0.0004061556065536112,0.1622230657404227,False
CHGA,41,17,0.0091229302048296,0.0968183097164613,-1.1679824062604143,-1.7720011126210546,-0.5639636998997739,157.0,0.0011034324988553922,0.17523887372447197,False
SPINK9,41,17,0.0644264992032137,0.1806831848578167,-1.1579927412369928,-1.7613741489807992,-0.5546113334931865,163.0,0.0015763965926472345,0.1920504533795641,False
IGF2BP1,41,17,-0.0200516533105659,0.1027419952801696,-1.1516838827318825,-1.7546652884253495,-0.5487024770384155,166.0,0.0018772674845600776,0.1963696136346826,False
CHN2,41,17,0.0312083525840967,0.1406832281517036,-1.1463790694683604,-1.7490256200716714,-0.5437325188650496,147.0,0.0005957165165021559,0.16258984820398958,False
SLC46A3,41,17,-0.105959135665815,-0.0099652635458485,-1.1352851059526516,-1.7372357758539245,-0.5333344360513788,137.0,0.00031289785321676186,0.1504193004099066,False
LARP4B,41,17,-0.0558663957926271,0.0497915609990273,-1.1122283902676,-1.7127519346458429,-0.5117048458893573,168.0,0.0021062445175885373,0.1963696136346826,False
CCL8,41,17,0.081840120732985,0.163696234844422,-1.1121931084525483,-1.7127144888821788,-0.5116717280229178,145.0,0.0005248901071252924,0.16258984820398958,False
BBIP1,41,17,0.0447726709969075,0.142068113910989,-1.0984883399015377,-1.6981737709553022,-0.49880290884777323,157.0,0.0011034324988553922,0.17523887372447197,False
CDC16,41,17,-2.5968058412027064,-2.186297869163347,-1.0979740726209035,-1.6976283141567108,-0.49831983108509625,158.0,0.0011718236915935353,0.17814724788354028,False
OR2L2,34,14,-0.03468280961743275,0.0919770227530115,-1.093517443535432,-1.7532320680781406,-0.43380281899272344,106.0,0.0028568402191827954,0.21531617363815417,False
KCNH3,41,17,-0.1179400051175759,-0.0159508326356026,-1.0870457236420028,-1.6860402504487644,-0.48805119683524123,146.0,0.0005592599215406135,0.16258984820398958,False
CALR3,41,17,-0.1151166001650432,-0.0082103267296373,-1.0832003331586273,-1.6819641223388628,-0.48443654397839186,127.0,0.00015987633843885936,0.12926001962781777,False
NDST3,41,17,0.0658357362663366,0.1718817307794525,-1.083089357144071,-1.6818464981754193,-0.4843322161127225,144.0,0.0004924970793266332,0.1622230657404227,False
POLR2K,34,14,-1.1835680997485774,-0.9988857557803608,-1.082166370125148,-1.7411315867194521,-0.423201153530844,98.0,0.0015551227385843336,0.1920504533795641,False
TLCD4,41,17,-0.1165655505718579,-0.0547740845498383,-1.078694980461208,-1.6771893595624627,-0.48020060135995324,147.0,0.0005957165165021559,0.16258984820398958,False
LRRTM4,41,17,0.0335383403428545,0.1346020600251086,-1.0767312546999621,-1.6751085209332373,-0.47835398846668686,160.0,0.0013205025397132102,0.18766433432458784,False
FSBP,41,17,0.0201127994606457,0.1149143627820452,-1.0745217636462332,-1.6727674878341827,-0.47627603945828356,135.0,0.0002741820004239585,0.14778409822851363,False
HPGDS,41,17,-0.0673819985243206,0.0890327902549084,-1.065990899003381,-1.6637310046269393,-0.4682507933798228,156.0,0.0010387487380947866,0.17523887372447197,False
TRIQK,41,17,0.1564805151316522,0.2910552911314759,-1.0607025041464964,-1.658130980829854,-0.4632740274631386,167.0,0.0019887332981679204,0.1963696136346826,False
FSCB,41,17,-0.0685808050924571,0.0602656755196275,-1.0590948769260913,-1.656428896138432,-0.46176085771375064,158.0,0.0011718236915935353,0.17814724788354028,False
KCNN3,41,17,0.0311401365681106,0.1241760124163403,-1.0587187631288002,-1.6560307019897191,-0.46140682426788115,142.0,0.00043322722682765367,0.1622230657404227,False
ICAM4,41,17,-0.0340757730500652,0.0763460463532201,-1.0581378989873453,-1.655415751112609,-0.4608600468620815,152.0,0.000813543401931471,0.16258984820398958,False
YLPM1,41,17,-0.1178400027198975,0.0662612655959304,-1.0540797308897265,-1.651119906155296,-0.4570395556241571,152.0,0.000813543401931471,0.16258984820398958,False
FBXW10B,34,14,-0.076784232283127,0.0186949075112945,-1.0497951114725785,-1.7066615643186134,-0.3929286586265437,96.0,0.0013293813529486743,0.18766433432458784,False
SPINT3,41,17,0.0778344042786927,0.1899552799548469,-1.0447095442872345,-1.641204061936468,-0.44821502663800084,153.0,0.0008651503677941717,0.16546698485973046,False
FIBP,41,17,-0.1558464501962723,0.0184223437519761,-1.0414947682293763,-1.637803086986016,-0.44518644947273645,168.0,0.0021062445175885373,0.1963696136346826,False
WTAP,41,17,-0.8318392106695588,-0.653246388578174,-1.03909922201878,-1.6352691269000168,-0.44292931713754313,153.0,0.0008651503677941717,0.16546698485973046,False
ST8SIA6,41,17,-0.0101989032933244,0.0635918013832026,-1.0377321169011295,-1.633823159378389,-0.44164107442387013,174.0,0.00295545855788882,0.2153847512862985,False
SFTPC,41,17,-0.007750544013012,0.0773924998514434,-1.0342677962050792,-1.630159415300976,-0.43837617710918253,143.0,0.0004619760502230116,0.1622230657404227,False
LGALS16,41,17,0.040226076669819,0.1141628827177152,-1.0283752171559253,-1.623929009893976,-0.4328214244178745,121.0,0.00010544910244109884,0.09871700974314869,False
DNAJC5B,41,17,-0.0196469287476496,0.0417964271941408,-1.018035220224633,-1.6130004200658772,-0.4230700203833887,167.0,0.0019887332981679204,0.1963696136346826,False
LSM6,41,17,-0.9160256679586044,-0.6894092376668792,-1.0142096752389254,-1.6089584712332128,-0.4194608792446378,161.0,0.0014011990141444381,0.19025287682890932,False
RFX8,41,17,-0.0849637087180971,-0.0199606059637932,-1.0131145501804741,-1.6078015325628252,-0.4184275677981232,178.0,0.0036842393055694076,0.2244231661923392,False
TRMO,41,17,0.0383364104984187,0.1119697660819543,-1.0120227681359166,-1.606648185690302,-0.41739735058153127,162.0,0.0014864211800676079,0.1920504533795641,False
ZNF560,41,17,0.0472005734265632,0.1730954847103354,-1.009792604436511,-1.6042924511439896,-0.4152927577290326,145.0,0.0005248901071252924,0.16258984820398958,False
RUVBL1,41,17,-2.49702193799075,-2.0749330071210403,-1.0063153287933637,-1.6006198851952975,-0.4120107723914299,174.0,0.00295545855788882,0.2153847512862985,False
FRMD3,41,17,0.1002640624190161,0.1994510628601514,-1.0033949154969881,-1.5975359271287737,-0.40925390386520255,170.0,0.002360582034508673,0.1999412983228846,False
ATM,41,17,-0.0411171159229075,0.1044939214649168,-1.002263037185163,-1.5963407787347466,-0.4081852956355795,171.0,0.002498027968569455,0.20196556125884044,False
SLC27A2,41,17,-0.0818351497163448,-0.0014913817058725,-1.0003977869534284,-1.594371405308957,-0.40642416859789976,163.0,0.0015763965926472345,0.1920504533795641,False
MCHR2,41,17,0.1132256974870302,0.1594868912286742,-0.9996640687622428,-1.5935967771901238,-0.40573136033436175,178.0,0.0036842393055694076,0.2244231661923392,False
RGS8,41,17,0.0160432539463286,0.0799148796643422,-0.9991076282885072,-1.5930093293990675,-0.4052059271779469,175.0,0.0031241505499446233,0.2153847512862985,False
