gene,n_mutant,n_wt,median_dep_mutant,median_dep_wt,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,fdr,significant
TP53,795,391,0.1268842699343954,0.705338912600056,-1.560566794375725,-1.6969515850640648,-1.4241820036873853,42038.0,6.29369784237134e-93,1.1602431972411565e-88,True
TP53BP1,795,391,-0.1315279010372287,0.0796509455126964,-1.11031699934224,-1.2393644900688285,-0.9812695086156514,70192.0,2.5847758584585423e-53,9.530068590136646e-50,True
HIPK2,30,15,-0.09505147937768721,0.0926167771395056,-1.0607721430010613,-1.7181717598182509,-0.40337252618387165,93.0,0.0015447221131489896,0.01052752390236659,True
CHEK2,795,391,0.1478379525556981,0.2936578408814484,-0.9727081913626904,-1.0999443362576764,-0.8454720464677044,74515.0,3.2135673548570663e-48,9.873685697798337e-45,True
USP28,795,391,0.0700238084239709,0.2188420172700969,-0.9497919320350042,-1.0767473846867588,-0.8228364793832497,84886.0,4.549455201250091e-37,1.0483650829380679e-33,True
CDKN1A,795,391,0.1500526836800702,0.3137550985819192,-0.930858953360016,-1.0575870972167543,-0.8041308095032778,85973.0,5.485735617887103e-36,1.0112953611574874e-32,True
ZNF487,30,15,-0.34333190284956283,-0.2218517664481049,-0.8642751084031489,-1.5092780326137083,-0.21927218419258954,124.0,0.015530939519615615,0.059413336801019685,False
CLASP2,30,15,-0.3366240180761799,-0.1549850566425968,-0.8395201009929899,-1.4831259717124432,-0.19591423027353672,117.0,0.00964521032903999,0.04182767640928069,True
ATM,795,391,-0.0755629541504074,0.0726008952620196,-0.8350154809245807,-0.9606575348482387,-0.7093734270009227,87180.0,8.326153195563597e-35,1.395387583274681e-31,True
GVQW3,30,15,-0.09675849972121,0.0724574524768585,-0.8269918468898867,-1.469905031570637,-0.1840786622091365,115.0,0.00837785009153839,0.03764213171764812,True
DNA2,30,15,-3.124970453221506,-2.8170034326718634,-0.8212825722202437,-1.4638833019962023,-0.1786818424442851,129.0,0.021483949671109667,0.0745363294225862,False
ALDH3B1,30,15,-0.1410822654538596,-0.0383649611020055,-0.817392511490798,-1.4597815010998394,-0.1750035218817565,146.0,0.0587502177085838,0.15493138738875245,False
OTOGL,30,15,-0.2903906405903766,-0.1424997516564869,-0.7943858275580606,-1.43554170677218,-0.1532299483439412,121.0,0.012703062994333337,0.051059200286851646,False
GTPBP6,30,15,-0.05788632294696395,0.0638504648934887,-0.7865887811691291,-1.427334216211723,-0.14584334612653516,119.0,0.011080762823695417,0.0461844591125537,True
RPL34,30,15,-2.5353434870930838,-2.222607037766025,-0.7225885928198235,-1.3601088469687446,-0.08506833867090235,127.0,0.018898648730049213,0.06814514292851126,False
PADI6,30,15,-0.0157328126874617,0.0313088625622898,-0.6904905402432039,-1.3264906215984376,-0.05449045888797022,127.0,0.018898648730049213,0.06814514292851126,False
KIF5C,30,15,-0.060926315727007296,0.1004451173642068,-0.6557947327003391,-1.2902254751355016,-0.021363990265176547,157.0,0.1041180298478891,0.23290229466113133,False
XPO7,795,391,-0.0260267468826278,0.0644205087275387,-0.6475516914848085,-0.7713895746367623,-0.5237138083328547,105986.0,4.864358449554295e-19,3.736435334063893e-16,True
C2orf81,30,15,-0.5474801412136421,-0.4074138666466687,-0.6438319312519138,-1.277739470863168,-0.009924391640659613,146.0,0.0587502177085838,0.15493138738875245,False
MRLN,30,15,-0.1307365149488518,-0.0443206103210252,-0.6413930105294565,-1.275195011683171,-0.007591009375742197,139.0,0.0395327561018809,0.1162153338762836,False
DNAH17,30,15,-0.24783488050410302,-0.159068038030767,-0.6382017890402807,-1.2718662762933257,-0.004537301787235659,145.0,0.055602900256860405,0.14890198780148123,False
ZNF318,795,391,-0.120781150675929,-0.0461887527705958,-0.6314881627775383,-0.7551916275124135,-0.507784698042663,102088.0,6.6940234073960905e-22,6.494964290281417e-19,True
COL6A5,30,15,-0.12313686957046749,-0.0269586492547664,-0.628980455695739,-1.2622512732073452,0.004290361815867172,132.0,0.02593803338439194,0.08581616034480714,False
POLDIP2,30,15,-0.1546269339498168,-0.0596165630269397,-0.6220001611873257,-1.2549766317953972,0.010976309420745789,141.0,0.0443842443515461,0.1265447558634166,False
ZAN,30,15,-0.08615948738457,-0.0117829047097095,-0.5916656412914721,-1.223399604992375,0.04006832240943059,164.0,0.14520781997749269,0.2941978416622791,False
TEX13C,30,15,0.0109775075469547,0.0996631803510837,-0.57908220604591,-1.210318291435835,0.05215387934401505,134.0,0.029332861231653226,0.09378274311576955,False
PAPOLB,30,15,-0.10379024257972895,-0.0704242120505924,-0.5741561808049475,-1.2052001722533592,0.056887810643464154,148.0,0.06548925893710937,0.16763322528542227,False
CECR2,30,15,-0.6279260631945508,-0.4084368810043276,-0.5708604920109821,-1.2017768495802166,0.060055865558252375,138.0,0.03728083415358669,0.11162452129630837,False
MDFIC2,30,15,0.08547252964978144,0.1399443304285491,-0.5657694192960641,-1.196490006182578,0.06495116759044994,168.0,0.17371598569120617,0.3322392567919271,False
CRYBG3,30,15,-0.11131202714263319,-0.0416978991010077,-0.5647212347590499,-1.1954017252623568,0.0659592557442571,165.0,0.15197456890766914,0.3037349498929836,False
HIGD2B,30,15,-0.1719544041906979,-0.1007273076265702,-0.5636542717217408,-1.1942940212580684,0.06698547781458675,161.0,0.1262891534009126,0.2664386064254777,False
ASMTL,30,15,0.03189079052692075,0.1057980181099669,-0.560486375814577,-1.1910056008359562,0.0700328492068022,154.0,0.08961340575447116,0.20986066248522306,False
RPRD2,795,391,-0.2401071798860732,-0.1282448127289318,-0.5520735556382792,-0.6751602194505175,-0.4289868918260409,108242.0,1.762498835933393e-17,1.1204022772562792e-14,True
C2orf74,30,15,-0.11685070670616635,-0.0077806481130387,-0.5509250716392484,-1.1810845131382819,0.07923436985978505,162.0,0.13236954681110125,0.27535912835281556,False
C20orf204,30,15,-0.0288024436264511,-0.0218801323717186,-0.5485192581352962,-1.178589113808186,0.08155059753759375,190.0,0.40616438071332583,0.582469106063801,False
