gene,n_mutant,n_wt,median_dep_mutant,median_dep_wt,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,fdr,significant
DCP1B,10,19,0.0109059845925496,0.1510529867762303,-1.6933447061825746,-2.574391118521473,-0.812298293843676,20.0,0.0006301489831560075,0.9903312655330845,False
SEC24B,10,19,-0.127662217534014,0.0222281016573395,-1.5517361151358906,-2.41533734241969,-0.6881348878520912,26.0,0.0016722837999080791,0.9903312655330845,False
NKAIN4,10,19,-0.014361755960257199,0.1054132130266002,-1.52782369074004,-2.388596464970763,-0.6670509165093168,24.0,0.0012174423114467972,0.9903312655330845,False
ZNF565,10,19,0.00552811782627005,0.1322505348418722,-1.4792327716604246,-2.3343656448828796,-0.6240998984379693,18.0,0.00044800436265626196,0.9903312655330845,False
PRMT2,10,19,-0.16820163042978664,-0.0398601362252309,-1.4712643004585375,-2.3254861992757845,-0.6170424016412906,24.0,0.0012174423114467972,0.9903312655330845,False
NEUROD6,10,19,0.0397525527171149,0.1433885735790253,-1.444888110555441,-2.2961229093102875,-0.5936533118005944,21.0,0.0007451308631173339,0.9903312655330845,False
GZMM,10,19,-0.13140229018740662,-0.0028610277326537,-1.4087921498224167,-2.2560101632710783,-0.5615741363737553,32.0,0.004134717305500611,0.9903312655330845,False
SLC8A3,10,19,0.0024371628247516503,0.1387112418329333,-1.407424867526589,-2.2544923569226265,-0.5603573781305516,26.0,0.0016722837999080791,0.9903312655330845,False
HLA-DRB1,10,19,0.0234862386867822,0.2043027005097629,-1.3844834726144988,-2.2290432105108815,-0.5399237347181162,29.0,0.002652787930896311,0.9903312655330845,False
MRI1,10,19,-0.0896180332801185,0.044040020869892,-1.384088655796799,-2.228605531901057,-0.5395717796925412,32.0,0.004134717305500611,0.9903312655330845,False
FNDC10,10,19,-0.3038859934120934,-0.0633903154777601,-1.3799291363236577,-2.223995060941068,-0.5358632117062472,29.0,0.002652787930896311,0.9903312655330845,False
VIPR2,10,19,-0.15068207666991015,0.1138617681865684,-1.3778355076104194,-2.221674875492035,-0.5339961397288038,31.0,0.0035731047801721835,0.9903312655330845,False
SRGAP1,10,19,-0.022468640883268248,0.1523059340945607,-1.3699167745577834,-2.2129018007571934,-0.5269317483583735,27.0,0.001954157580624582,0.9903312655330845,False
IRGM,10,19,0.0381974083713151,0.115693801766866,-1.36417355349591,-2.206541493671602,-0.5218056133202181,22.0,0.0008793514018353313,0.9903312655330845,False
FAM53C,10,19,-0.1147531856749867,0.0409683487891335,-1.350366937968045,-2.1912601898488067,-0.5094736860872834,28.0,0.002279064820939252,0.9903312655330845,False
DUSP6,10,19,-0.004144270804153,0.0797237579287944,-1.3499907540496303,-2.1908439995576003,-0.5091375085416601,30.0,0.0030817573917858174,0.9903312655330845,False
G6PD,10,19,-0.1755144665075026,-0.0196605500666503,-1.3343851782481266,-2.173586964685775,-0.4951833918104783,33.0,0.004775293469117362,0.9903312655330845,False
BCOR,10,19,-0.07785374556232685,0.0830441426751601,-1.311075076267551,-2.1478399036068354,-0.47431024892826656,23.0,0.0010357001492045182,0.9903312655330845,False
ARID4A,10,19,-0.07166531324734625,0.0430517503868654,-1.30665625632347,-2.1429631685238144,-0.47034934412312546,27.0,0.001954157580624582,0.9903312655330845,False
UFC1,10,19,-0.45040412461207346,-0.2791352732944157,-1.3044942999194085,-2.14057764424136,-0.46841095559745693,34.0,0.005504399380444529,0.9903312655330845,False
PRG4,10,19,-0.20506364151041312,-0.1050815427506053,-1.2828219944498453,-2.1166814081192866,-0.4489625807804043,30.0,0.0030817573917858174,0.9903312655330845,False
CDKN2B,10,19,0.038672446892387205,0.2389611445030571,-1.2667392208906407,-2.0989686014120554,-0.434509840369226,35.0,0.006332525190874059,0.9903312655330845,False
ATAD3C,10,19,0.0009316048494608,0.2172045291921912,-1.2653703250120438,-2.0974617674942886,-0.43327888252979885,29.0,0.002652787930896311,0.9903312655330845,False
ZFP62,10,19,0.04093147047993255,0.1533519139558715,-1.2522937725777072,-2.0830739197089914,-0.42151362544642335,32.0,0.004134717305500611,0.9903312655330845,False
CMKLR2,10,19,0.0210025551290876,0.1406319339808614,-1.2443420266035772,-2.0743304443503137,-0.41435360885684047,29.0,0.002652787930896311,0.9903312655330845,False
CFAP61,10,19,-0.0094690240193923,0.079980247459843,-1.2441670094396693,-2.0741380495553954,-0.4141959693239431,29.0,0.002652787930896311,0.9903312655330845,False
EIF3F,10,19,-1.3902795411764706,-1.099273288213121,-1.239437010601074,-2.068939192719862,-0.4099348284822857,37.0,0.008332751739180274,0.9903312655330845,False
CLDN6,10,19,-0.35010851619873684,-0.2456038049871974,-1.2264089235395899,-2.054627583468563,-0.3981902636106168,29.0,0.002652787930896311,0.9903312655330845,False
CAPZB,10,19,-1.6370494776750673,-1.218399474760022,-1.2260740932090726,-2.05425991847296,-0.39788826794518506,39.0,0.010880464566880379,0.9903312655330845,False
PPP2R1B,10,19,-0.0287653006638334,0.0973679115121427,-1.2206797310581603,-2.04833762282419,-0.3930218392921304,33.0,0.004775293469117362,0.9903312655330845,False
THAP11,10,19,-0.5778637348258302,-0.4404473544294256,-1.2127266013228517,-2.0396097756387217,-0.3858434270069815,39.0,0.010880464566880379,0.9903312655330845,False
NRDE2,10,19,-1.3550321338556688,-1.1811136337184682,-1.2045553679558676,-2.0306471043543586,-0.3784636315573766,36.0,0.007271141028600631,0.9903312655330845,False
MSANTD4,10,19,0.027774269008187247,0.1207721123168445,-1.1999833064982122,-2.0256342144282833,-0.37433239856814127,34.0,0.005504399380444529,0.9903312655330845,False
CACNG4,10,19,-0.1312109950829696,-0.0505616899290861,-1.1992788348156793,-2.0248619472559923,-0.3736957223753661,37.0,0.008332751739180274,0.9903312655330845,False
ANKRD28,10,19,0.03910242479736405,0.131875326277593,-1.1992247155942801,-2.0248026212373396,-0.3736468099512207,39.0,0.010880464566880379,0.9903312655330845,False
NAA50,10,19,-1.7658861821043068,-1.5077984258605652,-1.1945683127186806,-2.0196989842436195,-0.36943764119374156,32.0,0.004134717305500611,0.9903312655330845,False
TMEM43,10,19,0.044736346606564545,0.1044812317776045,-1.1945072185042382,-2.01963203206153,-0.3693824049469465,31.0,0.0035731047801721835,0.9903312655330845,False
DDX25,10,19,-0.00768011073151165,0.132092189572035,-1.1924025794511008,-2.0173257490348915,-0.3674794098673104,36.0,0.007271141028600631,0.9903312655330845,False
ZUP1,10,19,-0.05288646972585435,0.0309115958975323,-1.1916806370774793,-2.01653470844702,-0.36682656570793826,38.0,0.009530949658338407,0.9903312655330845,False
MLST8,10,19,-1.1742303821901405,-0.7348718493692764,-1.1823764541261108,-2.006343238499918,-0.3584096697523037,43.0,0.018128547206514103,0.9903312655330845,False
RCAN3,10,19,0.027469941340137898,0.1254129292801319,-1.1667459775624278,-1.9892357099035642,-0.3442562452212914,48.0,0.032878297013652635,0.9903312655330845,False
RHD,10,19,-0.008396552189067501,0.1772573023911138,-1.166214858393756,-1.9886546999537456,-0.3437750168337662,38.0,0.009530949658338407,0.9903312655330845,False
AADACL3,10,19,0.0057369653097421505,0.1209499416304273,-1.1653556949808856,-1.987714872553466,-0.3429965174083055,31.0,0.0035731047801721835,0.9903312655330845,False
NR2C2,10,19,-0.15164588785944721,0.0208203876057994,-1.159835438073903,-1.9816775673073996,-0.3379933088404067,36.0,0.007271141028600631,0.9903312655330845,False
B4GALT1,10,19,-0.03065144548276685,0.0881603388186959,-1.1593413066749816,-1.981137257571041,-0.3375453557789221,41.0,0.014098324247200755,0.9903312655330845,False
APRT,10,19,-0.302696287137844,-0.1804637183701086,-1.1585674568690096,-1.9802911230769111,-0.33684379066110803,38.0,0.009530949658338407,0.9903312655330845,False
MICAL1,10,19,-0.0665943640044718,0.0348071948393668,-1.1571694161816095,-1.9787625987979234,-0.33557623356529553,35.0,0.006332525190874059,0.9903312655330845,False
PMS1,10,19,0.013908172755109052,0.1112471443303107,-1.1529549980617089,-1.9741556640033164,-0.3317543321201012,37.0,0.008332751739180274,0.9903312655330845,False
