drug_id,drug_name,n_group1,n_group2,median_group1,median_group2,cohens_d,mannwhitney_U,pvalue,fdr
BRD:BRD-K00003406-001-01-9,milademetan,600,288,-0.1588,-2.8223,1.8972,146230.0,9.09177572865396e-63,6.1733157197560385e-59
BRD:BRD-K62627508-001-01-5,,403,159,0.257,-2.0707,2.1245,56323.0,1.438066384651582e-44,4.882235375892121e-41
BRD:BRD-A78210457-001-01-5,,347,125,0.1612,-1.607,2.5094,39917.0,3.554261382943412e-44,8.044478263395257e-41
BRD:BRD-K64925568-001-01-8,,401,158,-0.6777,-2.6332,1.965,55133.0,2.3264295628345804e-42,3.9491141829117004e-39
BRD:BRD-K79584249-001-01-3,,399,157,0.313,-1.8801,1.9979,54272.0,2.729636268363165e-41,3.7068460524371787e-38
BRD:BRD-A16035238-001-01-7,,348,125,0.1554,-2.1737,2.5006,38821.0,9.082653510960585e-39,1.0278536223237062e-35
BRD:BRD-A12230535-001-06-7,,387,154,0.0509,-0.6293,1.0892,45697.0,3.339705524326385e-22,3.2395143585965936e-19
BRD:BRD-K00004617-001-01-9,imidazoacridinone,597,286,-0.3509,-0.8307,0.5778,113418.0,2.6131520180324526e-15,2.2179127753050444e-12
BRD:BRD-K17472821-001-01-2,GSK2830371,599,287,-0.071,-0.2619,0.4653,109853.0,2.0352764601521524e-11,1.535503018270346e-08
BRD:BRD-K97152684-001-03-9,PD-161570,599,287,-1.0,-1.4892,0.4345,106691.0,6.011268435654826e-09,4.081651267809627e-06
BRD:BRD-K00003412-300-01-9,trilaciclib,600,288,-0.9073,-1.2249,0.472,106648.0,1.5226232726559545e-08,9.398738201212664e-06
BRD:BRD-K31342827-001-13-8,GF109203X,599,287,-0.3121,-0.5972,0.4174,106005.0,1.865829175926172e-08,1.0557483420448924e-05
BRD:BRD-K43570081-001-02-4,geldanamycin,599,287,-5.0933,-5.6524,0.3611,104554.0,1.8188543101794124e-07,9.500015973937085e-05
BRD:BRD-K07265709-003-05-6,,376,154,-0.6917,-0.0624,-0.5185,20654.0,2.1757574158876644e-07,0.00010552423467055172
BRD:BRD-K00003430-001-01-9,PRN1371,600,288,-0.6399,-0.9617,0.4022,104469.0,4.418478407189746e-07,0.0001975879421914308
BRD:BRD-K27677357-003-04-9,ruboxistaurin,597,286,-0.9948,-1.2695,0.4181,103246.0,4.655975073730328e-07,0.0001975879421914308
BRD:BRD-K78960041-001-03-2,,376,154,-1.0203,-1.5141,0.4817,36955.0,5.751971286017187e-07,0.00022974050018856882
BRD:BRD-K00077460-001-02-9,Ilorasertib,589,279,-2.1265,-2.5847,0.3538,99321.0,6.595096480680734e-07,0.00024878169502123436
BRD:BRD-K00091095-001-01-9,Selpercatinib,589,279,-0.5959,-0.7455,0.3775,99167.0,8.295629472996206e-07,0.0002964596006402328
BRD:BRD-K96631475-001-02-4,,376,154,-1.1234,-0.2847,-0.4598,21218.0,1.3563561414729128e-06,0.00043030111439721106
