drug_id,drug_name,n_group1,n_group2,median_group1,median_group2,cohens_d,mannwhitney_U,pvalue,fdr
BRD:BRD-K17641316-001-04-8,,39,70,-0.2117,-0.439,0.847,1962.0,0.00016278221143776033,0.8780445286956382
BRD:BRD-K18634484-001-02-9,iCRT-14,49,115,-0.0708,-0.3864,0.6232,3772.0,0.0006096515999183664,0.8780445286956382
BRD:BRD-A19585813-003-03-3,,40,70,-0.5386,-0.2377,-0.7714,859.0,0.0007836570467139719,0.8780445286956382
BRD:BRD-K38332599-001-01-3,,40,71,-3.1203,-1.6823,-0.6744,876.0,0.0008430055239873576,0.8780445286956382
BRD:BRD-A34358106-003-01-6,,39,69,-0.3636,-0.1974,-0.7,826.0,0.0009014126255566393,0.8780445286956382
BRD:BRD-K32292990-001-03-6,,40,69,-0.0894,0.1894,-0.6333,864.0,0.0011914430916136233,0.8780445286956382
BRD:BRD-A33692381-001-01-9,,39,69,0.3605,0.1553,0.5796,1843.0,0.0014783490658088346,0.8780445286956382
BRD:BRD-A59198242-003-02-9,,40,70,0.0919,0.2645,-0.6406,899.0,0.0018711541835699363,0.8780445286956382
BRD:BRD-K84459715-001-01-6,,39,70,0.0744,-0.0521,0.5713,1855.0,0.001972625630403278,0.8780445286956382
BRD:BRD-A81541225-001-06-8,,39,69,-0.7842,-0.43,-0.7454,862.0,0.002005923654266209,0.8780445286956382
BRD:BRD-K86864073-001-01-1,,38,69,-0.0271,0.0801,-0.6357,836.0,0.002009242042445722,0.8780445286956382
BRD:BRD-K00004579-001-01-9,RV1729,49,114,0.0737,-0.0992,0.4823,3642.0,0.002133923496155918,0.8780445286956382
BRD:BRD-K01436366-001-22-2,,31,65,-0.1447,0.1497,-0.5807,619.0,0.002364386716676529,0.8780445286956382
BRD:BRD-K28456624-001-01-1,,39,69,-0.1493,0.2553,-0.6503,870.0,0.002380082346900651,0.8780445286956382
BRD:BRD-A22642447-001-01-9,,39,69,-0.0912,0.1035,-0.6834,871.0,0.0024310967212468567,0.8780445286956382
BRD:BRD-K33963447-001-03-9,GNE-7915,49,114,0.2862,0.0545,0.5339,3625.0,0.002617608294714352,0.8780445286956382
BRD:BRD-K57291914-003-09-4,,40,69,0.0155,0.2593,-0.5694,902.0,0.002681973924602316,0.8780445286956382
BRD:BRD-K14496212-066-04-8,,39,69,-0.0577,0.1762,-0.5041,876.0,0.002701503963809859,0.8780445286956382
BRD:BRD-A20758144-001-04-5,,39,69,-0.3075,-0.0501,-0.5164,877.0,0.002758777835134511,0.8780445286956382
BRD:BRD-K66192203-001-02-2,,39,70,0.1132,-0.0582,0.6562,1835.0,0.0029984659792179845,0.8780445286956382
BRD:BRD-K43975632-001-01-1,,39,70,0.2284,0.0233,0.617,1831.0,0.00325458596475357,0.8780445286956382
BRD:BRD-K08791496-001-01-0,,38,65,-0.2724,-0.1039,-0.6397,807.0,0.0034793142391305806,0.8780445286956382
BRD:BRD-K67772619-001-05-1,,39,68,0.4292,0.1402,0.5466,1775.0,0.003695482872002971,0.8780445286956382
BRD:BRD-K00003262-001-01-9,nicodicosapent,49,116,-0.1884,0.0302,-0.5214,2029.0,0.0037607398431513173,0.8780445286956382
BRD:BRD-K00003527-001-01-9,sofosbuvir-impurity-m,49,115,-0.1643,0.019,-0.6385,2013.0,0.0038720382542837403,0.8780445286956382
BRD:BRD-K91290917-300-01-8,,40,70,-0.1243,0.0703,-0.594,939.0,0.0042176419590516665,0.8780445286956382
BRD:BRD-K00004580-001-01-9,velaresol,49,114,0.3443,0.1137,0.5079,3584.0,0.004222873102655596,0.8780445286956382
BRD:BRD-K43055376-001-01-2,,39,69,0.1095,-0.1228,0.5668,1793.0,0.004248562726950383,0.8780445286956382
BRD:BRD-K60240222-001-01-4,,40,70,0.1377,-0.062,0.653,1860.0,0.004301053737771565,0.8780445286956382
BRD:BRD-K00004577-001-01-9,vapendavir,49,116,-0.136,0.0899,-0.3123,2041.0,0.0043068223312724896,0.8780445286956382
BRD:BRD-A26503646-001-16-6,,40,71,-0.1889,-0.0086,-0.5956,957.0,0.004500650625238023,0.8780445286956382
BRD:BRD-K68474068-001-01-8,,40,71,0.0394,-0.1763,0.5861,1881.0,0.004677060923459076,0.8780445286956382
BRD:BRD-K18163608-001-05-6,,38,63,-2.2652,-1.569,-0.5982,794.0,0.00477857997193184,0.8780445286956382
BRD:BRD-K12609457-001-03-1,,38,69,-0.2149,0.02,-0.4962,881.0,0.005175135449835981,0.8780445286956382
BRD:BRD-K19871656-001-01-3,,31,65,-0.3803,-0.0214,-0.635,651.0,0.005279906469711368,0.8780445286956382
BRD:BRD-A08772153-001-02-4,,39,70,0.1607,0.0316,0.4395,1805.0,0.005465199879835453,0.8780445286956382
BRD:BRD-A90201073-001-02-9,GPi-688,49,115,0.0422,-0.1435,0.2792,3591.0,0.005485745352231161,0.8780445286956382
BRD:BRD-K49313711-001-05-4,,40,70,-0.5387,-0.2286,-0.5376,953.0,0.00553009123546306,0.8780445286956382
BRD:BRD-K48449981-001-02-7,,31,65,-0.0263,0.2867,-0.54,654.0,0.00567598846535327,0.8780445286956382
BRD:BRD-K44590731-001-01-7,,40,69,-0.4115,-0.1435,-0.4823,940.0,0.005725297200769735,0.8780445286956382
BRD:BRD-K25835157-001-01-4,,40,71,-0.5134,0.0666,-0.5565,971.0,0.005873392608082625,0.8780445286956382
BRD:BRD-A68464583-001-02-5,,39,69,0.1268,0.3256,-0.4983,915.0,0.005953047063571644,0.8780445286956382
BRD:BRD-K41260949-236-16-8,,39,69,0.053,0.2246,-0.5041,916.0,0.0060702885947629655,0.8780445286956382
BRD:BRD-K53397409-001-12-3,,40,71,-0.0568,0.1387,-0.5973,973.0,0.006097665217898939,0.8780445286956382
BRD:BRD-K37237504-001-02-7,,40,70,-0.0949,0.1917,-0.5475,959.0,0.006197707609757609,0.8780445286956382
BRD:BRD-A20830788-001-01-9,,31,64,-0.6018,-0.1227,-0.5356,648.0,0.006400336285570637,0.8780445286956382
BRD:BRD-K81613478-001-01-8,,40,69,-1.1641,-0.7086,-0.5233,947.0,0.00654589828789694,0.8780445286956382
BRD:BRD-K14765469-003-12-2,,40,70,-0.1904,0.0366,-0.5411,962.0,0.00655800976458892,0.8780445286956382
BRD:BRD-K93880783-001-26-6,,40,70,-0.3588,-0.0838,-0.5209,964.0,0.006808565000968509,0.8780445286956382
BRD:BRD-K96669468-300-01-1,,39,70,0.1373,-0.0589,0.471,1793.0,0.006884160555595478,0.8780445286956382
BRD:BRD-A25619068-003-03-4,,40,71,-0.353,-0.0876,-0.5577,983.0,0.007338914418515644,0.8780445286956382
BRD:BRD-K79892937-001-02-5,,40,70,0.0,0.1729,-0.5722,969.0,0.007472995397529473,0.8780445286956382
BRD:BRD-K43055376-001-04-9,Imepitoin,49,112,-0.1953,-0.1006,-0.4776,2017.0,0.0076059203718073995,0.8780445286956382
BRD:BRD-K18834913-001-01-1,,40,71,-0.5419,-0.032,-0.5672,985.0,0.007612806468892582,0.8780445286956382
BRD:BRD-K39733634-001-02-6,,40,70,0.1291,0.2097,-0.6236,971.0,0.007754656595116624,0.8780445286956382
BRD:BRD-M89827113-001-01-5,,39,69,-0.8935,-0.7047,-0.5115,929.0,0.007795294336061857,0.8780445286956382
BRD:BRD-K49075727-001-08-5,,38,69,-0.374,-0.0805,-0.5637,903.0,0.007984809392455251,0.8780445286956382
BRD:BRD-A96292436-003-16-1,,40,71,-0.4085,-0.1933,-0.5074,989.0,0.008188234736936128,0.8780445286956382
BRD:BRD-A18043272-001-09-9,,40,70,-0.0661,0.1352,-0.5369,974.0,0.008195000027203289,0.8780445286956382
BRD:BRD-K32572029-001-04-4,,40,69,0.2341,-0.0264,0.4591,1801.0,0.008201478734221798,0.8780445286956382
BRD:BRD-K69343602-003-02-9,ML10302,49,115,0.0537,-0.0987,0.3643,3553.0,0.008277954752801657,0.8780445286956382
BRD:BRD-K41626799-001-01-1,,31,64,-0.4551,-0.0211,-0.394,659.0,0.008309669506109466,0.8780445286956382
BRD:BRD-A78277353-001-01-9,,39,70,0.0925,-0.0995,0.3721,1783.0,0.008310620785352935,0.8780445286956382
BRD:BRD-K44273375-001-25-0,,39,69,-0.0603,0.1133,-0.5504,934.0,0.008567941718081918,0.8780445286956382
BRD:BRD-K77038618-356-01-3,,39,70,0.2307,0.0213,0.4999,1781.0,0.008625790594122107,0.8780445286956382
BRD:BRD-K24666289-001-04-9,,39,70,-2.3013,-1.7632,-0.5331,949.0,0.008625790594122107,0.8780445286956382
BRD:BRD-K88090157-050-10-8,,40,70,0.3416,0.1512,0.5314,1822.0,0.008816893174222261,0.8780445286956382
BRD:BRD-K00003400-001-01-9,PF-06840003,49,115,0.0108,-0.1875,0.3944,3545.0,0.009007297260768531,0.8780445286956382
BRD:BRD-K79884267-001-01-4,,39,69,0.0725,-0.1821,0.3842,1753.0,0.009234611086287443,0.8780445286956382
BRD:BRD-A92630576-050-24-1,,40,71,-0.6028,-0.2749,-0.5034,996.0,0.009289485325811966,0.8780445286956382
BRD:BRD-K13314656-001-01-0,,39,67,-0.3307,0.0411,-0.505,909.0,0.009298623798536012,0.8780445286956382
BRD:BRD-K70924353-001-01-2,,40,70,0.2717,0.002,0.5992,1819.0,0.009310634177626797,0.8780445286956382
BRD:BRD-A73566563-001-01-6,,39,70,0.2147,0.0279,0.5283,1776.0,0.009460941013632589,0.8799971161995244
