gene,n_structural,n_contact,median_structural,median_contact,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,biology,fdr,significant
HP,34,50,0.21767658195376027,0.4060740731966735,-0.6963925533639401,-1.1446138488085111,-0.24817125791936917,484.0,0.0008660747305333408,,0.640935971381513,False
CFHR4,34,50,0.138871018694247,0.208013948814278,-0.6659038797552274,-1.1130644845515831,-0.21874327495887153,505.0,0.001692972265294075,,0.640935971381513,False
RPS4Y2,34,50,0.4512133136556373,0.5690751057003913,-0.6387311338493016,-1.0849844264383348,-0.19247784126026823,567.0,0.010041561467859214,,0.7077715054876558,False
FAM209A,68,142,0.0205131918599907,0.06735018456008515,-0.6306284768595876,-0.9258944474508881,-0.33536250626828706,3308.0,0.00022632126238439612,,0.5320028496146566,False
TSR3,68,142,-0.11115695366542924,0.0018767033701264,-0.622973653823822,-0.9180909597621514,-0.3278563478854926,3248.0,0.00012644655080578055,,0.5320028496146566,False
AP3B1,68,142,-0.28081749362403885,-0.17351254628543794,-0.5907543671114922,-0.88526506790726,-0.2962436663157244,3267.0,0.00015237424652706183,,0.5320028496146566,False
NASP,68,142,-0.5070844717731463,-0.3824432470683198,-0.585724599277813,-0.8801434000362788,-0.2913057985193471,3186.0,6.78373434585115e-05,,0.5320028496146566,False
FFAR1,68,142,-0.06775974122794179,-0.0160076924024687,-0.5609200020750357,-0.8548966844523911,-0.2669433196976802,3414.0,0.0006026602123323333,,0.640935971381513,False
DDI1,68,142,0.034234326394388045,0.0660337410426318,-0.5569597305370234,-0.8508675358009683,-0.2630519252730786,3399.0,0.0005266588455299299,,0.640935971381513,False
MTMR8,68,142,0.04058579619877155,0.0826115138438682,-0.5437284929221944,-0.8374096051994538,-0.2500473806449349,3782.0,0.011170561377112632,,0.7077715054876558,False
HIKESHI,68,142,-0.31880316847091916,-0.25195033983507986,-0.5291541043107314,-0.8225916242774152,-0.23571658434404769,3644.0,0.00407587781183448,,0.6521973106497932,False
