ModelID,OncotreeLineage,OncotreePrimaryDisease,msi_status,msi_source,classification_tier,MLH1_expression,mlh1_silenced,mmr_lof_genes,has_mlh1_lof,has_msh2_lof,has_msh6_lof,has_pms2_lof,has_crispr,annotation_msi
ACH-000001,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,MSS,,,4.610741396125506,False,,False,False,False,False,True,
ACH-000002,Myeloid,Acute Myeloid Leukemia,MSS,,,5.524063675777211,False,,False,False,False,False,False,
ACH-000003,Bowel,Colorectal Adenocarcinoma,MSS,,,5.251556259567287,False,,False,False,False,False,False,
ACH-000004,Myeloid,Acute Myeloid Leukemia,MSS,,,5.592950309784315,False,,False,False,False,False,True,
ACH-000005,Myeloid,Acute Myeloid Leukemia,MSS,,,5.868328713671075,False,,False,False,False,False,True,
ACH-000006,Myeloid,Acute Myeloid Leukemia,MSS,,,6.063438226663262,False,,False,False,False,False,False,
ACH-000007,Bowel,Colorectal Adenocarcinoma,MSS,,,4.790881486729991,False,,False,False,False,False,True,
ACH-000008,Skin,Melanoma,MSS,,,4.950505740835184,False,,False,False,False,False,False,
ACH-000009,Bowel,Colorectal Adenocarcinoma,MSS,,,5.760649432463128,False,,False,False,False,False,True,
ACH-000011,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,MSS,,,4.8615633820533155,False,,False,False,False,False,True,
ACH-000012,Lung,Non-Small Cell Lung Cancer,MSS,,,4.582248885823528,False,,False,False,False,False,True,
ACH-000013,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,MSS,,,4.674940792042859,False,,False,False,False,False,True,
ACH-000014,Skin,Melanoma,MSS,,,5.399799999109966,False,,False,False,False,False,True,
ACH-000015,Lung,Non-Small Cell Lung Cancer,MSS,,,4.799196125949234,False,,False,False,False,False,True,
ACH-000016,Kidney,Renal Cell Carcinoma,MSS,,,5.055868072501782,False,,False,False,False,False,False,
ACH-000017,Breast,Invasive Breast Carcinoma,MSS,,,5.455001652383726,False,,False,False,False,False,True,
ACH-000018,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,MSS,,,5.266291817580644,False,,False,False,False,False,True,
ACH-000019,Breast,Invasive Breast Carcinoma,MSS,,,5.186088481322985,False,,False,False,False,False,True,
ACH-000020,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,MSS,,,5.569430330274841,False,,False,False,False,False,False,
ACH-000021,Lung,Non-Small Cell Lung Cancer,MSS,,,4.609530409919178,False,,False,False,False,False,True,
ACH-000022,Pancreas,Pancreatic Adenocarcinoma,MSS,,,5.5128052394428035,False,,False,False,False,False,True,
ACH-000023,Pancreas,Pancreatic Adenocarcinoma,MSS,,,6.29472917667358,False,,False,False,False,False,True,
ACH-000024,Lymphoid,Mature B-Cell Neoplasms,MSS,,,5.073267551253244,False,,False,False,False,False,True,
ACH-000025,CNS/Brain,Meningothelial Tumor,MSS,,,5.684358707010425,False,,False,False,False,False,True,
ACH-000026,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,MSS,,,5.446348877054928,False,,False,False,False,False,True,
ACH-000027,CNS/Brain,Diffuse Glioma,MSS,,,5.794345679478693,False,,False,False,False,False,False,
ACH-000028,Breast,Invasive Breast Carcinoma,MSS,,,5.25960392980698,False,,False,False,False,False,True,
ACH-000029,Lung,Non-Small Cell Lung Cancer,MSS,,,4.595706540145847,False,,False,False,False,False,True,
ACH-000030,Lung,Non-Small Cell Lung Cancer,MSS,,,4.895035969584658,False,,False,False,False,False,True,
ACH-000031,Pancreas,Pancreatic Adenocarcinoma,MSS,,,4.750531474167719,False,,False,False,False,False,False,
