cancer_type,tp53_status,n,mean_wrn_dep,median_wrn_dep,cohens_d_vs_mut,pvalue_vs_mut
Pan-cancer (pooled),TP53-WT,16,-1.3537,-1.4464,-0.5559,0.025590425318559557
Pan-cancer (pooled),TP53-mutant,18,-0.964,-0.3024,,
Pan-cancer (pooled),TP53-GOF-hotspot,10,-0.5052,-0.5916,,
CNS/Brain,TP53-WT,1,-0.1149,-0.1149,,
Head and Neck,TP53-mutant,2,-0.1632,-0.1632,,
Lung,TP53-mutant,2,-0.1942,-0.1942,,
Lung,TP53-GOF-hotspot,1,-0.078,-0.078,,
Lymphoid,TP53-WT,1,-0.5944,-0.5944,,
Lymphoid,TP53-mutant,1,-0.0385,-0.0385,,
Lymphoid,TP53-GOF-hotspot,1,0.0314,0.0314,,
Breast,TP53-WT,1,-0.5387,-0.5387,,
Breast,TP53-mutant,1,-0.2484,-0.2484,,
Uterus,TP53-WT,3,-0.7392,-0.641,,
Uterus,TP53-mutant,2,-2.6575,-2.6575,,
Uterus,TP53-GOF-hotspot,3,-0.7279,-0.6664,,
Ovary/Fallopian Tube,TP53-WT,1,-1.6321,-1.6321,,
Ovary/Fallopian Tube,TP53-mutant,1,-1.4462,-1.4462,,
Ovary/Fallopian Tube,TP53-GOF-hotspot,2,-0.2966,-0.2966,,
Esophagus/Stomach,TP53-WT,2,-1.7356,-1.7356,,
Esophagus/Stomach,TP53-mutant,2,-1.2575,-1.2575,,
Bowel,TP53-WT,7,-1.8701,-2.0006,,
Bowel,TP53-mutant,4,-1.6911,-1.6527,,
Bowel,TP53-GOF-hotspot,1,-0.9836,-0.9836,,
Myeloid,TP53-mutant,1,-0.0338,-0.0338,,
Skin,TP53-mutant,1,-0.0586,-0.0586,,
Skin,TP53-GOF-hotspot,1,-0.4644,-0.4644,,
Cervix,TP53-GOF-hotspot,1,-0.7798,-0.7798,,
Vulva/Vagina,TP53-mutant,1,-0.2175,-0.2175,,
