cancer_type,gene,cohens_d,p_value,n_msi,n_mss,median_dep_msi,median_dep_mss,fdr
Bowel,A1BG,-0.0237,0.5459295528193735,12,51,-0.0155,0.0081,0.8650638751859479
Bowel,A1CF,-0.5053,0.048936572533893254,12,51,-0.0779,-0.0171,0.42085452379148197
Bowel,A2M,0.2735,0.3490480776200927,12,51,-0.0162,-0.0213,0.7568969742176663
Bowel,A2ML1,-0.0976,0.7996494822299014,12,51,0.0861,0.0795,0.9505777556261178
Bowel,A3GALT2,0.3712,0.23053190324471007,12,51,-0.0165,-0.0576,0.6714859579403666
Bowel,A4GALT,-0.008,0.8955567727056876,12,51,-0.0426,-0.0658,0.978503960233117
Bowel,A4GNT,-0.675,0.026815513254302602,12,51,0.02,0.1327,0.34918588828097313
Bowel,AAAS,-0.0491,0.6937074593794007,12,51,-0.3199,-0.2819,0.922012338161147
Bowel,AACS,-0.2847,0.0349297484984914,12,51,-0.0134,0.0413,0.3750451019918858
Bowel,AADAC,-0.1927,0.48932156006324035,12,51,0.101,0.1124,0.8382559370874141
Bowel,AADACL2,-0.2054,0.6680427414171983,12,51,0.073,0.0755,0.9127304477561554
Bowel,AADACL3,-0.3503,0.3401136058228612,12,51,-0.0089,0.0092,0.750871345236361
Bowel,AADACL4,-0.5374,0.19826606330041485,12,51,0.0547,0.0658,0.6412533876334305
Bowel,AADAT,0.4782,0.13451056043699108,12,51,0.0911,0.0125,0.5714069791982201
Bowel,AAGAB,-0.1918,0.5115788261213954,12,51,0.048,0.0542,0.8483418044190086
Bowel,AAK1,-0.3939,0.29766289117379197,12,51,-0.1897,-0.1806,0.7221476527719204
Bowel,AAMDC,0.1393,0.5459295528193735,12,51,-0.024,-0.0327,0.8650638751859479
Bowel,AAMP,-0.5132,0.3490480776200927,12,51,-1.1057,-0.969,0.7568969742176663
Bowel,AANAT,-0.1496,0.3767357273028684,12,51,-0.1631,-0.1188,0.7751663372677446
Bowel,AAR2,-0.2322,0.6808289068574843,12,51,0.03,0.0323,0.9172697519619468
Bowel,AARD,0.78,0.055284526140959404,12,51,-0.1267,-0.1803,0.4390198574993548
Bowel,AARS1,0.5128,0.0509809171030876,12,51,-1.9799,-2.3851,0.42816806771684485
Bowel,AARS2,0.5231,0.22379705302895114,12,51,-0.4945,-0.5688,0.665600424259765
Bowel,AARSD1,-0.1133,0.9233067279851885,12,51,-0.2018,-0.2058,0.9844103305685822
Bowel,AASDH,-0.1613,0.4569377046610503,12,51,-0.1148,-0.0747,0.822212742827626
Bowel,AASDHPPT,0.1367,0.4675964755784683,12,51,-0.2624,-0.3408,0.8277690200017291
Bowel,AASS,-0.3175,0.20443969942388274,12,51,0.0147,0.0613,0.6464130224598204
Bowel,AATF,-0.4138,0.19222989043249095,12,51,-0.8887,-0.6525,0.6373682589854536
Bowel,AATK,0.2006,0.47839162871467067,12,51,-0.0839,-0.1014,0.8334667989198173
Bowel,ABAT,0.2263,0.4156949080207949,12,51,0.0174,-0.0652,0.8002818762852559
Bowel,ABCA1,-0.4145,0.16406527394787396,12,51,-0.0469,-0.0257,0.6108501717523521
Bowel,ABCA10,-0.0764,0.8541807423947697,12,51,0.0898,0.0505,0.965780622478127
Bowel,ABCA12,0.0691,0.9790537466644217,12,51,0.0265,0.0063,0.995599882688127
Bowel,ABCA13,-0.1254,0.6427603924012486,12,51,-0.0163,0.0294,0.903735324719422
