cancer_type,gene,cohens_d,p_value,n_msi,n_mss,median_dep_msi,median_dep_mss,fdr
Pan-cancer (pooled),A1BG,-0.2193,0.1947967780504799,44,1142,-0.0082,-0.001,0.5551327465677083
Pan-cancer (pooled),A1CF,-0.3968,0.007729022523619679,44,1142,-0.0614,-0.0127,0.13708120956580067
Pan-cancer (pooled),A2M,0.3293,0.054575698013963524,44,1142,0.0339,0.0096,0.32296925448461383
Pan-cancer (pooled),A2ML1,-0.3291,0.024045287485034456,44,1142,0.063,0.0982,0.22561802715549598
Pan-cancer (pooled),A3GALT2,0.0525,0.6523043220589961,44,1142,-0.0715,-0.0798,0.8753531506391155
Pan-cancer (pooled),A4GALT,-0.1481,0.2876570034720617,44,1142,-0.0759,-0.0516,0.649374005949583
Pan-cancer (pooled),A4GNT,-0.2684,0.05640601499852527,44,1142,0.0368,0.0714,0.3268960099995335
Pan-cancer (pooled),AAAS,0.1169,0.6222058390998079,44,1142,-0.2751,-0.2705,0.8603310380088414
Pan-cancer (pooled),AACS,-0.0694,0.27444669971814684,44,1142,0.03,0.045,0.6360480512661356
Pan-cancer (pooled),AADAC,-0.081,0.759504251503105,44,1142,0.1248,0.1225,0.9192487839150978
Pan-cancer (pooled),AADACL2,0.0185,0.6803478937209898,44,1142,0.0733,0.0548,0.887481309639973
Pan-cancer (pooled),AADACL3,0.0354,0.5645098385960607,44,1142,0.0209,0.0206,0.8332095816491065
Pan-cancer (pooled),AADACL4,-0.2714,0.18494760362455287,44,1142,0.0546,0.0722,0.5443689232750916
Pan-cancer (pooled),AADAT,0.2134,0.3179472581593401,44,1142,-0.0271,-0.0241,0.6737310666574247
Pan-cancer (pooled),AAGAB,0.0172,0.994094918250371,44,1142,0.0419,0.0286,0.9989417159351828
Pan-cancer (pooled),AAK1,-0.0146,0.7828316434225218,44,1142,-0.1691,-0.1665,0.9292088040842947
Pan-cancer (pooled),AAMDC,0.0151,0.7876594497069622,44,1142,-0.0343,-0.0331,0.9314463887552291
Pan-cancer (pooled),AAMP,-0.4295,0.038176931384533874,44,1142,-1.0236,-0.9541,0.27815951103457004
Pan-cancer (pooled),AANAT,0.04,0.8430195962685707,44,1142,-0.135,-0.1316,0.9507466207120108
Pan-cancer (pooled),AAR2,-0.2513,0.2882674967732778,44,1142,-0.046,-0.0266,0.649657985630681
Pan-cancer (pooled),AARD,0.325,0.049743924406017034,44,1142,-0.1638,-0.1849,0.31089519293283074
Pan-cancer (pooled),AARS1,0.1941,0.04679233428129338,44,1142,-2.1094,-2.2963,0.3053250895188761
Pan-cancer (pooled),AARS2,-0.1862,0.22595411772511997,44,1142,-0.6838,-0.5682,0.5872710950759714
Pan-cancer (pooled),AARSD1,0.0643,0.4755917270095671,44,1142,-0.1918,-0.2107,0.7841687592651538
Pan-cancer (pooled),AASDH,0.0139,0.7598457787929166,44,1142,-0.0765,-0.0601,0.9193518663654378
Pan-cancer (pooled),AASDHPPT,-0.0664,0.9872955480376797,44,1142,-0.3021,-0.3332,0.9975317784337429
Pan-cancer (pooled),AASS,-0.2033,0.18420551993357548,44,1142,0.024,0.0426,0.5434335600409579
