cancer_type,gene,cohens_d,p_value,n_msi,n_mss,median_dep_msi,median_dep_mss,fdr
Uterus,A1BG,-0.9783,0.022031918125617004,8,26,-0.0901,0.0274,0.8181451126924469
Uterus,A1CF,0.363,0.9207870764175154,8,26,-0.0528,-0.0323,0.9992515322424784
Uterus,A2M,0.7886,0.10989532834065974,8,26,0.075,0.0022,0.8932607128179373
Uterus,A2ML1,-0.6867,0.08449805917580569,8,26,0.0596,0.0924,0.8733060399750532
Uterus,A3GALT2,-0.0276,0.7653397152840979,8,26,-0.1094,-0.0412,0.9882836262969293
Uterus,A4GALT,-0.1466,0.826788463050977,8,26,-0.0444,-0.0457,0.9917147589114367
Uterus,A4GNT,-0.7068,0.11952674689048436,8,26,0.0113,0.0874,0.8960696679147123
Uterus,AAAS,-0.4162,0.4361348881076682,8,26,-0.2726,-0.1637,0.9610832836006635
Uterus,AACS,-0.3018,0.7052774908235223,8,26,0.0496,0.0528,0.9790454972483222
Uterus,AADAC,-0.0244,0.8892734406377015,8,26,0.1427,0.1214,0.997657640247427
Uterus,AADACL2,0.4084,0.2701286017716038,8,26,0.1464,0.0542,0.9345313444658746
Uterus,AADACL3,0.2663,0.3267044146452639,8,26,0.0611,0.0381,0.949916792444337
Uterus,AADACL4,-0.8649,0.140669382212273,8,26,0.0151,0.0657,0.8992309063986691
Uterus,AADAT,-0.1578,0.4127681094572411,8,26,-0.0457,-0.0073,0.9608392795894833
Uterus,AAGAB,-0.2124,0.646929060722164,8,26,0.0616,0.0655,0.9733248017963688
Uterus,AAK1,0.2088,0.7959093211334264,8,26,-0.2122,-0.1789,0.9891495728613439
Uterus,AAMDC,-0.0074,0.984132145684197,8,26,-0.0582,-0.0526,1.0
Uterus,AAMP,-0.7864,0.04747225796757957,8,26,-1.238,-0.9795,0.8378199385990839
Uterus,AANAT,0.1763,0.7959093211334264,8,26,-0.1324,-0.1269,0.9891495728613439
Uterus,AAR2,-0.6872,0.022031918125617004,8,26,-0.062,-0.004,0.8181451126924469
Uterus,AARD,0.2225,0.4849852975875352,8,26,-0.1665,-0.1946,0.9623110991881944
Uterus,AARS1,-0.1602,0.6184891952084256,8,26,-2.4451,-2.3988,0.9720509912597317
Uterus,AARS2,-0.7252,0.140669382212273,8,26,-0.6838,-0.4729,0.8992309063986691
Uterus,AARSD1,0.6024,0.12978043207710155,8,26,-0.1575,-0.2705,0.8960696679147123
Uterus,AASDH,0.4471,0.7351113701961048,8,26,-0.0285,-0.0053,0.9882836262969293
Uterus,AASDHPPT,-0.1774,0.7653397152840979,8,26,-0.2572,-0.234,0.9882836262969293
Uterus,AASS,-0.5073,0.28822059941604533,8,26,-0.0152,0.031,0.9420495020286382
Uterus,AATF,0.1906,0.8892734406377015,8,26,-0.7873,-0.7691,0.997657640247427
Uterus,AATK,-0.226,0.6184891952084256,8,26,-0.0871,-0.0635,0.9720509912597317
Uterus,ABAT,0.3555,0.5104311451887188,8,26,-0.0487,-0.0634,0.9623110991881944
Uterus,ABCA1,-0.7756,0.25279513272708326,8,26,-0.0493,-0.0088,0.9345313444658746
Uterus,ABCA10,-0.1909,0.5632612411713372,8,26,0.018,0.0944,0.969274214533901
Uterus,ABCA12,-0.6785,0.07712933826916683,8,26,-0.0797,0.007,0.8579442707843862
Uterus,ABCA13,0.9252,0.04282216701244379,8,26,0.0643,-0.012,0.8378199385990839
Uterus,ABCA2,-0.2031,0.9207870764175154,8,26,0.0198,0.0345,0.9992515322424784
Uterus,ABCA3,0.071,0.984132145684197,8,26,0.0447,0.0541,1.0
Uterus,ABCA4,0.254,0.3682366644481412,8,26,-0.1372,-0.1747,0.9574900855886919
Uterus,ABCA5,-0.0867,0.984132145684197,8,26,-0.0501,-0.0173,1.0
