gene,functional_category,cohens_d,fdr,cancer_type
TFAM,Mito transcription,-0.8657,0.013498073391930623,Pan-cancer (pooled)
OGDH,TCA cycle,-0.7725,0.006676984776700584,Pan-cancer (pooled)
SDHC,OXPHOS CII,-0.7346,0.002630216586028597,Pan-cancer (pooled)
MALSU1,Mitoribo assembly,-0.7306,0.002731170093158564,Pan-cancer (pooled)
COX7B,OXPHOS CIV,-0.7025,0.005322487266172557,Pan-cancer (pooled)
UQCR10,OXPHOS CIII,-0.6867,0.023264717697491995,Pan-cancer (pooled)
COX5A,OXPHOS CIV,-0.6755,0.009980740788458134,Pan-cancer (pooled)
NDUFS4,OXPHOS CI,-0.6607,0.006417165716793172,Pan-cancer (pooled)
MRPS18C,Mitoribo 28S,-0.6481,0.006859395712321377,Pan-cancer (pooled)
MRPS35,Mitoribo 28S,-0.6373,0.024771397114227323,Pan-cancer (pooled)
NDUFAF1,OXPHOS CI assembly,-0.6335,0.02386861133370426,Pan-cancer (pooled)
COX6C,OXPHOS CIV,-0.6215,0.028800483612218476,Pan-cancer (pooled)
MRPL32,Mitoribo 39S,-0.6208,0.015930462706794647,Pan-cancer (pooled)
MRPL46,Mitoribo 39S,-0.6196,0.029927003811359557,Pan-cancer (pooled)
COX6B1,OXPHOS CIV,-0.6164,0.006676984776700584,Pan-cancer (pooled)
MRPL34,Mitoribo 39S,-0.6036,0.014357232853099543,Pan-cancer (pooled)
NDUFB7,OXPHOS CI,-0.603,0.035056402434408954,Pan-cancer (pooled)
MRPL1,Mitoribo 39S,-0.6032,0.043809654796402066,Pan-cancer (pooled)
NDUFA11,OXPHOS CI,-0.5871,0.04431432686677254,Pan-cancer (pooled)
MRPL3,Mitoribo 39S,-0.5866,0.0260737697979001,Pan-cancer (pooled)
MRPS9,Mitoribo 28S,-0.5864,0.04291160536552449,Pan-cancer (pooled)
MRPS17,Mitoribo 28S,-0.5837,0.023264717697491995,Pan-cancer (pooled)
MRPL14,Mitoribo 39S,-0.5778,0.04395319805981472,Pan-cancer (pooled)
MRPL27,Mitoribo 39S,-0.5771,0.0405564249205327,Pan-cancer (pooled)
COX6A1,OXPHOS CIV,-0.5589,0.022522167674077765,Pan-cancer (pooled)
MRPL33,Mitoribo 39S,-0.5568,0.025314239782421658,Pan-cancer (pooled)
UQCRFS1,OXPHOS CIII,-0.5565,0.03875946757338493,Pan-cancer (pooled)
TWNK,Mito replication helicase,-0.5424,0.033467875890404446,Pan-cancer (pooled)
NDUFAF2,OXPHOS CI assembly,-0.5379,0.023527673299220224,Pan-cancer (pooled)
MRPL19,Mitoribo 39S,-0.5374,0.04886909599547056,Pan-cancer (pooled)
SDHAF2,OXPHOS CII assembly,-0.5336,0.0297483199773002,Pan-cancer (pooled)
COX7C,OXPHOS CIV,-0.5326,0.045876750086425756,Pan-cancer (pooled)
MRPS30,Mitoribo 28S,-0.5107,0.0405564249205327,Pan-cancer (pooled)
