cancer_type,gene,cohens_d,p_value,n_msi,n_mss,median_dep_msi,median_dep_mss,fdr
Bowel,PELO,-2.8756,6.968389975884277e-07,12,51,-2.1327,-0.9227,0.006247510032879049
Bowel,WRN,-2.8441,2.78747108466298e-07,12,51,-1.8086,-0.103,0.00499821440190919
Pan-cancer (pooled),WRN,-2.8334,6.8947057476323415e-12,44,1142,-0.5985,-0.1309,1.236289687607955e-07
Bowel,RPL22L1,-2.6022,1.6911792541712084e-06,12,51,-1.0365,-0.2727,0.010108178402181313
Pan-cancer (pooled),RPL22L1,-1.8999,2.303943114898415e-11,44,1142,-0.595,-0.2167,2.065600199662174e-07
Bowel,DHX9,-1.6818,1.0719303916601533e-05,12,51,-1.5388,-0.966,0.0451479424232253
Bowel,SMAP1,-1.3197,1.2589354309080726e-05,12,51,0.0183,0.1648,0.0451479424232253
Pan-cancer (pooled),PELO,-1.1084,7.562636525925327e-07,44,1142,-1.4617,-0.8844,0.0010947638661026613
Pan-cancer (pooled),RPL6,-0.9492,0.00019051739711161388,22,333,-2.9545,-2.4187,0.023264717697491995
Pan-cancer (pooled),DHX9,-0.9329,7.19234492556413e-06,44,1142,-1.0463,-0.908,0.0044846950176988445
Pan-cancer (pooled),CCDC102A,-0.9013,1.0869892816900035e-05,44,1142,-0.0754,-0.0256,0.005322487266172557
Pan-cancer (pooled),TFAM,-0.8657,7.151396867064911e-05,44,1142,-0.8688,-0.6377,0.013498073391930623
Pan-cancer (pooled),IGBP1,-0.8292,7.458824120621727e-07,44,1142,-1.4086,-1.1989,0.0010947638661026613
Pan-cancer (pooled),MAGIX,-0.8291,1.984873575402657e-08,44,1142,-0.1007,0.0276,8.89769202013626e-05
Pan-cancer (pooled),UNC119,-0.8188,1.1004600206528207e-06,44,1142,-0.3123,-0.2132,0.0011607263900191606
Pan-cancer (pooled),ALDOC,-0.8173,6.417773959311119e-06,44,1142,-0.3771,-0.2461,0.004426042494784911
Pan-cancer (pooled),TRNAU1AP,-0.8131,3.1050601432033024e-06,44,1142,-0.4695,-0.3067,0.0026512777822751627
Pan-cancer (pooled),PRRC1,-0.7872,3.0294283304840858e-05,44,1142,0.0497,0.138,0.00905344656565169
Pan-cancer (pooled),ZMYM5,-0.7856,0.00013662417211734055,44,1142,-0.0735,-0.016,0.018990759924310336
Pan-cancer (pooled),OGDH,-0.7725,1.630393228973055e-05,44,1142,-0.7025,-0.4793,0.006676984776700584
Pan-cancer (pooled),PM20D1,-0.7672,5.952128525514008e-05,44,1142,-0.0953,-0.0322,0.011858624065665742
Pan-cancer (pooled),C1QTNF9,-0.7488,2.979162106307187e-05,38,1008,-0.2451,-0.1551,0.00905344656565169
Pan-cancer (pooled),ZRSR2,-0.743,6.745264856270157e-05,44,1142,-1.2051,-0.9565,0.012866951504019168
