drug,gene,spearman_r_all,p_value_all,n_all,spearman_r_msi,p_value_msi,n_msi
IACS-10759,NDUFS4,0.0096,0.7967130139159225,716,-0.1207,0.4896708763876484,35
IACS-10759,SDHC,0.1095,0.0033560336797665625,716,-0.0543,0.7565278308663413,35
IACS-10759,COX5A,0.0686,0.0663967362149712,716,-0.0532,0.7614008668523368,35
IACS-10759,TFAM,0.1153,0.00199638213578455,716,0.0381,0.8279993551527559,35
IACS-10759,OGDH,0.1316,0.0004132509038877548,716,0.0409,0.8155620550919772,35
tigecycline,NDUFS4,-0.0534,0.1534738423626919,716,-0.2714,0.11473829268291788,35
tigecycline,SDHC,0.004,0.9143115742299851,716,-0.2126,0.2201286021576677,35
tigecycline,COX5A,-0.0574,0.1251758772142263,716,-0.3527,0.03771970697760633,35
tigecycline,TFAM,-0.008,0.8305305679556535,716,-0.3406,0.04525762364647923,35
tigecycline,OGDH,0.056,0.13453077324524698,716,-0.0132,0.9401659677492705,35
