gene,spearman_r,pvalue,fdr
ARHGEF1,-0.609,1.1500058541555255e-05,0.05233221455933399
MST1,-0.6014,0.0030731906095329627,0.24713377093190889
ZCCHC14,-0.5966,1.918393979887458e-05,0.05233221455933399
SIRT7,-0.5882,2.686881548037487e-05,0.05233221455933399
TMEM121,-0.5708,5.2085979846361445e-05,0.07568721344000601
NUTF2,-0.5614,7.35567993765983e-05,0.09392316211127101
TIMP1,-0.5502,0.00010905274615941535,0.09813876000435963
NR4A2,-0.5487,0.00011507246789925288,0.09813876000435963
CEACAM5,-0.5459,0.00012679609306571403,0.09813876000435963
MYRF,-0.5442,0.00013434047297433504,0.09813876000435963
SLC37A1,-0.5415,0.00014712186695903622,0.09813876000435963
IFT70A,-0.5393,0.000158729728952952,0.09813876000435963
ACSS2,-0.5304,0.00021294996914269072,0.11919974193487777
CARD14,-0.5287,0.00022500240405881627,0.11919974193487777
NRF1,-0.5285,0.00022603408955860818,0.11919974193487777
ERC1,-0.5256,0.0002487114578896633,0.12222807831797161
RPP25L,-0.5253,0.00025097494506092394,0.12222807831797161
VWA5B2,-0.5243,0.0002590444493074691,0.12222807831797161
SLC16A10,-0.5198,0.00029899989081073327,0.12531126167101903
MAPKBP1,-0.5168,0.0003281582876254921,0.12531126167101903
ARAP3,-0.5167,0.0003296086315548915,0.12531126167101903
RABGEF1,-0.5167,0.013818814648198086,0.3745010761768272
RPS6KL1,-0.5116,0.0003858287399725514,0.1356452805432911
CNIH4,-0.5108,0.00039599565696074406,0.13654234864050271
SPTBN1,-0.5099,0.00040640304559677826,0.13748691712358932
GPX4,-0.5087,0.00042247594216613825,0.13772715714616107
EPHB2,-0.5073,0.000441003401586984,0.14045442999304733
PSG8,-0.5042,0.000484359158858746,0.14045442999304733
CLCF1,-0.5042,0.000484359158858746,0.14045442999304733
MANEAL,-0.5036,0.0004926411888967155,0.14045442999304733
IFNL3,-0.5026,0.001302132648922814,0.19724994077367314
TMEM231,-0.5019,0.0005182559704607562,0.14045442999304733
CHMP4B,-0.4994,0.0005589232293051312,0.1459398945528736
ZNF135,-0.4984,0.0005754960166048672,0.1459398945528736
NEUROG1,-0.4977,0.0005876021513161199,0.14632925795969487
RIPOR1,-0.493,0.0006733953591340131,0.15986996589953276
FOXL2,-0.4927,0.0006789383599331278,0.15986996589953276
KLRF1,-0.4916,0.0007015211970519949,0.15986996589953276
SERPINB3,-0.4915,0.0007043908146159,0.15986996589953276
PCDHA5,-0.4908,0.0007188971118043487,0.16112281518314966
ADGRB2,-0.4891,0.0007548087991295556,0.1670829847949745
DDX11,-0.4851,0.0008449167242848001,0.17822772784031135
ZNRF4,-0.4827,0.0009042022699785337,0.18480739905976948
RTL9,-0.4792,0.000998139244681997,0.18624120232338204
CEL,-0.4761,0.0010879017486359443,0.18902497097584806
ZBTB32,-0.476,0.0010921475393806128,0.18902497097584806
NOX5,-0.474,0.001153158287975326,0.19323484208782798
H2BC6,-0.4719,0.0012218772090464489,0.19644999222172416
VPS54,-0.4712,0.0012455799816581058,0.19644999222172416
LRPAP1,-0.471,0.0012503693191644176,0.19644999222172416
ERCC5,-0.4709,0.0012551750296938312,0.19644999222172416
BDKRB1,-0.4708,0.0012599971614890282,0.19644999222172416
MYOF,-0.4693,0.0013091323453467431,0.19724994077367314
FAM86B2,-0.4687,0.003000542188643384,0.24678771303842145
MCUR1,-0.4677,0.001370337757001284,0.19932495617195276
LAMA5,-0.4671,0.001391297264049087,0.19932495617195276
CYP2A6,-0.4669,0.0013965814327597714,0.19932495617195276
HCAR3,-0.4664,0.0014178968219967089,0.19932495617195276
TIGAR,-0.4648,0.0014780114871011472,0.2022957707154471
FOXF1,-0.4637,0.0015231414371922355,0.2038054176780357
