cancer_type,drug,mechanism,cohens_d,p_value,n_msi,n_mss,median_sens_msi,median_sens_mss,fdr
Pan-cancer (pooled),AZD0156,ATM inhibitor,-0.3474,0.0917460752645927,48,835,-0.0845,0.0771,0.22936518816148177
Uterus,AZD0156,ATM inhibitor,-0.9065,0.03855470621918552,9,25,-0.2237,0.0094,0.14458014832194568
Bowel,AZD0156,ATM inhibitor,-0.4794,0.3088677127447209,16,27,-0.0243,0.1593,0.4211832446518921
Pan-cancer (pooled),AZD1390,ATM inhibitor (brain-penetrant),-0.0031,0.6954839677277325,48,840,-0.3441,-0.3189,0.745161393993999
Uterus,AZD1390,ATM inhibitor (brain-penetrant),0.6321,0.10949300044952945,9,25,-0.3155,-0.6057,0.23462785810613454
Bowel,AZD1390,ATM inhibitor (brain-penetrant),-0.3723,0.21359736907056204,16,27,-0.3828,-0.1048,0.35599561511760336
Pan-cancer (pooled),AZD-7648,DNA-PK inhibitor,-0.5258,0.0012310819275578799,47,821,-0.6178,-0.4859,0.018466228913368198
Uterus,AZD-7648,DNA-PK inhibitor,-1.0121,0.011169835310014137,9,25,-0.8572,-0.6023,0.08377376482510603
Bowel,AZD-7648,DNA-PK inhibitor,-0.5015,0.18927394226950467,15,26,-0.5123,-0.3937,0.35488864175532125
Pan-cancer (pooled),AZD4573,CDK9 inhibitor,0.0971,0.6627013845479526,48,835,-7.4576,-7.7657,0.745161393993999
Uterus,AZD4573,CDK9 inhibitor,0.359,0.2918957005942149,9,25,-6.8825,-7.6707,0.4211832446518921
Bowel,AZD4573,CDK9 inhibitor,-0.0438,0.3860268787827743,16,27,-7.4944,-7.3578,0.48253359847846794
Pan-cancer (pooled),AZD5582,IAP antagonist/SMAC mimetic,0.0426,0.9757017405901935,47,839,-1.1384,-1.2215,0.9757017405901937
Uterus,AZD5582,IAP antagonist/SMAC mimetic,0.5744,0.05577825346649752,9,25,-0.8845,-1.5728,0.16733476039949255
Bowel,AZD5582,IAP antagonist/SMAC mimetic,-0.7445,0.025664717903337506,15,27,-2.1264,-1.2777,0.12832358951668751
