cancer_type,depmap_lineage,msi_h_pct,us_incidence,estimated_msi_h_patients_per_year,n_tcga_total,n_tcga_msi_h
COADREAD,Bowel,0.154,152810,23532,534,82
UCEC,Uterus,0.309,67880,20974,517,160
STAD,Esophagus/Stomach,0.197,26890,5297,436,86
DLBC,Lymphoid,0.049,80620,3950,41,2
UCS,Uterus,0.053,67880,3597,57,3
SKCM,Skin,0.009,100640,905,440,4
BRCA,Breast,0.002,310720,621,1066,2
ESCA,Esophagus/Stomach,0.027,22370,603,182,5
BLCA,Bladder/Urinary Tract,0.007,83190,582,410,3
PAAD,Pancreas,0.006,66440,398,179,1
CHOL,Biliary Tract,0.028,12220,342,36,1
KIRP,Kidney,0.004,81800,327,276,1
LUAD,Lung,0.002,117550,235,566,1
KIRC,Kidney,0.002,81800,163,402,1
LIHC,Liver,0.003,41210,123,366,1
HNSC,Head and Neck,0.002,58450,116,515,1
LGG,CNS/Brain,0.002,25400,50,514,1
OV,Ovary/Fallopian Tube,0.002,19680,39,523,1
LUSC,Lung,0.0,117550,0,484,0
CESC,Cervix,0.0,13820,0,291,0
SARC,Soft Tissue,0.0,13590,0,255,0
GBM,CNS/Brain,0.0,25400,0,397,0
MESO,,0.0,2800,0,86,0
LAML,Myeloid,0.0,20380,0,200,0
PRAD,Prostate,0.0,288300,0,494,0
TGCT,,0.0,9760,0,149,0
THCA,Thyroid,0.0,44020,0,490,0
ACC,,0.0,600,0,91,0
KICH,,0.0,81800,0,65,0
THYM,,0.0,400,0,123,0
UVM,,0.0,2500,0,80,0
PCPG,,0.0,800,0,178,0
