cancer_type,depmap_lineage,msi_h_pct,us_incidence,estimated_msi_h_patients_per_year,n_tcga_total,n_tcga_msi_h,wrn_d,wrn_ci_lower,wrn_ci_upper,fdr,classification,wrn_source,priority_score
COADREAD,Bowel,0.154,152810,23532,534,82,-2.8441,-5.2895,-1.7595,1.114988433865192e-06,ROBUST,lineage-specific,28.629162727734435
STAD,Esophagus/Stomach,0.197,26890,5297,436,86,-2.8334,,,1.3789411495264685e-11,POOLED_ESTIMATE,pan-cancer pooled,24.29664490350203
DLBC,Lymphoid,0.049,80620,3950,41,2,-2.8334,,,1.3789411495264685e-11,POOLED_ESTIMATE,pan-cancer pooled,23.46543675443164
SKCM,Skin,0.009,100640,905,440,4,-2.8334,,,1.3789411495264685e-11,POOLED_ESTIMATE,pan-cancer pooled,19.292731969742178
BRCA,Breast,0.002,310720,621,1066,2,-2.8334,,,1.3789411495264685e-11,POOLED_ESTIMATE,pan-cancer pooled,18.227092458767192
ESCA,Esophagus/Stomach,0.027,22370,603,182,5,-2.8334,,,1.3789411495264685e-11,POOLED_ESTIMATE,pan-cancer pooled,18.143887132428507
BLCA,Bladder/Urinary Tract,0.007,83190,582,410,3,-2.8334,,,1.3789411495264685e-11,POOLED_ESTIMATE,pan-cancer pooled,18.043621573805485
PAAD,Pancreas,0.006,66440,398,179,1,-2.8334,,,1.3789411495264685e-11,POOLED_ESTIMATE,pan-cancer pooled,16.96912327861574
CHOL,Biliary Tract,0.028,12220,342,36,1,-2.8334,,,1.3789411495264685e-11,POOLED_ESTIMATE,pan-cancer pooled,16.540625448999975
KIRP,Kidney,0.004,81800,327,276,1,-2.8334,,,1.3789411495264685e-11,POOLED_ESTIMATE,pan-cancer pooled,16.413924757995634
LUAD,Lung,0.002,117550,235,566,1,-2.8334,,,1.3789411495264685e-11,POOLED_ESTIMATE,pan-cancer pooled,15.481221036359566
KIRC,Kidney,0.002,81800,163,402,1,-2.8334,,,1.3789411495264685e-11,POOLED_ESTIMATE,pan-cancer pooled,14.449961536597085
LIHC,Liver,0.003,41210,123,366,1,-2.8334,,,1.3789411495264685e-11,POOLED_ESTIMATE,pan-cancer pooled,13.657785787985313
HNSC,Head and Neck,0.002,58450,116,515,1,-2.8334,,,1.3789411495264685e-11,POOLED_ESTIMATE,pan-cancer pooled,13.493143626855963
LGG,CNS/Brain,0.002,25400,50,514,1,-2.8334,,,1.3789411495264685e-11,POOLED_ESTIMATE,pan-cancer pooled,11.140434747761105
UCEC,Uterus,0.309,67880,20974,517,160,-1.086,-2.0563,-0.25,0.0495041804994039,ROBUST,lineage-specific,10.806879973030254
OV,Ovary/Fallopian Tube,0.002,19680,39,523,1,-2.8334,,,1.3789411495264685e-11,POOLED_ESTIMATE,pan-cancer pooled,10.452071045286427
UCS,Uterus,0.053,67880,3597,57,3,-1.086,-2.0563,-0.25,0.0495041804994039,ROBUST,lineage-specific,8.89231288815838
