cancer_type,wrn_d,wrn_source,priority_score,estimated_msi_h_pts_yr,msi_h_mutation_rate,p_resistance_12mo,resistance_risk,in_wrn_trial,current_trials,pembrolizumab_orr,azd7648_d,azd7648_fdr,recommended_strategy,first_line_rationale,io_combination_note
COADREAD,-2.844,lineage-specific,28.6,23532,40.0,1.0,VERY_HIGH,True,VVD-214;HRO-761,0.438,-0.526,0.0185,WRN inhibitor + DNA-PKi combination,High resistance risk — consider upfront combination with DNA-PKi (AZD-7648) to suppress NHEJ-dependent resistance escape,
STAD,-2.833,pan-cancer pooled,24.3,5297,30.0,1.0,VERY_HIGH,True,VVD-214;HRO-761,0.458,-0.526,0.0185,WRN inhibitor + DNA-PKi combination,High resistance risk — consider upfront combination with DNA-PKi (AZD-7648) to suppress NHEJ-dependent resistance escape,
DLBC,-2.833,pan-cancer pooled,23.5,3950,,,UNKNOWN,False,none,,-0.526,0.0185,WRN inhibitor monotherapy,Lower resistance risk or insufficient mutation rate data — standard WRN inhibitor monotherapy,
SKCM,-2.833,pan-cancer pooled,19.3,905,50.0,1.0,VERY_HIGH,False,none,,-0.526,0.0185,WRN inhibitor + DNA-PKi combination,High resistance risk — consider upfront combination with DNA-PKi (AZD-7648) to suppress NHEJ-dependent resistance escape,
BRCA,-2.833,pan-cancer pooled,18.2,621,15.0,1.0,VERY_HIGH,False,none,,-0.526,0.0185,WRN inhibitor + DNA-PKi combination,High resistance risk — consider upfront combination with DNA-PKi (AZD-7648) to suppress NHEJ-dependent resistance escape,
ESCA,-2.833,pan-cancer pooled,18.1,603,,,UNKNOWN,False,none,,-0.526,0.0185,WRN inhibitor monotherapy,Lower resistance risk or insufficient mutation rate data — standard WRN inhibitor monotherapy,
BLCA,-2.833,pan-cancer pooled,18.0,582,35.0,1.0,VERY_HIGH,False,none,,-0.526,0.0185,WRN inhibitor + DNA-PKi combination,High resistance risk — consider upfront combination with DNA-PKi (AZD-7648) to suppress NHEJ-dependent resistance escape,
PAAD,-2.833,pan-cancer pooled,17.0,398,25.0,1.0,VERY_HIGH,False,none,0.182,-0.526,0.0185,WRN inhibitor + DNA-PKi combination,High resistance risk — consider upfront combination with DNA-PKi (AZD-7648) to suppress NHEJ-dependent resistance escape,Low IO response (pembro ORR 18%) — strong case for WRN inhibitor combination
CHOL,-2.833,pan-cancer pooled,16.5,342,20.0,1.0,VERY_HIGH,False,none,0.409,-0.526,0.0185,WRN inhibitor + DNA-PKi combination,High resistance risk — consider upfront combination with DNA-PKi (AZD-7648) to suppress NHEJ-dependent resistance escape,
KIRP,-2.833,pan-cancer pooled,16.4,327,,,UNKNOWN,False,none,,-0.526,0.0185,WRN inhibitor monotherapy,Lower resistance risk or insufficient mutation rate data — standard WRN inhibitor monotherapy,
LUAD,-2.833,pan-cancer pooled,15.5,235,,,UNKNOWN,False,none,,-0.526,0.0185,WRN inhibitor monotherapy,Lower resistance risk or insufficient mutation rate data — standard WRN inhibitor monotherapy,
KIRC,-2.833,pan-cancer pooled,14.4,163,,,UNKNOWN,False,none,,-0.526,0.0185,WRN inhibitor monotherapy,Lower resistance risk or insufficient mutation rate data — standard WRN inhibitor monotherapy,
LIHC,-2.833,pan-cancer pooled,13.7,123,,,UNKNOWN,False,none,,-0.526,0.0185,WRN inhibitor monotherapy,Lower resistance risk or insufficient mutation rate data — standard WRN inhibitor monotherapy,
HNSC,-2.833,pan-cancer pooled,13.5,116,,,UNKNOWN,False,none,,-0.526,0.0185,WRN inhibitor monotherapy,Lower resistance risk or insufficient mutation rate data — standard WRN inhibitor monotherapy,
LGG,-2.833,pan-cancer pooled,11.1,50,,,UNKNOWN,False,none,,-0.526,0.0185,WRN inhibitor monotherapy,Lower resistance risk or insufficient mutation rate data — standard WRN inhibitor monotherapy,
UCEC,-1.086,lineage-specific,10.8,20974,65.0,1.0,VERY_HIGH,True,VVD-214;HRO-761,0.571,-0.526,0.0185,WRN inhibitor + DNA-PKi combination,High resistance risk — consider upfront combination with DNA-PKi (AZD-7648) to suppress NHEJ-dependent resistance escape,
OV,-2.833,pan-cancer pooled,10.5,39,20.0,1.0,VERY_HIGH,True,VVD-214;HRO-761,0.333,-0.526,0.0185,WRN inhibitor + DNA-PKi combination,High resistance risk — consider upfront combination with DNA-PKi (AZD-7648) to suppress NHEJ-dependent resistance escape,Low IO response (pembro ORR 33%) — strong case for WRN inhibitor combination
UCS,-1.086,lineage-specific,8.9,3597,,,UNKNOWN,False,none,,-0.526,0.0185,WRN inhibitor monotherapy,Lower resistance risk or insufficient mutation rate data — standard WRN inhibitor monotherapy,
