tcga_type,depmap_type,tcga_n_mutant,depmap_n_mutant,tcga_structural_frac,tcga_contact_frac,tcga_R175H_frac,depmap_R175H_frac,diff_R175H,tcga_R248W_frac,depmap_R248W_frac,diff_R248W,tcga_R273H_frac,depmap_R273H_frac,diff_R273H,tcga_G245S_frac,depmap_G245S_frac,diff_G245S,tcga_R249S_frac,depmap_R249S_frac,diff_R249S,tcga_Y220C_frac,depmap_Y220C_frac,diff_Y220C,tcga_R282W_frac,depmap_R282W_frac,diff_R282W
ESCA,Esophagogastric Adenocarcinoma,158,48,0.133,0.158,0.063,0.062,-0.001,0.038,0.083,0.045,0.038,0.062,0.025,0.013,0.042,0.029,0.0,0.0,0.0,0.025,0.021,-0.004,0.032,0.021,-0.011
LUSC,Non-Small Cell Lung Cancer,404,124,0.032,0.042,0.01,0.032,0.022,0.01,0.04,0.03,0.007,0.065,0.057,0.002,0.008,0.006,0.012,0.008,-0.004,0.007,0.032,0.025,0.012,0.0,-0.012
OV,Ovarian Epithelial Tumor,373,50,0.08,0.088,0.04,0.04,-0.0,0.024,0.04,0.016,0.024,0.1,0.076,0.005,0.0,-0.005,0.0,0.0,0.0,0.024,0.02,-0.004,0.011,0.04,0.029
HNSC,Head and Neck Squamous Cell Carcinoma,357,80,0.106,0.101,0.034,0.05,0.016,0.022,0.1,0.078,0.022,0.038,0.015,0.022,0.025,0.003,0.008,0.012,0.004,0.02,0.012,-0.007,0.031,0.012,-0.018
PAAD,Pancreatic Adenocarcinoma,107,45,0.093,0.131,0.037,0.022,-0.015,0.037,0.044,0.007,0.028,0.111,0.083,0.019,0.044,0.026,0.0,0.0,0.0,0.019,0.044,0.026,0.019,0.067,0.048
COADREAD,Colorectal Adenocarcinoma,314,71,0.188,0.197,0.102,0.056,-0.046,0.048,0.099,0.051,0.054,0.113,0.059,0.019,0.056,0.037,0.0,0.014,0.014,0.003,0.0,-0.003,0.064,0.0,-0.064
LUAD,Non-Small Cell Lung Cancer,295,124,0.031,0.02,0.01,0.032,0.022,0.003,0.04,0.037,0.003,0.065,0.061,0.003,0.008,0.005,0.01,0.008,-0.002,0.01,0.032,0.022,0.007,0.0,-0.007
BLCA,Bladder Urothelial Carcinoma,202,27,0.05,0.134,0.02,0.037,0.017,0.02,0.074,0.054,0.0,0.037,0.037,0.01,0.0,-0.01,0.005,0.0,-0.005,0.005,0.0,-0.005,0.015,0.037,0.022
STAD,Esophagogastric Adenocarcinoma,213,48,0.117,0.131,0.056,0.062,0.006,0.023,0.083,0.06,0.047,0.062,0.016,0.009,0.042,0.032,0.005,0.0,-0.005,0.019,0.021,0.002,0.033,0.021,-0.012
LGG,Diffuse Glioma,249,66,0.116,0.317,0.032,0.061,0.028,0.024,0.076,0.052,0.044,0.106,0.062,0.016,0.076,0.06,0.0,0.0,0.0,0.04,0.0,-0.04,0.028,0.03,0.002
UCEC,Endometrial Carcinoma,193,26,0.098,0.192,0.036,0.038,0.002,0.036,0.154,0.118,0.052,0.192,0.14,0.01,0.0,-0.01,0.005,0.0,-0.005,0.021,0.038,0.018,0.031,0.038,0.007
BRCA,Invasive Breast Carcinoma,347,54,0.098,0.078,0.061,0.056,-0.005,0.014,0.074,0.06,0.037,0.056,0.018,0.006,0.0,-0.006,0.0,0.019,0.019,0.02,0.074,0.054,0.012,0.0,-0.012
GBM,Diffuse Glioma,121,66,0.182,0.174,0.066,0.061,-0.006,0.041,0.076,0.034,0.033,0.106,0.073,0.033,0.076,0.043,0.0,0.0,0.0,0.041,0.0,-0.041,0.041,0.03,-0.011
LIHC,Hepatocellular Carcinoma,110,19,0.027,0.145,0.009,0.0,-0.009,0.009,0.0,-0.009,0.009,0.0,-0.009,0.0,0.0,0.0,0.1,0.105,0.005,0.018,0.053,0.034,0.0,0.0,0.0
SKCM,Melanoma,72,38,0.028,0.028,0.014,0.0,-0.014,0.028,0.053,0.025,0.0,0.026,0.026,0.0,0.053,0.053,0.0,0.0,0.0,0.014,0.026,0.012,0.0,0.0,0.0
LAML,Acute Myeloid Leukemia,16,34,0.0,0.125,0.0,0.029,0.029,0.0,0.176,0.176,0.0,0.059,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
